;von;bis;;
Datum:;29.07.2020;29.07.2020;;
Enthalt Z;77;77;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2283.80;98.91 %;
Auslagen;;;19.00;0.82 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;6.20;0.27 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;19.00;0.83 %;
5.0%;;;1687.14;73.26 %;
16.0%;;;596.66;25.91 %;
Total;;;2302.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;19.00;0.89 %;
5.0%;;;1606.94;75.08 %;
16.0%;;;514.45;24.04 %;
Total;;;2140.39;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;80.20;49.38 %;
16.0%;;;82.21;50.62 %;
Total;;;162.41;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;296;1845.00;80.12 %;0.00
Maestro;;23;265.20;11.52 %;0.00
MasterCard;;4;55.40;2.41 %;2.20
Visa;;4;50.40;2.19 %;0.00
Visa Electron;;5;86.80;3.77 %;4.00
Total;;332;2302.80;100.00 %;6.20
;;;;
Umsatzdetails;;;;;
Anna;;;282.00;12.35 %;0.00
Clara;;;476.50;20.86 %;2.20
Emanuel;;;358.70;15.71 %;0.00
Lena;;;433.60;18.99 %;0.00
Martin;;;12.90;0.56 %;0.00
Mik;;;234.30;10.26 %;4.00
Moritz;;;425.70;18.64 %;0.00
Robin;;;60.10;2.63 %;0.00
Total;;;2283.80;100.00 %;6.20
;;;;
Stornos;;;;;
Reklamation;;2;4.00;12.23 %;
vertippt;;9;28.70;87.77 %;
Total;;11;32.70;100.00 %;
;;;;
Rabatte;;;;;
GS (4,60 €);;1;4.60;100.00 %;
Total;;1;4.60;100.00 %;
;;;;
Tische;;;;;
Theke;;261;1714.30;74.44 %;
Tisch 1;;11;131.30;5.70 %;
Tisch 10;;2;29.70;1.29 %;
Tisch 11;;2;8.20;0.36 %;
Tisch 12;;5;39.60;1.72 %;
Tisch 13;;2;18.00;0.78 %;
Tisch 14;;2;6.00;0.26 %;
Tisch 15;;5;32.00;1.39 %;
Tisch 2;;10;60.70;2.64 %;
Tisch 20;;5;35.40;1.54 %;
Tisch 3;;7;70.70;3.07 %;
Tisch 30;;4;34.30;1.49 %;
Tisch 4;;7;80.80;3.51 %;
Tisch 5;;7;41.80;1.82 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;490;1433.60;62.25 %;;61;194.00;;429;1239.60
Sonstiges;;46;550.00;23.88 %;;4;41.00;;42;509.00
Speisen;;85;319.20;13.86 %;;10;41.00;;75;278.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Kaffee;;307;839.90;36.47 %;;42;123.50;;265;716.40
Röstkaffee;;46;550.00;23.88 %;;4;41.00;;42;509.00
Sommer;;145;481.60;20.91 %;;13;52.00;;132;429.60
Speisen;;85;319.20;13.86 %;;10;41.00;;75;278.20
Non Kaffee;;31;88.20;3.83 %;;5;14.70;;26;73.50
Hafer;;7;23.90;1.04 %;;1;3.80;;6;20.10
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;95;304.00;13.20 %;;17;54.40;;78;249.60
Flat White auf Eis;0;72;299.64;13.01 %;;11;46.20;;61;253.44
Prima Estate 250g;0;13;123.50;5.36 %;;2;19.00;;11;104.50
Flat White;0;31;117.80;5.12 %;;4;15.20;;27;102.60
Kuchen Maple Carrot;0;21;100.80;4.38 %;;2;9.60;;19;91.20
Bumbogo 250g;0;7;94.50;4.10 %;;0;0.00;;7;94.50
Cold Brew;0;31;93.00;4.04 %;;1;3.00;;30;90.00
Cappuccino groß;0;23;87.40;3.80 %;;2;7.60;;21;79.80
Kaltgetränk;0;24;67.20;2.92 %;;4;11.20;;20;56.00
El Carmen Decaf 250g;0;6;63.00;2.74 %;;1;10.50;;5;52.50
Americano auf Eis;0;22;59.76;2.60 %;;1;2.80;;21;56.96
Caffé Latte;0;16;56.00;2.43 %;;3;10.50;;13;45.50
Don Pasquale 250g;0;5;52.50;2.28 %;;0;0.00;;5;52.50
Granola COCOS;0;11;46.20;2.01 %;;2;8.40;;9;37.80
Banana Bread PINE NUT;0;12;45.60;1.98 %;;4;15.20;;8;30.40
Pain au chocolat;0;16;44.80;1.95 %;;0;0.00;;16;44.80
Espresso single;0;22;44.00;1.91 %;;0;0.00;;22;44.00
Lua Clara 1000g;0;1;42.00;1.82 %;;0;0.00;;1;42.00
Finca Isnul 250g;0;4;42.00;1.82 %;;0;0.00;;4;42.00
Doppio;0;14;35.00;1.52 %;;2;5.00;;12;30.00
Espresso Macchiato;0;14;35.00;1.52 %;;1;2.50;;13;32.50
Panini DUKKAH BETA;0;6;34.80;1.51 %;;1;5.80;;5;29.00
El Moreno 250g;0;3;34.50;1.50 %;;1;11.50;;2;23.00
Café Crème;0;12;30.00;1.30 %;;5;12.50;;7;17.50
