;von;bis;;
Datum:;14.08.2020;14.08.2020;;
Enthalt Z;89;89;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1077.40;97.87 %;
Auslagen;;;21.00;1.91 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.50;0.23 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;21.00;1.91 %;
5.0%;;;893.10;81.31 %;
16.0%;;;184.30;16.78 %;
Total;;;1098.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;21.00;2.04 %;
5.0%;;;850.69;82.54 %;
16.0%;;;158.97;15.42 %;
Total;;;1030.66;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;42.41;62.61 %;
16.0%;;;25.33;37.39 %;
Total;;;67.74;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;127;776.80;70.72 %;0.00
Maestro;;23;226.90;20.66 %;2.00
MasterCard;;5;41.50;3.78 %;0.00
Visa;;6;42.90;3.91 %;0.50
Visa Electron;;2;10.30;0.94 %;0.00
Total;;163;1098.40;100.00 %;2.50
;;;;
Umsatzdetails;;;;;
Anna;;;215.20;19.97 %;2.00
Clara;;;104.20;9.67 %;0.50
Lena;;;556.20;51.62 %;0.00
Mik;;;70.40;6.53 %;0.00
Moritz;;;131.40;12.20 %;0.00
Total;;;1077.40;100.00 %;2.50
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;117;726.30;66.12 %;
Tisch 1;;4;57.00;5.19 %;
Tisch 10;;2;23.70;2.16 %;
Tisch 11;;1;3.00;0.27 %;
Tisch 12;;6;35.60;3.24 %;
Tisch 13;;2;13.80;1.26 %;
Tisch 14;;4;22.10;2.01 %;
Tisch 15;;1;7.30;0.66 %;
Tisch 2;;5;46.10;4.20 %;
Tisch 20;;5;31.50;2.87 %;
Tisch 3;;3;32.70;2.98 %;
Tisch 30;;4;24.80;2.26 %;
Tisch 4;;5;44.30;4.03 %;
Tisch 5;;4;30.20;2.75 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;254;743.70;67.71 %;;0;0.00;;254;743.70
Speisen;;64;229.70;20.91 %;;0;0.00;;64;229.70
Sonstiges;;12;125.00;11.38 %;;0;0.00;;12;125.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Kaffee;;179;518.30;47.19 %;;0;0.00;;179;518.30
Speisen;;64;229.70;20.91 %;;0;0.00;;64;229.70
Sommer;;52;175.00;15.93 %;;0;0.00;;52;175.00
Röstkaffee;;10;105.00;9.56 %;;0;0.00;;10;105.00
Non Kaffee;;21;46.20;4.21 %;;0;0.00;;21;46.20
Gutscheine;;2;20.00;1.82 %;;0;0.00;;2;20.00
Hafer;;2;4.20;0.38 %;;0;0.00;;2;4.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;57;182.40;16.61 %;;0;0.00;;57;182.40
Flat White;0;34;129.20;11.76 %;;0;0.00;;34;129.20
Flat White auf Eis;0;22;92.40;8.41 %;;0;0.00;;22;92.40
Kuchen Maple Carrot;0;16;76.80;6.99 %;;0;0.00;;16;76.80
Cold Brew;0;15;45.00;4.10 %;;0;0.00;;15;45.00
Pain au chocolat;0;14;39.20;3.57 %;;0;0.00;;14;39.20
Banana Bread PINE NUT;0;10;38.00;3.46 %;;0;0.00;;10;38.00
Prima Estate 250g;0;4;38.00;3.46 %;;0;0.00;;4;38.00
Cappuccino groß;0;9;34.20;3.11 %;;0;0.00;;9;34.20
Finca Isnul 250g;0;3;31.50;2.87 %;;0;0.00;;3;31.50
Croissant;0;14;28.00;2.55 %;;0;0.00;;14;28.00
Caffé Latte;0;8;28.00;2.55 %;;0;0.00;;8;28.00
Espresso Macchiato;0;11;27.50;2.50 %;;0;0.00;;11;27.50
Espresso Tonic;0;6;25.20;2.29 %;;0;0.00;;6;25.20
Kaltgetränk;0;9;25.20;2.29 %;;0;0.00;;9;25.20
Espresso single;0;12;24.00;2.18 %;;0;0.00;;12;24.00
Panini DUKKAH BETA;0;4;23.20;2.11 %;;0;0.00;;4;23.20
Granola COCOS;0;5;21.00;1.91 %;;0;0.00;;5;21.00
Café Crème;0;8;20.00;1.82 %;;0;0.00;;8;20.00
10€ Gutschein;0;2;20.00;1.82 %;;0;0.00;;2;20.00
Americano;0;8;20.00;1.82 %;;0;0.00;;8;20.00
Caffé Latte doppelt;0;5;19.00;1.73 %;;0;0.00;;5;19.00
Kakao;0;5;17.50;1.59 %;;0;0.00;;5;17.50
Bumbogo 250g;0;1;13.50;1.23 %;;0;0.00;;1;13.50
El Moreno 250g;0;1;11.50;1.05 %;;0;0.00;;1;11.50
El Carmen Decaf 250g;0;1;10.50;0.96 %;;0;0.00;;1;10.50
Doppio;0;4;10.00;0.91 %;;0;0.00;;4;10.00
Filterkaffee;0;4;10.00;0.91 %;;0;0.00;;4;10.00
Hand Brew;0;2;9.00;0.82 %;;0;0.00;;2;9.00
Americano auf Eis;0;3;8.40;0.76 %;;0;0.00;;3;8.40
ReCup ausgeben;0;5;5.00;0.46 %;;0;0.00;;5;5.00
ReCup ausgeben *;0;5;5.00;0.46 %;;0;0.00;;5;5.00
Tea;0;1;3.50;0.32 %;;0;0.00;;1;3.50
Croissant CREMA LIMA;0;1;3.50;0.32 %;;0;0.00;;1;3.50
Cappuccino Hafer;0;1;3.20;0.29 %;;0;0.00;;1;3.20
Doppio Macchiato;0;1;3.00;0.27 %;;0;0.00;;1;3.00
Americano groß;0;1;3.00;0.27 %;;0;0.00;;1;3.00
Café Crème groß;0;1;3.00;0.27 %;;0;0.00;;1;3.00
ReCup ausgeben ***;0;1;1.00;0.09 %;;0;0.00;;1;1.00
Milchschaum Kids;0;6;0.00;0.00 %;;0;0.00;;6;0.00
ReCup zurücknehmen *;0;1;-1.00;-0.09 %;;0;0.00;;1;-1.00
ReCup zurücknehmen;0;9;-9.00;-0.82 %;;0;0.00;;9;-9.00
;;;;
