;von;bis;;
Datum:;17.10.2020;17.10.2020;;
Enthalt Z;141;141;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1646.20;97.69 %;
Auslagen;;;32.00;1.90 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;7.00;0.42 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;32.00;1.91 %;
5.0%;;;1426.10;84.98 %;
16.0%;;;220.10;13.12 %;
Total;;;1678.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;32.00;2.03 %;
5.0%;;;1358.32;85.96 %;
16.0%;;;189.90;12.02 %;
Total;;;1580.22;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;67.78;69.18 %;
16.0%;;;30.20;30.82 %;
Total;;;97.98;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;135;1086.80;64.76 %;0.00
Maestro;;26;315.60;18.81 %;0.60
MasterCard;;9;115.50;6.88 %;1.90
Mehrzweckgutschein;;1;6.40;0.38 %;0.00
Visa;;10;71.20;4.24 %;1.30
Visa Electron;;8;82.70;4.93 %;3.20
Total;;189;1678.20;100.00 %;7.00
;;;;
Umsatzdetails;;;;;
Clara;;;300.90;18.28 %;0.00
Lena;;;361.20;21.94 %;5.70
Mik;;;131.80;8.01 %;0.00
Moritz;;;22.90;1.39 %;0.60
Sebastian;;;480.10;29.16 %;0.00
Slobo;;;349.30;21.22 %;0.70
Total;;;1646.20;100.00 %;7.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;150;1290.30;76.89 %;
Tisch 1;;3;27.10;1.61 %;
Tisch 10;;3;31.20;1.86 %;
Tisch 11;;1;6.00;0.36 %;
Tisch 12;;2;21.40;1.28 %;
Tisch 13;;1;10.50;0.63 %;
Tisch 15;;2;16.30;0.97 %;
Tisch 2;;3;46.30;2.76 %;
Tisch 3;;11;123.30;7.35 %;
Tisch 4;;4;37.60;2.24 %;
Tisch 5;;6;43.00;2.56 %;
Tisch 6;;1;7.00;0.42 %;
Tisch 7;;2;18.20;1.08 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;333;954.50;56.88 %;;38;99.00;;295;855.50
Sonstiges;;39;468.00;27.89 %;;2;36.00;;37;432.00
Speisen;;65;255.70;15.24 %;;12;38.70;;53;217.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;216;744.50;44.36 %;;20;66.40;;196;678.10
Röstkaffee;;36;433.50;25.83 %;;2;36.00;;34;397.50
Speisen;;65;255.70;15.24 %;;12;38.70;;53;217.00
Kaffee;;105;175.00;10.43 %;;15;23.50;;90;151.50
Non Kaffee;;10;28.00;1.67 %;;3;9.10;;7;18.90
Gutscheine;;2;20.00;1.19 %;;0;0.00;;2;20.00
Equipment;;1;14.50;0.86 %;;0;0.00;;1;14.50
Sommer;;2;7.00;0.42 %;;0;0.00;;2;7.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;108;345.60;20.59 %;;14;44.80;;94;300.80
Flat White;0;34;129.20;7.70 %;;0;0.00;;34;129.20
MUYU 250g;0;13;123.50;7.36 %;;0;0.00;;13;123.50
Kuchen Maple Carrot;0;24;115.20;6.86 %;;1;4.80;;23;110.40
Cappuccino groß;0;27;102.60;6.11 %;;2;7.60;;25;95.00
Caffé Latte;0;22;77.00;4.59 %;;4;14.00;;18;63.00
Kakao;0;19;66.50;3.96 %;;0;0.00;;19;66.50
DON PASCUAL 250g;0;6;63.00;3.75 %;;0;0.00;;6;63.00
EL MORENO 250g;0;5;57.50;3.43 %;;0;0.00;;5;57.50
Banana Bread PINE NUT;0;12;45.60;2.72 %;;1;3.80;;11;41.80
Americano;0;17;42.50;2.53 %;;1;2.50;;16;40.00
MUYU 500g;0;2;36.00;2.15 %;;2;36.00;;0;0.00
MUYU 1000g;0;1;34.00;2.03 %;;0;0.00;;1;34.00
Filterkaffee;0;12;30.00;1.79 %;;1;2.50;;11;27.50
BUMBOGO 250g;0;2;27.00;1.61 %;;0;0.00;;2;27.00
ReCup ausgeben;0;26;26.00;1.55 %;;5;5.00;;21;21.00
Pain au chocolat;0;9;25.20;1.50 %;;3;8.40;;6;16.80
Granola COCOS;0;6;25.20;1.50 %;;1;4.20;;5;21.00
Feigenbrot;0;3;22.50;1.34 %;;1;7.50;;2;15.00
Croissant;0;11;22.00;1.31 %;;5;10.00;;6;12.00
