;von;bis;;
Datum:;02.11.2020;02.11.2020;;
Enthalt Z;154;155;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;762.90;91.16 %;
Auslagen;;;74.00;8.84 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;74.00;8.88 %;
5.0%;;;668.00;80.20 %;
16.0%;;;90.90;10.91 %;
Total;;;832.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;74.00;9.38 %;
5.0%;;;636.30;80.67 %;
16.0%;;;78.45;9.95 %;
Total;;;788.75;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;31.70;71.80 %;
16.0%;;;12.45;28.20 %;
Total;;;44.15;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;131;501.90;59.97 %;0.00
Maestro;;19;249.30;29.79 %;0.00
MasterCard;;6;41.90;5.01 %;0.00
Visa;;2;20.00;2.39 %;0.00
Visa Electron;;3;23.80;2.84 %;0.00
Total;;161;836.90;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;517.10;67.78 %;0.00
Robin;;;16.90;2.22 %;0.00
Slobo;;;228.90;30.00 %;0.00
Total;;;762.90;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;2;2.20;100.00 %;
Total;;2;2.20;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;153;836.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;356;552.90;66.38 %;;7;16.40;;349;536.50
Sonstiges;;19;238.00;28.57 %;;1;10.50;;18;227.50
Speisen;;16;42.00;5.04 %;;1;2.80;;15;39.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;116;401.80;48.24 %;;4;13.40;;112;388.40
Röstkaffee;;18;228.00;27.37 %;;1;10.50;;17;217.50
Kaffee;;238;145.50;17.47 %;;3;3.00;;235;142.50
Speisen;;16;42.00;5.04 %;;1;2.80;;15;39.20
Gutscheine;;1;10.00;1.20 %;;0;0.00;;1;10.00
Non Kaffee;;2;5.60;0.67 %;;0;0.00;;2;5.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;59;188.80;22.67 %;;3;9.60;;56;179.20
ReCup ausgeben;0;136;136.00;16.33 %;;3;3.00;;133;133.00
Flat White;0;19;72.20;8.67 %;;0;0.00;;19;72.20
Cappuccino groß;0;16;60.80;7.30 %;;1;3.80;;15;57.00
Caffé Latte;0;15;52.50;6.30 %;;0;0.00;;15;52.50
MUYU 250g;0;5;47.50;5.70 %;;0;0.00;;5;47.50
LUA CLARA 1000g;0;1;42.00;5.04 %;;0;0.00;;1;42.00
DON PASCUAL 250g;0;3;31.50;3.78 %;;0;0.00;;3;31.50
FINCA ISNUL 250g;0;3;31.50;3.78 %;;1;10.50;;2;21.00
EL MORENO 250g;0;2;23.00;2.76 %;;0;0.00;;2;23.00
Pain au chocolat;0;8;22.40;2.69 %;;1;2.80;;7;19.60
EL CARMEN Decaf 250g;0;2;21.00;2.52 %;;0;0.00;;2;21.00
Café Crème;0;8;20.00;2.40 %;;0;0.00;;8;20.00
DON PASCUAL 500g;0;1;20.00;2.40 %;;0;0.00;;1;20.00
Americano groß;0;5;15.00;1.80 %;;0;0.00;;5;15.00
Flat White auf Eis;0;3;12.60;1.51 %;;0;0.00;;3;12.60
Croissant;0;6;12.00;1.44 %;;0;0.00;;6;12.00
LUA CLARA 250g;0;1;11.50;1.38 %;;0;0.00;;1;11.50
Caffé Latte doppelt;0;3;11.40;1.37 %;;0;0.00;;3;11.40
10€ Gutschein;0;1;10.00;1.20 %;;0;0.00;;1;10.00
Doppio;0;4;10.00;1.20 %;;0;0.00;;4;10.00
Espresso Macchiato;0;4;10.00;1.20 %;;0;0.00;;4;10.00
Filterkaffee;0;4;10.00;1.20 %;;0;0.00;;4;10.00
Hand Brew;0;2;9.00;1.08 %;;0;0.00;;2;9.00
Banana Bread PINE NUT;0;2;7.60;0.91 %;;0;0.00;;2;7.60
Kaltgetränk;0;2;5.60;0.67 %;;0;0.00;;2;5.60
Kakao;0;1;3.50;0.42 %;;0;0.00;;1;3.50
Doppio Macchiato;0;1;3.00;0.36 %;;0;0.00;;1;3.00
Americano;0;1;2.50;0.30 %;;0;0.00;;1;2.50
Espresso single;0;1;2.00;0.24 %;;0;0.00;;1;2.00
ReCup zurücknehmen;0;72;-72.00;-8.64 %;;0;0.00;;72;-72.00
;;;;
