;von;bis;;
Datum:;20.11.2020;20.11.2020;;
Enthalt Z;171;171;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1058.50;98.69 %;
Auslagen;;;14.00;1.31 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;14.00;1.31 %;
5.0%;;;924.20;86.17 %;
16.0%;;;134.30;12.52 %;
Total;;;1072.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;14.00;1.39 %;
5.0%;;;880.37;87.14 %;
16.0%;;;115.93;11.47 %;
Total;;;1010.30;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;43.83;70.47 %;
16.0%;;;18.37;29.53 %;
Total;;;62.20;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;137;756.95;70.58 %;0.00
Maestro;;20;201.60;18.80 %;0.00
MasterCard;;2;17.20;1.60 %;0.00
Visa;;2;21.50;2.00 %;0.00
Visa Electron;;5;75.25;7.02 %;0.00
Total;;166;1072.50;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;31.20;2.95 %;0.00
Martin;;;1002.40;94.70 %;0.00
Robin;;;24.90;2.35 %;0.00
Total;;;1058.50;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;2;23.50;100.00 %;
Total;;2;23.50;100.00 %;
;;;;
Tische;;;;;
Theke;;166;1072.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;289;698.30;65.11 %;;0;0.00;;289;698.30
Sonstiges;;26;296.00;27.60 %;;0;0.00;;26;296.00
Speisen;;26;78.20;7.29 %;;0;0.00;;26;78.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;155;534.40;49.83 %;;0;0.00;;155;534.40
Röstkaffee;;26;296.00;27.60 %;;0;0.00;;26;296.00
Kaffee;;124;135.00;12.59 %;;0;0.00;;124;135.00
Speisen;;26;78.20;7.29 %;;0;0.00;;26;78.20
Winter #1;;4;15.60;1.45 %;;0;0.00;;4;15.60
Non Kaffee;;6;13.30;1.24 %;;0;0.00;;6;13.30
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;78;249.60;23.27 %;;0;0.00;;78;249.60
Flat White;0;30;114.00;10.63 %;;0;0.00;;30;114.00
MUYU 250g;0;11;104.50;9.74 %;;0;0.00;;11;104.50
Cappuccino groß;0;19;72.20;6.73 %;;0;0.00;;19;72.20
Caffé Latte;0;17;59.50;5.55 %;;0;0.00;;17;59.50
BUMBOGO 250g;0;4;47.25;4.41 %;;0;0.00;;4;47.25
ReCup ausgeben;0;45;45.00;4.20 %;;0;0.00;;45;45.00
Banana Bread PINE NUT;0;11;41.80;3.90 %;;0;0.00;;11;41.80
Americano;0;15;37.50;3.50 %;;0;0.00;;15;37.50
MUYU 1000g;0;1;34.00;3.17 %;;0;0.00;;1;34.00
Kakao;0;9;31.50;2.94 %;;0;0.00;;9;31.50
EL MORENO 250g;0;3;28.75;2.68 %;;0;0.00;;3;28.75
Filterkaffee;0;9;22.50;2.10 %;;0;0.00;;9;22.50
Pain au chocolat;0;8;22.40;2.09 %;;0;0.00;;8;22.40
FINCA ISNUL 250g;0;2;21.00;1.96 %;;0;0.00;;2;21.00
DON PASCUAL 500g;0;1;20.00;1.86 %;;0;0.00;;1;20.00
PAPAKUCHI 500g;0;1;18.00;1.68 %;;0;0.00;;1;18.00
LUA CLARA 250g;0;2;17.25;1.61 %;;0;0.00;;2;17.25
Café Crème;0;6;15.00;1.40 %;;0;0.00;;6;15.00
Espresso single;0;7;14.00;1.31 %;;0;0.00;;7;14.00
Croissant;0;7;14.00;1.31 %;;0;0.00;;7;14.00
Chai #1;0;3;11.40;1.06 %;;0;0.00;;3;11.40
Tea;0;3;10.50;0.98 %;;0;0.00;;3;10.50
Caffé Latte doppelt;0;2;7.60;0.71 %;;0;0.00;;2;7.60
Espresso Macchiato;0;3;7.50;0.70 %;;0;0.00;;3;7.50
Café Crème groß;0;2;6.00;0.56 %;;0;0.00;;2;6.00
Americano groß;0;2;6.00;0.56 %;;0;0.00;;2;6.00
DON PASCUAL 250g;0;1;5.25;0.49 %;;0;0.00;;1;5.25
Doppio;0;2;5.00;0.47 %;;0;0.00;;2;5.00
Hand Brew;0;1;4.50;0.42 %;;0;0.00;;1;4.50
Irish Coffee #1;0;1;4.20;0.39 %;;0;0.00;;1;4.20
Doppio Macchiato;0;1;3.00;0.28 %;;0;0.00;;1;3.00
Kaltgetränk;0;1;2.80;0.26 %;;0;0.00;;1;2.80
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup zurücknehmen;0;31;-31.00;-2.89 %;;0;0.00;;31;-31.00
;;;;
