;von;bis;;
Datum:;05.12.2020;05.12.2020;;
Enthalt Z;184;184;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1532.15;97.33 %;
Auslagen;;;41.00;2.60 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.10;0.07 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;41.00;2.61 %;
5.0%;;;1353.65;86.05 %;
16.0%;;;178.50;11.35 %;
Total;;;1573.15;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;41.00;2.76 %;
5.0%;;;1289.34;86.86 %;
16.0%;;;154.02;10.38 %;
Total;;;1484.36;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;64.31;72.43 %;
16.0%;;;24.48;27.57 %;
Total;;;88.79;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;161;971.10;61.73 %;0.00
Maestro;;31;372.75;23.69 %;0.60
MasterCard;;7;62.50;3.97 %;0.50
Visa;;8;92.30;5.87 %;0.00
Visa Electron;;8;74.50;4.74 %;0.00
Total;;215;1573.15;100.00 %;1.10
;;;;
Umsatzdetails;;;;;
Lena;;;555.90;36.28 %;0.50
Martin;;;976.25;63.72 %;0.60
Total;;;1532.15;100.00 %;1.10
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;3;33.25;100.00 %;
Total;;3;33.25;100.00 %;
;;;;
Tische;;;;;
Theke;;215;1573.15;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;397;855.70;54.39 %;;0;0.00;;397;855.70
Sonstiges;;53;644.25;40.95 %;;0;0.00;;53;644.25
Speisen;;25;73.20;4.65 %;;0;0.00;;25;73.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;184;627.80;39.91 %;;0;0.00;;184;627.80
Röstkaffee;;50;620.25;39.43 %;;0;0.00;;50;620.25
Kaffee;;200;192.00;12.20 %;;0;0.00;;200;192.00
Speisen;;25;73.20;4.65 %;;0;0.00;;25;73.20
Winter #1;;8;32.40;2.06 %;;0;0.00;;8;32.40
Equipment;;2;14.00;0.89 %;;0;0.00;;2;14.00
Gutscheine;;1;10.00;0.64 %;;0;0.00;;1;10.00
Non Kaffee;;5;3.50;0.22 %;;0;0.00;;5;3.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;103;329.60;20.95 %;;0;0.00;;103;329.60
MUYU 250g;0;13;118.75;7.55 %;;0;0.00;;13;118.75
Caffé Latte;0;25;87.50;5.56 %;;0;0.00;;25;87.50
Flat White;0;23;87.40;5.56 %;;0;0.00;;23;87.40
ReCup ausgeben;0;84;84.00;5.34 %;;0;0.00;;84;84.00
Cappuccino groß;0;19;72.20;4.59 %;;0;0.00;;19;72.20
FINCA ISNUL 500g;0;3;66.00;4.20 %;;0;0.00;;3;66.00
FINCA ISNUL 250g;0;5;57.50;3.66 %;;0;0.00;;5;57.50
GOVER CUEVA 250g;0;4;50.75;3.23 %;;0;0.00;;4;50.75
BUMBOGO 250g;0;4;47.25;3.00 %;;0;0.00;;4;47.25
LUA CLARA 500g;0;2;44.00;2.80 %;;0;0.00;;2;44.00
LA DALIA 250g;0;3;43.75;2.78 %;;0;0.00;;3;43.75
KRA JAN 250g;0;3;40.50;2.57 %;;0;0.00;;3;40.50
Pain au chocolat;0;11;30.80;1.96 %;;0;0.00;;11;30.80
Banana Bread PINE NUT;0;8;30.40;1.93 %;;0;0.00;;8;30.40
ATSABE 250g;0;3;28.75;1.83 %;;0;0.00;;3;28.75
Filterkaffee;0;11;27.50;1.75 %;;0;0.00;;11;27.50
Caffé Latte doppelt;0;7;26.60;1.69 %;;0;0.00;;7;26.60
Americano;0;10;25.00;1.59 %;;0;0.00;;10;25.00
Kakao;0;7;24.50;1.56 %;;0;0.00;;7;24.50
EL MORENO 250g;0;2;23.00;1.46 %;;0;0.00;;2;23.00
Espresso single;0;11;22.00;1.40 %;;0;0.00;;11;22.00
EL CARMEN Decaf 250g;0;2;21.00;1.33 %;;0;0.00;;2;21.00
