;von;bis;;
Datum:;23.12.2020;23.12.2020;;
Enthalt Z;199;199;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1781.90;94.49 %;
Auslagen;;;104.00;5.51 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;104.00;5.51 %;
5.0%;;;1444.30;76.58 %;
16.0%;;;337.60;17.90 %;
Total;;;1885.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;104.00;5.87 %;
5.0%;;;1375.62;77.69 %;
16.0%;;;291.10;16.44 %;
Total;;;1770.72;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;68.68;59.63 %;
16.0%;;;46.50;40.37 %;
Total;;;115.18;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;118;797.10;42.27 %;0.00
Maestro;;42;800.20;42.43 %;0.00
MasterCard;;2;32.00;1.70 %;0.00
Visa;;7;114.60;6.08 %;0.00
Visa Electron;;11;142.00;7.53 %;0.00
Total;;180;1885.90;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;733.20;41.15 %;0.00
Martin;;;1038.80;58.30 %;0.00
Robin;;;9.90;0.56 %;0.00
Total;;;1781.90;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Personal 1/2 Preis;;1;13.50;100.00 %;
Total;;1;13.50;100.00 %;
;;;;
Tische;;;;;
Theke;;180;1885.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;101;1252.50;66.41 %;;0;0.00;;101;1252.50
Getränke;;399;538.10;28.53 %;;0;0.00;;399;538.10
Speisen;;29;95.30;5.05 %;;0;0.00;;29;95.30
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;82;956.00;50.69 %;;0;0.00;;82;956.00
Milchmischgetränke;;109;373.40;19.80 %;;0;0.00;;109;373.40
Equipment;;15;231.50;12.28 %;;0;0.00;;15;231.50
Kaffee;;259;137.50;7.29 %;;0;0.00;;259;137.50
Speisen;;29;95.30;5.05 %;;0;0.00;;29;95.30
Gutscheine;;4;65.00;3.45 %;;0;0.00;;4;65.00
Non Kaffee;;29;19.60;1.04 %;;0;0.00;;29;19.60
Winter #1;;2;7.60;0.40 %;;0;0.00;;2;7.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
MUYU 250g;0;26;247.00;13.10 %;;0;0.00;;26;247.00
Cappuccino;0;61;195.20;10.35 %;;0;0.00;;61;195.20
ReCup ausgeben;0;125;125.00;6.63 %;;0;0.00;;125;125.00
Tasse M;0;4;112.00;5.94 %;;0;0.00;;4;112.00
KRA JAN 250g;0;7;94.50;5.01 %;;0;0.00;;7;94.50
MUYU 500g;0;5;90.00;4.77 %;;0;0.00;;5;90.00
PAPAKUCHI 250g;0;9;85.50;4.53 %;;0;0.00;;9;85.50
Cappuccino groß;0;20;76.00;4.03 %;;0;0.00;;20;76.00
LUA CLARA 250g;0;6;69.00;3.66 %;;0;0.00;;6;69.00
EL MORENO 250g;0;5;57.50;3.05 %;;0;0.00;;5;57.50
