;von;bis;;
Datum:;24.12.2020;24.12.2020;;
Enthalt Z;200;200;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;904.95;98.80 %;
Auslagen;;;11.00;1.20 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;11.00;1.20 %;
5.0%;;;799.45;87.28 %;
16.0%;;;105.50;11.52 %;
Total;;;915.95;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;11.00;1.27 %;
5.0%;;;761.48;88.19 %;
16.0%;;;90.95;10.53 %;
Total;;;863.43;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;37.97;72.30 %;
16.0%;;;14.55;27.70 %;
Total;;;52.52;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;44;328.00;35.81 %;0.00
Maestro;;17;324.05;35.38 %;0.00
MasterCard;;4;41.10;4.49 %;0.00
Visa;;4;78.20;8.54 %;0.00
Visa Electron;;8;144.60;15.79 %;0.00
Total;;77;915.95;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;444.20;49.09 %;0.00
Martin;;;460.75;50.91 %;0.00
Total;;;904.95;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;2;20.75;100.00 %;
Total;;2;20.75;100.00 %;
;;;;
Tische;;;;;
Theke;;77;915.95;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;40;567.75;61.98 %;;0;0.00;;40;567.75
Getränke;;128;275.20;30.05 %;;0;0.00;;128;275.20
Speisen;;24;73.00;7.97 %;;0;0.00;;24;73.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;37;505.25;55.16 %;;0;0.00;;37;505.25
Milchmischgetränke;;65;221.20;24.15 %;;0;0.00;;65;221.20
Speisen;;24;73.00;7.97 %;;0;0.00;;24;73.00
Equipment;;3;62.50;6.82 %;;0;0.00;;3;62.50
Kaffee;;63;54.00;5.90 %;;0;0.00;;63;54.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;39;124.80;13.63 %;;0;0.00;;39;124.80
MUYU 250g;0;12;114.00;12.45 %;;0;0.00;;12;114.00
LUA CLARA 1000g;0;2;84.00;9.17 %;;0;0.00;;2;84.00
MUYU 500g;0;3;54.00;5.90 %;;0;0.00;;3;54.00
Flat White;0;12;45.60;4.98 %;;0;0.00;;12;45.60
Tasse L;0;1;35.00;3.82 %;;0;0.00;;1;35.00
FINCA ISNUL 250g;0;3;34.50;3.77 %;;0;0.00;;3;34.50
MUYU 1000g;0;1;34.00;3.71 %;;0;0.00;;1;34.00
KRA JAN 250g;0;3;33.75;3.68 %;;0;0.00;;3;33.75
PAPAKUCHI 250g;0;3;28.50;3.11 %;;0;0.00;;3;28.50
ReCup ausgeben;0;28;28.00;3.06 %;;0;0.00;;28;28.00
LA DALIA 250g;0;2;26.25;2.87 %;;0;0.00;;2;26.25
Cappuccino groß;0;6;22.80;2.49 %;;0;0.00;;6;22.80
EL MORENO 500g;0;1;22.00;2.40 %;;0;0.00;;1;22.00
EL CARMEN Decaf 250g;0;2;21.00;2.29 %;;0;0.00;;2;21.00
NY Cheescake;0;4;19.20;2.10 %;;0;0.00;;4;19.20
Tasse S;0;1;18.00;1.97 %;;0;0.00;;1;18.00
Croissant;0;9;18.00;1.97 %;;0;0.00;;9;18.00
Caffé Latte;0;5;17.50;1.91 %;;0;0.00;;5;17.50
Pain au chocolat;0;6;16.80;1.83 %;;0;0.00;;6;16.80
DON PASCUAL 250g;0;2;15.75;1.72 %;;0;0.00;;2;15.75
Brownie;0;4;15.20;1.66 %;;0;0.00;;4;15.20
GOVER CUEVA 250g;0;1;14.50;1.58 %;;0;0.00;;1;14.50
ATSABE 250g;0;1;11.50;1.26 %;;0;0.00;;1;11.50
EL MORENO 250g;0;1;11.50;1.26 %;;0;0.00;;1;11.50
Kakao;0;3;10.50;1.15 %;;0;0.00;;3;10.50
Espresso single;0;5;10.00;1.09 %;;0;0.00;;5;10.00
Doppio;0;4;10.00;1.09 %;;0;0.00;;4;10.00
Tasche SUEDHANG;0;1;9.50;1.04 %;;0;0.00;;1;9.50
Americano;0;3;7.50;0.82 %;;0;0.00;;3;7.50
Café Crème;0;2;5.00;0.55 %;;0;0.00;;2;5.00
Espresso Macchiato;0;2;5.00;0.55 %;;0;0.00;;2;5.00
Banana Bread PINE NUT;0;1;3.80;0.41 %;;0;0.00;;1;3.80
Café Crème groß;0;1;3.00;0.33 %;;0;0.00;;1;3.00
Filterkaffee;0;1;2.50;0.27 %;;0;0.00;;1;2.50
ReCup zurücknehmen;0;17;-17.00;-1.86 %;;0;0.00;;17;-17.00
;;;;
