;von;bis;;
Datum:;14.01.2021;14.01.2021;;
Enthalt Z;214;214;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;753.90;96.42 %;
Auslagen;;;28.00;3.58 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;3.58 %;
19.0%;;;113.00;14.45 %;
7.0%;;;640.90;81.97 %;
Total;;;781.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;3.88 %;
19.0%;;;94.94;13.15 %;
7.0%;;;598.92;82.97 %;
Total;;;721.86;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;18.06;30.08 %;
7.0%;;;41.98;69.92 %;
Total;;;60.04;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;99;485.60;62.11 %;0.00
Maestro;;13;159.10;20.35 %;0.00
Visa;;10;119.30;15.26 %;0.00
Visa Electron;;2;17.90;2.29 %;0.00
Total;;124;781.90;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Martin;;;401.60;53.27 %;0.00
Moritz;;;7.60;1.01 %;0.00
Slobo;;;344.70;45.72 %;0.00
Total;;;753.90;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;2;6.40;100.00 %;
Total;;2;6.40;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;124;781.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;313;438.00;56.02 %;;0;0.00;;313;438.00
Sonstiges;;19;262.50;33.57 %;;0;0.00;;19;262.50
Speisen;;29;81.40;10.41 %;;0;0.00;;29;81.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;103;353.00;45.15 %;;0;0.00;;103;353.00
Röstkaffee;;17;206.50;26.41 %;;0;0.00;;17;206.50
Speisen;;29;81.40;10.41 %;;0;0.00;;29;81.40
Kaffee;;208;78.00;9.98 %;;0;0.00;;208;78.00
Equipment;;2;56.00;7.16 %;;0;0.00;;2;56.00
Non Kaffee;;2;7.00;0.90 %;;0;0.00;;2;7.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;55;176.00;22.51 %;;0;0.00;;55;176.00
ReCup ausgeben;0;108;108.00;13.81 %;;0;0.00;;108;108.00
MUYU 250g;0;8;76.00;9.72 %;;0;0.00;;8;76.00
Flat White;0;19;72.20;9.23 %;;0;0.00;;19;72.20
Tasse M;0;2;56.00;7.16 %;;0;0.00;;2;56.00
Caffé Latte;0;11;38.50;4.92 %;;0;0.00;;11;38.50
Cappuccino groß;0;9;34.20;4.37 %;;0;0.00;;9;34.20
KRA JAN 250g;0;2;27.00;3.45 %;;0;0.00;;2;27.00
Pain au chocolat;0;9;25.20;3.22 %;;0;0.00;;9;25.20
Kakao;0;7;24.50;3.13 %;;0;0.00;;7;24.50
FINCA ISNUL 250g;0;2;23.00;2.94 %;;0;0.00;;2;23.00
ATSABE 500g;0;1;22.00;2.81 %;;0;0.00;;1;22.00
Brownie;0;6;19.20;2.46 %;;0;0.00;;6;19.20
Banana Bread PINE NUT;0;5;19.00;2.43 %;;0;0.00;;5;19.00
MUYU 500g;0;1;18.00;2.30 %;;0;0.00;;1;18.00
Croissant;0;9;18.00;2.30 %;;0;0.00;;9;18.00
LA DALIA 250g;0;1;17.50;2.24 %;;0;0.00;;1;17.50
BUMBOGO 250g;0;1;13.50;1.73 %;;0;0.00;;1;13.50
Filterkaffee;0;4;10.00;1.28 %;;0;0.00;;4;10.00
Americano;0;4;10.00;1.28 %;;0;0.00;;4;10.00
PAPAKUCHI 250g;0;1;9.50;1.21 %;;0;0.00;;1;9.50
Caffé Latte doppelt;0;2;7.60;0.97 %;;0;0.00;;2;7.60
Doppio;0;3;7.50;0.96 %;;0;0.00;;3;7.50
Tea;0;2;7.00;0.90 %;;0;0.00;;2;7.00
Espresso single;0;3;6.00;0.77 %;;0;0.00;;3;6.00
Doppio Macchiato;0;2;6.00;0.77 %;;0;0.00;;2;6.00
Espresso Macchiato;0;2;5.00;0.64 %;;0;0.00;;2;5.00
Café Crème groß;0;1;3.00;0.38 %;;0;0.00;;1;3.00
Café Crème;0;1;2.50;0.32 %;;0;0.00;;1;2.50
ReCup zurücknehmen;0;80;-80.00;-10.23 %;;0;0.00;;80;-80.00
;;;;
