;von;bis;;
Datum:;04.02.2021;04.02.2021;;
Enthalt Z;233;233;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1186.10;96.74 %;
Auslagen;;;40.00;3.26 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;40.00;3.26 %;
19.0%;;;148.10;12.08 %;
7.0%;;;1038.00;84.66 %;
Total;;;1226.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;40.00;3.53 %;
19.0%;;;124.40;10.97 %;
7.0%;;;969.96;85.51 %;
Total;;;1134.36;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;23.70;25.83 %;
7.0%;;;68.04;74.17 %;
Total;;;91.74;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;194;624.40;50.93 %;0.00
Maestro;;27;414.90;33.84 %;0.00
MasterCard;;3;29.50;2.41 %;0.00
Visa;;9;99.40;8.11 %;0.00
Visa Electron;;8;57.90;4.72 %;0.00
Total;;241;1226.10;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Martin;;;989.70;83.44 %;0.00
Robin;;;196.40;16.56 %;0.00
Total;;;1186.10;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;11.50;100.00 %;
Total;;1;11.50;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;241;1226.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;623;774.80;63.19 %;;0;0.00;;623;774.80
Sonstiges;;28;402.50;32.83 %;;0;0.00;;28;402.50
Speisen;;18;48.80;3.98 %;;0;0.00;;18;48.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;174;593.70;48.42 %;;0;0.00;;174;593.70
Röstkaffee;;27;395.50;32.26 %;;0;0.00;;27;395.50
Kaffee;;303;139.50;11.38 %;;0;0.00;;303;139.50
Speisen;;18;48.80;3.98 %;;0;0.00;;18;48.80
Non Kaffee;;146;41.60;3.39 %;;0;0.00;;146;41.60
Equipment;;1;7.00;0.57 %;;0;0.00;;1;7.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;98;313.60;25.58 %;;0;0.00;;98;313.60
ReCup ausgeben;0;132;132.00;10.77 %;;0;0.00;;132;132.00
Cappuccino groß;0;24;91.20;7.44 %;;0;0.00;;24;91.20
Flat White;0;23;87.40;7.13 %;;0;0.00;;23;87.40
ReCup ausgeben **;0;85;85.00;6.93 %;;0;0.00;;85;85.00
Caffé Latte;0;22;77.00;6.28 %;;0;0.00;;22;77.00
MUYU 500g;0;3;54.00;4.40 %;;0;0.00;;3;54.00
MUYU 250g;0;5;47.50;3.87 %;;0;0.00;;5;47.50
FINCA ISNUL 250g;0;4;46.00;3.75 %;;0;0.00;;4;46.00
EL MORENO 500g;0;2;44.00;3.59 %;;0;0.00;;2;44.00
LUA CLARA 250g;0;3;34.50;2.81 %;;0;0.00;;3;34.50
MUYU 1000g;0;1;34.00;2.77 %;;0;0.00;;1;34.00
Filterkaffee;0;11;27.50;2.24 %;;0;0.00;;11;27.50
Americano;0;11;27.50;2.24 %;;0;0.00;;11;27.50
Kakao;0;7;24.50;2.00 %;;0;0.00;;7;24.50
Doppio;0;9;22.50;1.84 %;;0;0.00;;9;22.50
EL CARMEN Decaf 500g;0;1;22.00;1.79 %;;0;0.00;;1;22.00
DON PASCUAL 250g;0;2;21.00;1.71 %;;0;0.00;;2;21.00
Divers. Röstkaffee;0;1;20.00;1.63 %;;0;0.00;;1;20.00
Pain au chocolat;0;7;19.60;1.60 %;;0;0.00;;7;19.60
LA DALIA 250g;0;1;17.50;1.43 %;;0;0.00;;1;17.50
GUJI HADESO 250g;0;1;16.50;1.35 %;;0;0.00;;1;16.50
Banana Bread PINE NUT;0;4;15.20;1.24 %;;0;0.00;;4;15.20
Espresso single;0;7;14.00;1.14 %;;0;0.00;;7;14.00
Croissant;0;7;14.00;1.14 %;;0;0.00;;7;14.00
MUYU BOTTLE 365;0;1;13.50;1.10 %;;0;0.00;;1;13.50
Hand Brew;0;3;13.50;1.10 %;;0;0.00;;3;13.50
KRA JAN 250g;0;1;13.50;1.10 %;;0;0.00;;1;13.50
Espresso Macchiato;0;5;12.50;1.02 %;;0;0.00;;5;12.50
EL CARMEN Decaf 250g;0;1;11.50;0.94 %;;0;0.00;;1;11.50
Tea;0;2;7.00;0.57 %;;0;0.00;;2;7.00
Hario V60 filter (100) 02;0;1;7.00;0.57 %;;0;0.00;;1;7.00
Kaltgetränk;0;2;5.60;0.46 %;;0;0.00;;2;5.60
Café Crème;0;2;5.00;0.41 %;;0;0.00;;2;5.00
Doppio Macchiato;0;1;3.00;0.24 %;;0;0.00;;1;3.00
Americano groß;0;1;3.00;0.24 %;;0;0.00;;1;3.00
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup zurücknehmen **;0;56;-56.00;-4.57 %;;0;0.00;;56;-56.00
ReCup zurücknehmen;0;121;-121.00;-9.87 %;;0;0.00;;121;-121.00
;;;;
