;von;bis;;
Datum:;09.03.2021;09.03.2021;;
Enthalt Z;261;261;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1140.10;97.60 %;
Auslagen;;;28.00;2.40 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;2.40 %;
19.0%;;;154.00;13.18 %;
7.0%;;;986.10;84.42 %;
Total;;;1168.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;2.60 %;
19.0%;;;129.38;11.99 %;
7.0%;;;921.47;85.41 %;
Total;;;1078.85;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;24.62;27.59 %;
7.0%;;;64.63;72.41 %;
Total;;;89.25;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;160;689.20;59.00 %;0.00
Maestro;;23;312.90;26.79 %;0.00
MasterCard;;1;29.60;2.53 %;0.00
Visa;;6;76.40;6.54 %;0.00
Visa Electron;;6;60.00;5.14 %;0.00
Total;;196;1168.10;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;208.90;18.32 %;0.00
Khalid;;;490.50;43.02 %;0.00
Robin;;;27.10;2.38 %;0.00
Sebastian;;;350.20;30.72 %;0.00
Slobo;;;63.40;5.56 %;0.00
Total;;;1140.10;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;3.20;100.00 %;
Total;;1;3.20;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;196;1168.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;509;676.30;57.90 %;;0;0.00;;509;676.30
Sonstiges;;17;304.00;26.03 %;;0;0.00;;17;304.00
Speisen;;58;187.80;16.08 %;;0;0.00;;58;187.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;161;559.30;47.88 %;;0;0.00;;161;559.30
Röstkaffee;;16;239.00;20.46 %;;0;0.00;;16;239.00
Speisen;;45;145.00;12.41 %;;0;0.00;;45;145.00
Kaffee;;347;116.00;9.93 %;;0;0.00;;347;116.00
Equipment;;1;65.00;5.56 %;;0;0.00;;1;65.00
Hafer #1;;13;42.80;3.66 %;;0;0.00;;13;42.80
Non Kaffee;;1;1.00;0.09 %;;0;0.00;;1;1.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;76;243.20;20.82 %;;0;0.00;;76;243.20
ReCup ausgeben;0;170;170.00;14.55 %;;0;0.00;;170;170.00
Cappuccino groß;0;33;125.40;10.74 %;;0;0.00;;33;125.40
Flat White;0;19;72.20;6.18 %;;0;0.00;;19;72.20
Porlex Mini Coffee Grinder;0;1;65.00;5.56 %;;0;0.00;;1;65.00
Kanelbullar;0;19;60.80;5.21 %;;0;0.00;;19;60.80
Divers. Röstkaffee;0;4;55.00;4.71 %;;0;0.00;;4;55.00
Caffé Latte;0;13;45.50;3.90 %;;0;0.00;;13;45.50
MUYU 250g;0;4;38.00;3.25 %;;0;0.00;;4;38.00
Caffé Latte doppelt;0;10;38.00;3.25 %;;0;0.00;;10;38.00
Oat Cappu klein;0;11;35.20;3.01 %;;0;0.00;;11;35.20
Kakao;0;10;35.00;3.00 %;;0;0.00;;10;35.00
Banana Bread PINE NUT;0;9;34.20;2.93 %;;0;0.00;;9;34.20
MUYU 1000g;0;1;34.00;2.91 %;;0;0.00;;1;34.00
Pain au chocolat;0;9;25.20;2.16 %;;0;0.00;;9;25.20
LUA CLARA 250g;0;2;23.00;1.97 %;;0;0.00;;2;23.00
FINCA ISNUL 250g;0;2;23.00;1.97 %;;0;0.00;;2;23.00
FINCA ISNUL 500g;0;1;22.00;1.88 %;;0;0.00;;1;22.00
EL CARMEN Decaf 500g;0;1;22.00;1.88 %;;0;0.00;;1;22.00
EL MORENO 500g;0;1;22.00;1.88 %;;0;0.00;;1;22.00
Americano groß;0;7;21.00;1.80 %;;0;0.00;;7;21.00
Espresso single;0;9;18.00;1.54 %;;0;0.00;;9;18.00
ALT Sandwich;0;4;16.80;1.44 %;;0;0.00;;4;16.80
Filterkaffee;0;5;12.50;1.07 %;;0;0.00;;5;12.50
Doppio;0;4;10.00;0.86 %;;0;0.00;;4;10.00
Doppio Macchiato;0;3;9.00;0.77 %;;0;0.00;;3;9.00
Croissant;0;4;8.00;0.68 %;;0;0.00;;4;8.00
Americano;0;3;7.50;0.64 %;;0;0.00;;3;7.50
Café Crème;0;2;5.00;0.43 %;;0;0.00;;2;5.00
Espresso Macchiato;0;2;5.00;0.43 %;;0;0.00;;2;5.00
Oat Flat;0;1;3.80;0.33 %;;0;0.00;;1;3.80
Oat Cappu groß;0;1;3.80;0.33 %;;0;0.00;;1;3.80
Deckel ReCup;0;1;1.00;0.09 %;;0;0.00;;1;1.00
ReCup zurücknehmen;0;142;-142.00;-12.16 %;;0;0.00;;142;-142.00
;;;;
