;von;bis;;
Datum:;18.03.2021;18.03.2021;;
Enthalt Z;273;273;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1086.40;96.02 %;
Auslagen;;;45.00;3.98 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;45.00;3.98 %;
19.0%;;;138.10;12.21 %;
7.0%;;;948.30;83.82 %;
Total;;;1131.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;45.00;4.30 %;
19.0%;;;116.02;11.08 %;
7.0%;;;886.16;84.62 %;
Total;;;1047.18;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;22.08;26.22 %;
7.0%;;;62.14;73.78 %;
Total;;;84.22;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;150;703.40;62.17 %;0.00
Maestro;;29;267.70;23.66 %;0.00
MasterCard;;1;2.20;0.19 %;0.00
Visa;;5;44.80;3.96 %;0.00
Visa Electron;;10;113.30;10.01 %;0.00
Total;;195;1131.40;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;217.60;20.03 %;0.00
Annacotta;;;663.00;61.03 %;0.00
Mik;;;203.30;18.71 %;0.00
Slobo;;;2.50;0.23 %;0.00
Total;;;1086.40;100.00 %;0.00
;;;;
Stornos;;;;;
Änderung durch Gast;;2;4.50;100.00 %;
Total;;2;4.50;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;193;1131.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;486;667.70;59.02 %;;0;0.00;;486;667.70
Sonstiges;;23;330.50;29.21 %;;0;0.00;;23;330.50
Speisen;;45;133.20;11.77 %;;0;0.00;;45;133.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;286;538.60;47.60 %;;0;0.00;;286;538.60
Röstkaffee;;23;330.50;29.21 %;;0;0.00;;23;330.50
Speisen;;45;133.20;11.77 %;;0;0.00;;45;133.20
Kaffee;;182;90.50;8.00 %;;0;0.00;;182;90.50
Hafer;;15;30.60;2.70 %;;0;0.00;;15;30.60
Non Kaffee;;3;8.00;0.71 %;;0;0.00;;3;8.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;67;214.40;18.95 %;;0;0.00;;67;214.40
Flat White;0;28;106.40;9.40 %;;0;0.00;;28;106.40
ReCup ausgeben ´;0;100;100.00;8.84 %;;0;0.00;;100;100.00
ReCup ausgeben;0;67;67.00;5.92 %;;0;0.00;;67;67.00
Cappuccino groß;0;16;60.80;5.37 %;;0;0.00;;16;60.80
Caffé Latte;0;16;56.00;4.95 %;;0;0.00;;16;56.00
LUA CLARA 1000g;0;1;42.00;3.71 %;;0;0.00;;1;42.00
Kanelbullar;0;11;35.20;3.11 %;;0;0.00;;11;35.20
Banana Bread PINE NUT;0;9;34.20;3.02 %;;0;0.00;;9;34.20
Americano;0;13;32.50;2.87 %;;0;0.00;;13;32.50
K‘OH 250g;0;2;31.00;2.74 %;;0;0.00;;2;31.00
MUYU 250g;0;3;28.50;2.52 %;;0;0.00;;3;28.50
Kakao;0;8;28.00;2.47 %;;0;0.00;;8;28.00
