;von;bis;;
Datum:;07.04.2021;07.04.2021;;
Enthalt Z;291;291;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;990.10;98.61 %;
Auslagen;;;14.00;1.39 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;14.00;1.39 %;
19.0%;;;229.50;22.86 %;
7.0%;;;760.60;75.75 %;
Total;;;1004.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;14.00;1.53 %;
19.0%;;;192.80;21.01 %;
7.0%;;;710.80;77.46 %;
Total;;;917.60;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;36.70;42.43 %;
7.0%;;;49.80;57.57 %;
Total;;;86.50;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;103;545.60;54.34 %;0.00
Maestro;;25;277.00;27.59 %;0.00
MasterCard;;5;44.50;4.43 %;0.00
Mehrzweckgutschein;;1;9.00;0.90 %;0.00
Visa;;4;36.50;3.64 %;0.00
Visa Electron;;6;91.50;9.11 %;0.00
Total;;144;1004.10;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Khalid;;;305.00;30.80 %;0.00
Martin;;;355.40;35.90 %;0.00
Mik;;;290.10;29.30 %;0.00
Slobo;;;39.60;4.00 %;0.00
Total;;;990.10;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;144;1004.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;449;543.70;54.15 %;;0;0.00;;449;543.70
Sonstiges;;27;356.00;35.45 %;;0;0.00;;27;356.00
Speisen;;33;104.40;10.40 %;;0;0.00;;33;104.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;26;349.00;34.76 %;;0;0.00;;26;349.00
Milchmischgetränke;;233;328.20;32.69 %;;0;0.00;;233;328.20
Kaffee;;117;133.00;13.25 %;;0;0.00;;117;133.00
Speisen;;33;104.40;10.40 %;;0;0.00;;33;104.40
Hafer;;96;74.50;7.42 %;;0;0.00;;96;74.50
Equipment;;1;7.00;0.70 %;;0;0.00;;1;7.00
decaf;;2;4.50;0.45 %;;0;0.00;;2;4.50
Non Kaffee;;1;3.50;0.35 %;;0;0.00;;1;3.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;49;156.80;15.62 %;;0;0.00;;49;156.80
ReCup ausgeben ´;0;82;82.00;8.17 %;;0;0.00;;82;82.00
Flat White;0;13;49.40;4.92 %;;0;0.00;;13;49.40
ReCup ausgeben;0;46;46.00;4.58 %;;0;0.00;;46;46.00
Hafer Flat White;0;12;45.60;4.54 %;;0;0.00;;12;45.60
La Esperanza 250g;0;3;40.50;4.03 %;;0;0.00;;3;40.50
Kakao;0;11;38.50;3.83 %;;0;0.00;;11;38.50
Kanelbullar;0;11;35.20;3.51 %;;0;0.00;;11;35.20
FINCA ISNUL 250g;0;3;34.50;3.44 %;;0;0.00;;3;34.50
EL CARMEN Decaf 250g;0;3;34.50;3.44 %;;0;0.00;;3;34.50
Ouro 500g;0;2;34.00;3.39 %;;0;0.00;;2;34.00
Ouro 1000g;0;1;32.00;3.19 %;;0;0.00;;1;32.00
Cappuccino groß;0;8;30.40;3.03 %;;0;0.00;;8;30.40
MUYU 250g;0;3;28.50;2.84 %;;0;0.00;;3;28.50
Filterkaffee;0;11;27.50;2.74 %;;0;0.00;;11;27.50
MUYU BOTTLE 365;0;2;27.00;2.69 %;;0;0.00;;2;27.00
Ouro 250g;0;3;27.00;2.69 %;;0;0.00;;3;27.00
Pain au chocolat;0;9;25.20;2.51 %;;0;0.00;;9;25.20
Caffé Latte;0;7;24.50;2.44 %;;0;0.00;;7;24.50
LUA CLARA 250g;0;2;23.00;2.29 %;;0;0.00;;2;23.00
Banana Bread PINE NUT;0;6;22.80;2.27 %;;0;0.00;;6;22.80
Hafer Cappuccino Groß;0;6;22.80;2.27 %;;0;0.00;;6;22.80
LUA CLARA 500g;0;1;22.00;2.19 %;;0;0.00;;1;22.00
FINCA ISNUL 500g;0;1;22.00;2.19 %;;0;0.00;;1;22.00
ReCup ausgeben*;0;20;20.00;1.99 %;;0;0.00;;20;20.00
Americano;0;8;20.00;1.99 %;;0;0.00;;8;20.00
Café Crème;0;7;17.50;1.74 %;;0;0.00;;7;17.50
Hafer Cappuccino;0;5;16.00;1.59 %;;0;0.00;;5;16.00
Don Primitivo 250g;0;1;14.50;1.44 %;;0;0.00;;1;14.50
ALT Sandwich;0;3;12.60;1.25 %;;0;0.00;;3;12.60
Espresso Macchiato;0;5;12.50;1.24 %;;0;0.00;;5;12.50
Espresso single;0;6;12.00;1.20 %;;0;0.00;;6;12.00
Guardabaxo 250g;0;1;9.50;0.95 %;;0;0.00;;1;9.50
Doppio Macchiato;0;3;9.00;0.90 %;;0;0.00;;3;9.00
Americano groß;0;3;9.00;0.90 %;;0;0.00;;3;9.00
Caffé Latte doppelt;0;2;7.60;0.76 %;;0;0.00;;2;7.60
Hafer Caffè Latte Groß;0;2;7.60;0.76 %;;0;0.00;;2;7.60
Hafer Caffè Latte;0;2;7.00;0.70 %;;0;0.00;;2;7.00
AeroPress filter;0;1;7.00;0.70 %;;0;0.00;;1;7.00
Croissant;0;3;6.60;0.66 %;;0;0.00;;3;6.60
Black tea;0;1;3.50;0.35 %;;0;0.00;;1;3.50
Decaf Caffè Latte *;0;1;3.50;0.35 %;;0;0.00;;1;3.50
Hafer Kakao;0;1;3.50;0.35 %;;0;0.00;;1;3.50
Café Crème groß;0;1;3.00;0.30 %;;0;0.00;;1;3.00
Doppio;0;1;2.50;0.25 %;;0;0.00;;1;2.50
Cookie;0;1;2.00;0.20 %;;0;0.00;;1;2.00
ReCup ausgeben* 1;0;1;1.00;0.10 %;;0;0.00;;1;1.00
ReCup annehmen;0;26;-26.00;-2.59 %;;0;0.00;;26;-26.00
ReCup annehmen*;0;48;-48.00;-4.78 %;;0;0.00;;48;-48.00
ReCup annehmen ´;0;61;-61.00;-6.08 %;;0;0.00;;61;-61.00
;;;;
