;von;bis;;
Datum:;17.04.2021;17.04.2021;;
Enthalt Z;302;302;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2301.80;94.27 %;
Auslagen;;;139.00;5.69 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.00;0.04 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;139.00;5.69 %;
19.0%;;;639.20;26.19 %;
7.0%;;;1662.60;68.12 %;
Total;;;2440.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;139.00;6.23 %;
19.0%;;;537.04;24.08 %;
7.0%;;;1553.75;69.68 %;
Total;;;2229.79;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;102.16;48.41 %;
7.0%;;;108.85;51.59 %;
Total;;;211.01;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;245;1273.90;52.19 %;0.00
Maestro;;53;679.50;27.84 %;1.00
MasterCard;;10;154.90;6.35 %;0.00
Visa;;15;160.20;6.56 %;0.00
Visa Electron;;14;172.30;7.06 %;0.00
Total;;337;2440.80;100.00 %;1.00
;;;;
Umsatzdetails;;;;;
Anna;;;611.60;26.57 %;0.00
Laura;;;319.20;13.87 %;0.00
Lena;;;1255.70;54.55 %;1.00
Martin;;;65.90;2.86 %;0.00
Sebastian;;;49.40;2.15 %;0.00
Total;;;2301.80;100.00 %;1.00
;;;;
Stornos;;;;;
vertippt;;1;1.00;8.40 %;
Änderung durch Gast;;5;10.90;91.60 %;
Total;;6;11.90;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;333;2440.80;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;1198;1482.90;60.75 %;;0;0.00;;1198;1482.90
Sonstiges;;49;676.50;27.72 %;;0;0.00;;49;676.50
Speisen;;87;281.40;11.53 %;;0;0.00;;87;281.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;504;789.70;32.35 %;;0;0.00;;504;789.70
Röstkaffee;;48;661.50;27.10 %;;0;0.00;;48;661.50
Kaffee;;481;321.80;13.18 %;;0;0.00;;481;321.80
Hafer;;178;302.70;12.40 %;;0;0.00;;178;302.70
Speisen;;87;281.40;11.53 %;;0;0.00;;87;281.40
decaf;;19;47.20;1.93 %;;0;0.00;;19;47.20
Non Kaffee;;16;21.50;0.88 %;;0;0.00;;16;21.50
Gutscheine;;1;15.00;0.61 %;;0;0.00;;1;15.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;89;284.80;11.67 %;;0;0.00;;89;284.80
ReCup ausgeben;0;215;215.00;8.81 %;;0;0.00;;215;215.00
ReCup ausgeben ´;0;184;184.00;7.54 %;;0;0.00;;184;184.00
Cappuccino groß;0;39;148.20;6.07 %;;0;0.00;;39;148.20
Flat White;0;33;125.40;5.14 %;;0;0.00;;33;125.40
Hafer Cappuccino;0;31;99.20;4.06 %;;0;0.00;;31;99.20
Kanelbullar;0;27;86.40;3.54 %;;0;0.00;;27;86.40
Caffé Latte;0;22;77.00;3.15 %;;0;0.00;;22;77.00
Americano;0;29;72.50;2.97 %;;0;0.00;;29;72.50
Hafer Flat White;0;18;68.40;2.80 %;;0;0.00;;18;68.40
MUYU 1000g;0;2;68.00;2.79 %;;0;0.00;;2;68.00
Hafer Cappuccino Groß;0;17;64.60;2.65 %;;0;0.00;;17;64.60
ALT Sandwich;0;14;58.80;2.41 %;;0;0.00;;14;58.80
Pain au chocolat;0;21;58.80;2.41 %;;0;0.00;;21;58.80
Don Primitivo 250g;0;4;58.00;2.38 %;;0;0.00;;4;58.00
FINCA ISNUL 250g;0;5;57.50;2.36 %;;0;0.00;;5;57.50
MUYU 250g;0;6;57.00;2.34 %;;0;0.00;;6;57.00
Ouro 250g;0;6;54.00;2.21 %;;0;0.00;;6;54.00
Banana Bread PINE NUT;0;14;53.20;2.18 %;;0;0.00;;14;53.20
Hafer Caffè Latte;0;15;52.50;2.15 %;;0;0.00;;15;52.50
La Esperanza 500g;0;2;52.00;2.13 %;;0;0.00;;2;52.00
K‘OH 250g;0;3;46.50;1.91 %;;0;0.00;;3;46.50
Kakao;0;13;45.50;1.86 %;;0;0.00;;13;45.50
ReCup ausgeben*;0;44;44.00;1.80 %;;0;0.00;;44;44.00
Filterkaffee;0;17;42.50;1.74 %;;0;0.00;;17;42.50
La Esperanza 250g;0;3;40.50;1.66 %;;0;0.00;;3;40.50
Guardabaxo 250g;0;4;38.00;1.56 %;;0;0.00;;4;38.00
Ouro 500g;0;2;34.00;1.39 %;;0;0.00;;2;34.00
Americano groß;0;11;33.00;1.35 %;;0;0.00;;11;33.00
Caffé Latte doppelt;0;8;30.40;1.25 %;;0;0.00;;8;30.40
Doppio;0;11;27.50;1.13 %;;0;0.00;;11;27.50
MUYU BOTTLE 365;0;2;27.00;1.11 %;;0;0.00;;2;27.00
Espresso Macchiato;0;10;25.00;1.02 %;;0;0.00;;10;25.00
Croissant;0;11;24.20;0.99 %;;0;0.00;;11;24.20
ATSABE 250g;0;2;23.00;0.94 %;;0;0.00;;2;23.00
LUA CLARA 250g;0;2;23.00;0.94 %;;0;0.00;;2;23.00
FINCA ISNUL 500g;0;1;22.00;0.90 %;;0;0.00;;1;22.00
Espresso single;0;11;22.00;0.90 %;;0;0.00;;11;22.00
EL MORENO 500g;0;1;22.00;0.90 %;;0;0.00;;1;22.00
MUYU 500g;0;1;18.00;0.74 %;;0;0.00;;1;18.00
Decaf Cappuccino *;0;5;16.00;0.66 %;;0;0.00;;5;16.00
Café Crème groß;0;5;15.00;0.61 %;;0;0.00;;5;15.00
Divers. Gutscheine;0;1;15.00;0.61 %;;0;0.00;;1;15.00
Kaltgetränk;0;5;14.00;0.57 %;;0;0.00;;5;14.00
Café Crème;0;5;12.50;0.51 %;;0;0.00;;5;12.50
EL CARMEN Decaf 250g;0;1;11.50;0.47 %;;0;0.00;;1;11.50
PAPAKUCHI 250g;0;1;9.50;0.39 %;;0;0.00;;1;9.50
Hand Brew;0;2;9.00;0.37 %;;0;0.00;;2;9.00
Flat White auf Eis;0;2;8.40;0.34 %;;0;0.00;;2;8.40
Hafer Flat White auf ice;0;2;8.40;0.34 %;;0;0.00;;2;8.40
Decaf Flat White *;0;2;7.60;0.31 %;;0;0.00;;2;7.60
