;von;bis;;
Datum:;27.04.2021;27.04.2021;;
Enthalt Z;313;313;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1121.20;98.51 %;
Auslagen;;;17.00;1.49 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;17.00;1.49 %;
19.0%;;;351.10;30.85 %;
7.0%;;;770.10;67.66 %;
Total;;;1138.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;17.00;1.65 %;
19.0%;;;295.00;28.59 %;
7.0%;;;719.67;69.76 %;
Total;;;1031.67;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;56.10;52.66 %;
7.0%;;;50.43;47.34 %;
Total;;;106.53;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;140;549.20;48.25 %;0.00
Maestro;;32;326.10;28.65 %;0.00
MasterCard;;5;30.80;2.71 %;0.00
Visa;;5;54.40;4.78 %;0.00
Visa Electron;;10;177.70;15.61 %;0.00
Total;;192;1138.20;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;129.00;11.51 %;0.00
Khalid;;;233.10;20.79 %;0.00
Martin;;;93.50;8.34 %;0.00
Mik;;;3.20;0.29 %;0.00
Sebastian;;;451.80;40.30 %;0.00
Slobo;;;210.60;18.78 %;0.00
Total;;;1121.20;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;3.80;100.00 %;
Total;;1;3.80;100.00 %;
;;;;
Rabatte;;;;;
Personal 1/2 Preis;;1;7.70;100.00 %;
Total;;1;7.70;100.00 %;
;;;;
Tische;;;;;
Theke;;190;1138.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;565;668.60;58.74 %;;0;0.00;;565;668.60
Sonstiges;;27;374.80;32.93 %;;0;0.00;;27;374.80
Speisen;;31;94.80;8.33 %;;0;0.00;;31;94.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;27;374.80;32.93 %;;0;0.00;;27;374.80
Milchmischgetränke;;294;255.50;22.45 %;;0;0.00;;294;255.50
Hafer;;113;223.40;19.63 %;;0;0.00;;113;223.40
Kaffee;;141;168.40;14.80 %;;0;0.00;;141;168.40
Speisen;;31;94.80;8.33 %;;0;0.00;;31;94.80
decaf;;8;19.00;1.67 %;;0;0.00;;8;19.00
Non Kaffee;;9;2.30;0.20 %;;0;0.00;;9;2.30
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;45;144.00;12.65 %;;0;0.00;;45;144.00
ReCup ausgeben ´;0;81;81.00;7.12 %;;0;0.00;;81;81.00
Don Primitivo 250g;0;5;72.50;6.37 %;;0;0.00;;5;72.50
Hafer Cappuccino;0;20;64.00;5.62 %;;0;0.00;;20;64.00
ReCup ausgeben;0;58;58.00;5.10 %;;0;0.00;;58;58.00
K‘OH 250g;0;4;54.30;4.77 %;;0;0.00;;4;54.30
ReCup ausgeben*;0;48;48.00;4.22 %;;0;0.00;;48;48.00
Kanelbullar;0;15;48.00;4.22 %;;0;0.00;;15;48.00
EL MORENO 500g;0;2;44.00;3.87 %;;0;0.00;;2;44.00
Hafer Flat White auf ice;0;10;42.00;3.69 %;;0;0.00;;10;42.00
Flat White;0;11;41.80;3.67 %;;0;0.00;;11;41.80
Cappuccino groß;0;11;41.80;3.67 %;;0;0.00;;11;41.80
Caffé Latte;0;11;38.50;3.38 %;;0;0.00;;11;38.50
Hafer Flat White;0;10;38.00;3.34 %;;0;0.00;;10;38.00
Filterkaffee;0;14;35.00;3.08 %;;0;0.00;;14;35.00
MUYU 1000g;0;1;34.00;2.99 %;;0;0.00;;1;34.00
MUYU 250g;0;3;28.50;2.50 %;;0;0.00;;3;28.50
MUYU BOTTLE 365;0;2;27.00;2.37 %;;0;0.00;;2;27.00
Hafer Cappuccino Groß;0;7;26.60;2.34 %;;0;0.00;;7;26.60
Gover Cueva 250g;0;2;25.00;2.20 %;;0;0.00;;2;25.00
Café Crème;0;9;22.50;1.98 %;;0;0.00;;9;22.50
Coldbrew;0;6;20.40;1.79 %;;0;0.00;;6;20.40
Caffé Latte doppelt;0;5;19.00;1.67 %;;0;0.00;;5;19.00
MUYU 500g;0;1;18.00;1.58 %;;0;0.00;;1;18.00
Ouro 250g;0;2;18.00;1.58 %;;0;0.00;;2;18.00
