;von;bis;;
Datum:;17.05.2021;17.05.2021;;
Enthalt Z;333;333;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1019.20;98.47 %;
Auslagen;;;15.00;1.45 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.80;0.08 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;15.00;1.45 %;
19.0%;;;296.00;28.62 %;
7.0%;;;723.20;69.93 %;
Total;;;1034.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;15.00;1.60 %;
19.0%;;;248.65;26.47 %;
7.0%;;;675.82;71.94 %;
Total;;;939.47;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;47.35;49.98 %;
7.0%;;;47.38;50.02 %;
Total;;;94.73;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;127;605.60;58.56 %;0.00
Maestro;;26;310.50;30.02 %;0.00
MasterCard;;2;25.60;2.48 %;0.30
Mehrzweckgutschein;;1;3.80;0.37 %;0.00
Visa;;4;24.70;2.39 %;0.50
Visa Electron;;9;64.00;6.19 %;0.00
Total;;169;1034.20;100.00 %;0.80
;;;;
Umsatzdetails;;;;;
Elisa;;;468.30;45.95 %;0.00
Khalid;;;36.70;3.60 %;0.00
Martin;;;298.70;29.31 %;0.00
Moritz;;;215.50;21.14 %;0.80
Total;;;1019.20;100.00 %;0.80
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;167;1034.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;583;639.10;61.80 %;;0;0.00;;583;639.10
Sonstiges;;14;260.50;25.19 %;;0;0.00;;14;260.50
Speisen;;43;134.60;13.01 %;;0;0.00;;43;134.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;255;358.10;34.63 %;;0;0.00;;255;358.10
Röstkaffee;;14;260.50;25.19 %;;0;0.00;;14;260.50
Hafer;;109;150.20;14.52 %;;0;0.00;;109;150.20
Speisen;;43;134.60;13.01 %;;0;0.00;;43;134.60
Kaffee;;203;107.00;10.35 %;;0;0.00;;203;107.00
Summer;;5;21.00;2.03 %;;0;0.00;;5;21.00
decaf;;2;4.20;0.41 %;;0;0.00;;2;4.20
Non Kaffee;;9;-1.40;-0.14 %;;0;0.00;;9;-1.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;35;112.00;10.83 %;;0;0.00;;35;112.00
ReCup ausgeben ´;0;109;109.00;10.54 %;;0;0.00;;109;109.00
FINCA ISNUL 1000g;0;2;84.00;8.12 %;;0;0.00;;2;84.00
Cappuccino groß;0;16;60.80;5.88 %;;0;0.00;;16;60.80
Flat White;0;16;60.80;5.88 %;;0;0.00;;16;60.80
Caffé Latte;0;17;59.50;5.75 %;;0;0.00;;17;59.50
Hafer Cappuccino;0;17;54.40;5.26 %;;0;0.00;;17;54.40
ReCup ausgeben;0;52;52.00;5.03 %;;0;0.00;;52;52.00
Villa Maria 500g;0;2;48.00;4.64 %;;0;0.00;;2;48.00
EL MORENO 250g;0;4;46.00;4.45 %;;0;0.00;;4;46.00
Banana Bread PINE NUT;0;11;41.80;4.04 %;;0;0.00;;11;41.80
ReCup ausgeben*;0;41;41.00;3.96 %;;0;0.00;;41;41.00
Hafer Cappuccino Groß;0;10;38.00;3.67 %;;0;0.00;;10;38.00
Kanelbullar;0;11;35.20;3.40 %;;0;0.00;;11;35.20
Americano;0;13;32.50;3.14 %;;0;0.00;;13;32.50
Hafer Flat White;0;8;30.40;2.94 %;;0;0.00;;8;30.40
Gover Cueva 250g;0;2;25.00;2.42 %;;0;0.00;;2;25.00
ATSABE 500g;0;1;22.00;2.13 %;;0;0.00;;1;22.00
Americano groß;0;7;21.00;2.03 %;;0;0.00;;7;21.00
Espresso single;0;10;20.00;1.93 %;;0;0.00;;10;20.00
Filterkaffee;0;8;20.00;1.93 %;;0;0.00;;8;20.00
ALT Sandwich;0;4;16.80;1.62 %;;0;0.00;;4;16.80
Cookie;0;8;16.00;1.55 %;;0;0.00;;8;16.00
Café Crème;0;6;15.00;1.45 %;;0;0.00;;6;15.00
Don Primitivo 250g;0;1;14.50;1.40 %;;0;0.00;;1;14.50
Kakao;0;4;14.00;1.35 %;;0;0.00;;4;14.00
Hand Brew;0;3;13.50;1.31 %;;0;0.00;;3;13.50
Doppio Macchiato;0;4;12.00;1.16 %;;0;0.00;;4;12.00
EL CARMEN Decaf 250g;0;1;11.50;1.11 %;;0;0.00;;1;11.50
Pain au chocolat;0;4;11.20;1.08 %;;0;0.00;;4;11.20
Nimbus Cocktail;0;2;10.80;1.04 %;;0;0.00;;2;10.80
Cold Brew;0;3;10.20;0.99 %;;0;0.00;;3;10.20
Espresso Macchiato;0;4;10.00;0.97 %;;0;0.00;;4;10.00
Guardabaxo 250g;0;1;9.50;0.92 %;;0;0.00;;1;9.50
Croissant;0;4;8.80;0.85 %;;0;0.00;;4;8.80
Hafer Flat White auf ice;0;2;8.40;0.81 %;;0;0.00;;2;8.40
Hafer Caffè Latte;0;2;7.00;0.68 %;;0;0.00;;2;7.00
Kaltgetränk;0;2;5.60;0.54 %;;0;0.00;;2;5.60
Doppio;0;2;5.00;0.48 %;;0;0.00;;2;5.00
Kuchen Maple Carrot;0;1;4.80;0.46 %;;0;0.00;;1;4.80
Decaf Cappuccino *;0;1;3.20;0.31 %;;0;0.00;;1;3.20
ReCup ausgeben* 1;0;1;1.00;0.10 %;;0;0.00;;1;1.00
ReCup annehmen **;0;7;-7.00;-0.68 %;;0;0.00;;7;-7.00
ReCup annehmen*;0;29;-29.00;-2.80 %;;0;0.00;;29;-29.00
ReCup annehmen ´;0;58;-58.00;-5.61 %;;0;0.00;;58;-58.00
ReCup annehmen;0;94;-94.00;-9.09 %;;0;0.00;;94;-94.00
;;;;
