;von;bis;;
Datum:;01.06.2021;01.06.2021;;
Enthalt Z;349;349;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1308.40;96.18 %;
Auslagen;;;52.00;3.82 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;52.00;3.82 %;
19.0%;;;393.60;28.93 %;
7.0%;;;914.80;67.24 %;
Total;;;1360.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;52.00;4.20 %;
19.0%;;;330.75;26.72 %;
7.0%;;;855.05;69.08 %;
Total;;;1237.80;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;62.85;51.26 %;
7.0%;;;59.75;48.74 %;
Total;;;122.60;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;139;697.80;51.29 %;0.00
Maestro;;34;357.70;26.29 %;0.00
MasterCard;;7;58.30;4.29 %;0.00
Mehrzweckgutschein;;1;5.00;0.37 %;0.00
Visa;;6;76.10;5.59 %;0.00
Visa Electron;;10;165.50;12.17 %;0.00
Total;;197;1360.40;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;518.70;39.64 %;0.00
Khalid;;;448.40;34.27 %;0.00
Robin;;;150.60;11.51 %;0.00
Slobo;;;190.70;14.58 %;0.00
Total;;;1308.40;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;3;7.60;100.00 %;
Total;;3;7.60;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;192;1360.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;586;887.00;65.20 %;;0;0.00;;586;887.00
Sonstiges;;23;303.00;22.27 %;;0;0.00;;23;303.00
Speisen;;56;170.40;12.53 %;;0;0.00;;56;170.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;292;477.00;35.06 %;;0;0.00;;292;477.00
Röstkaffee;;19;249.00;18.30 %;;0;0.00;;19;249.00
Kaffee;;128;214.80;15.79 %;;0;0.00;;128;214.80
Speisen;;56;170.40;12.53 %;;0;0.00;;56;170.40
Hafer;;142;119.80;8.81 %;;0;0.00;;142;119.80
Summer;;13;55.40;4.07 %;;0;0.00;;13;55.40
Equipment;;4;54.00;3.97 %;;0;0.00;;4;54.00
Decaf;;8;11.60;0.85 %;;0;0.00;;8;11.60
Non Kaffee;;3;8.40;0.62 %;;0;0.00;;3;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;46;156.40;11.50 %;;0;0.00;;46;156.40
Flat White auf Eis;0;32;134.40;9.88 %;;0;0.00;;32;134.40
ReCup ausgeben ´;0;106;106.00;7.79 %;;0;0.00;;106;106.00
Hafer Cappuccino;0;20;68.00;5.00 %;;0;0.00;;20;68.00
Flat White;0;15;57.00;4.19 %;;0;0.00;;15;57.00
ReCup ausgeben;0;55;55.00;4.04 %;;0;0.00;;55;55.00
Coldbrew;0;12;45.60;3.35 %;;0;0.00;;12;45.60
Pain au Chocolat;0;16;44.80;3.29 %;;0;0.00;;16;44.80
Kanelbullar;0;14;44.80;3.29 %;;0;0.00;;14;44.80
Caffé Latte;0;12;43.20;3.18 %;;0;0.00;;12;43.20
Hafer Flat White auf Eis;0;10;42.00;3.09 %;;0;0.00;;10;42.00
Americano;0;15;42.00;3.09 %;;0;0.00;;15;42.00
Banana Bread PINE NUT;0;11;41.80;3.07 %;;0;0.00;;11;41.80
Guardabaxo 250g;0;4;38.00;2.79 %;;0;0.00;;4;38.00
Cappuccino groß;0;9;37.80;2.78 %;;0;0.00;;9;37.80
ReCup ausgeben*;0;37;37.00;2.72 %;;0;0.00;;37;37.00
MUYU 1000g;0;1;34.00;2.50 %;;0;0.00;;1;34.00
K‘HO 250g;0;2;31.00;2.28 %;;0;0.00;;2;31.00
Espresso Tonic;0;7;29.40;2.16 %;;0;0.00;;7;29.40
Don Primitivo 250g;0;2;29.00;2.13 %;;0;0.00;;2;29.00
Filterkaffee;0;11;28.60;2.10 %;;0;0.00;;11;28.60
Tasse M;0;1;28.00;2.06 %;;0;0.00;;1;28.00
Villa Maria 250g;0;2;25.00;1.84 %;;0;0.00;;2;25.00
EL CARMEN Decaf 250g;0;2;23.00;1.69 %;;0;0.00;;2;23.00
Hafer Flat White;0;6;22.80;1.68 %;;0;0.00;;6;22.80
Espresso Single;0;10;22.00;1.62 %;;0;0.00;;10;22.00
Croissant;0;9;19.80;1.46 %;;0;0.00;;9;19.80
Scone;0;6;19.20;1.41 %;;0;0.00;;6;19.20
Tasche SUEDHANG;0;2;19.00;1.40 %;;0;0.00;;2;19.00
MUYU 500g;0;1;18.00;1.32 %;;0;0.00;;1;18.00
Flat White auf Eis.;0;4;16.80;1.23 %;;0;0.00;;4;16.80
Hand Brew;0;3;13.80;1.01 %;;0;0.00;;3;13.80
MUYU BOTTLE 365;0;1;13.50;0.99 %;;0;0.00;;1;13.50
Gover Cueva 250g;0;1;12.50;0.92 %;;0;0.00;;1;12.50
FINCA ISNUL 250g;0;1;11.50;0.85 %;;0;0.00;;1;11.50
EL MORENO 250g;0;1;11.50;0.85 %;;0;0.00;;1;11.50
Hafer Caffè Latte;0;3;10.80;0.79 %;;0;0.00;;3;10.80
Americano groß;0;3;9.00;0.66 %;;0;0.00;;3;9.00
Mineralwasser;0;3;8.40;0.62 %;;0;0.00;;3;8.40
Caffé Latte doppelt;0;2;8.00;0.59 %;;0;0.00;;2;8.00
Hario V60 filter (100) 02;0;1;7.00;0.51 %;;0;0.00;;1;7.00
Nimbus Cocktail;0;1;5.40;0.40 %;;0;0.00;;1;5.40
Espresso Doppio;0;2;5.20;0.38 %;;0;0.00;;2;5.20
Decaf Cappuccino Groß;0;1;4.20;0.31 %;;0;0.00;;1;4.20
Hafer Cappuccino Groß;0;1;4.20;0.31 %;;0;0.00;;1;4.20
Cold Brew;0;1;3.80;0.28 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.26 %;;0;0.00;;1;3.60
Kakao;0;1;3.20;0.24 %;;0;0.00;;1;3.20
Espresso Doppio Macchiato;0;1;3.00;0.22 %;;0;0.00;;1;3.00
ReCup ausgeben* 1;0;3;3.00;0.22 %;;0;0.00;;3;3.00
Decaf Americano;0;1;2.80;0.21 %;;0;0.00;;1;2.80
Espresso Macchiato;0;1;2.40;0.18 %;;0;0.00;;1;2.40
Divers. Röstkaffee;0;1;2.00;0.15 %;;0;0.00;;1;2.00
Extra Shot;0;2;1.20;0.09 %;;0;0.00;;2;1.20
ReCup annehmen* 1;0;2;-2.00;-0.15 %;;0;0.00;;2;-2.00
ReCup annehmen;0;13;-13.00;-0.96 %;;0;0.00;;13;-13.00
ReCup annehmen*;0;65;-65.00;-4.78 %;;0;0.00;;65;-65.00
ReCup annehmen ´;0;69;-69.00;-5.07 %;;0;0.00;;69;-69.00
;;;;
