;von;bis;;
Datum:;05.06.2021;05.06.2021;;
Enthalt Z;353;353;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2065.10;99.65 %;
Auslagen;;;6.00;0.29 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.30;0.06 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;6.00;0.29 %;
19.0%;;;444.90;21.48 %;
7.0%;;;1620.20;78.23 %;
Total;;;2071.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;6.00;0.32 %;
19.0%;;;373.78;19.73 %;
7.0%;;;1514.33;79.95 %;
Total;;;1894.11;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;71.12;40.18 %;
7.0%;;;105.87;59.82 %;
Total;;;176.99;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;139;716.30;34.59 %;0.00
Maestro;;63;781.90;37.75 %;0.00
MasterCard;;14;120.90;5.84 %;0.00
Visa;;15;178.30;8.61 %;0.00
Visa Electron;;19;273.70;13.22 %;1.30
Total;;250;2071.10;100.00 %;1.30
;;;;
Umsatzdetails;;;;;
Anna;;;413.10;20.00 %;0.00
Annacotta;;;477.60;23.13 %;0.60
Elisa;;;430.90;20.87 %;0.70
Mik;;;23.60;1.14 %;0.00
Raquel;;;719.90;34.86 %;0.00
Total;;;2065.10;100.00 %;1.30
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;7.60;100.00 %;
Total;;1;7.60;100.00 %;
;;;;
Tische;;;;;
Theke;;250;2071.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;792;1208.80;58.37 %;;0;0.00;;792;1208.80
Sonstiges;;46;557.90;26.94 %;;0;0.00;;46;557.90
Speisen;;85;304.40;14.70 %;;0;0.00;;85;304.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;471;707.20;34.15 %;;0;0.00;;471;707.20
Röstkaffee;;45;548.40;26.48 %;;0;0.00;;45;548.40
Speisen;;85;304.40;14.70 %;;0;0.00;;85;304.40
Kaffee;;207;271.80;13.12 %;;0;0.00;;207;271.80
Hafer;;61;160.80;7.76 %;;0;0.00;;61;160.80
Summer;;12;57.20;2.76 %;;0;0.00;;12;57.20
Non Kaffee;;41;11.80;0.57 %;;0;0.00;;41;11.80
Equipment;;1;9.50;0.46 %;;0;0.00;;1;9.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;71;241.40;11.66 %;;0;0.00;;71;241.40
Flat White;0;44;167.20;8.07 %;;0;0.00;;44;167.20
ReCup ausgeben ´;0;138;138.00;6.66 %;;0;0.00;;138;138.00
Cappuccino groß;0;26;109.20;5.27 %;;0;0.00;;26;109.20
MUYU 250g;0;11;102.13;4.93 %;;0;0.00;;11;102.13
Caffé Latte;0;25;90.00;4.35 %;;0;0.00;;25;90.00
EL MORENO 250g;0;8;89.14;4.30 %;;0;0.00;;8;89.14
Americano;0;23;64.40;3.11 %;;0;0.00;;23;64.40
Pain au Chocolat;0;21;58.80;2.84 %;;0;0.00;;21;58.80
ReCup ausgeben;0;57;57.00;2.75 %;;0;0.00;;57;57.00
Guardabaxo 250g;0;6;54.63;2.64 %;;0;0.00;;6;54.63
Kanelbullar;0;17;54.40;2.63 %;;0;0.00;;17;54.40
MUYU 500g;0;3;54.00;2.61 %;;0;0.00;;3;54.00
Kuchen Maple Carrot;0;11;52.80;2.55 %;;0;0.00;;11;52.80
Raw Cake;0;10;48.00;2.32 %;;0;0.00;;10;48.00
Caffé Latte doppelt;0;12;48.00;2.32 %;;0;0.00;;12;48.00
Banana Bread PINE NUT;0;12;45.60;2.20 %;;0;0.00;;12;45.60
MUYU BOTTLE 365;0;3;40.50;1.96 %;;0;0.00;;3;40.50
Americano groß;0;13;39.00;1.88 %;;0;0.00;;13;39.00
Espresso Single;0;17;37.40;1.81 %;;0;0.00;;17;37.40
Hafer Flat White;0;9;34.20;1.65 %;;0;0.00;;9;34.20
Hafer Cappuccino;0;10;34.00;1.64 %;;0;0.00;;10;34.00
MUYU 1000g;0;1;34.00;1.64 %;;0;0.00;;1;34.00
Filterkaffee;0;13;33.80;1.63 %;;0;0.00;;13;33.80
Flat White auf Eis;0;8;33.60;1.62 %;;0;0.00;;8;33.60
Nimbus Cocktail;0;6;32.40;1.56 %;;0;0.00;;6;32.40
K‘HO 250g;0;2;31.00;1.50 %;;0;0.00;;2;31.00
Espresso Doppio;0;11;28.60;1.38 %;;0;0.00;;11;28.60
Espresso Macchiato;0;11;26.40;1.27 %;;0;0.00;;11;26.40
Hafer Flat White auf Eis;0;6;25.20;1.22 %;;0;0.00;;6;25.20
Hafer Cappuccino Groß;0;6;25.20;1.22 %;;0;0.00;;6;25.20
Villa Maria 250g;0;2;25.00;1.21 %;;0;0.00;;2;25.00
Lemon Poppy Cake;0;5;24.00;1.16 %;;0;0.00;;5;24.00
ATSABE 250g;0;2;23.00;1.11 %;;0;0.00;;2;23.00
FINCA ISNUL 250g;0;2;23.00;1.11 %;;0;0.00;;2;23.00
ReCup ausgeben*;0;23;23.00;1.11 %;;0;0.00;;23;23.00
EL CARMEN Decaf 250g;0;2;23.00;1.11 %;;0;0.00;;2;23.00
FINCA ISNUL 500g;0;1;22.00;1.06 %;;0;0.00;;1;22.00
Coldbrew;0;5;19.00;0.92 %;;0;0.00;;5;19.00
Croissant;0;8;17.60;0.85 %;;0;0.00;;8;17.60
Apfelschorle;0;5;15.00;0.72 %;;0;0.00;;5;15.00
Don Primitivo 250g;0;1;14.50;0.70 %;;0;0.00;;1;14.50
Kakao;0;4;12.80;0.62 %;;0;0.00;;4;12.80
Flat White auf Eis.;0;3;12.60;0.61 %;;0;0.00;;3;12.60
Gover Cueva 250g;0;1;12.50;0.60 %;;0;0.00;;1;12.50
Hafer Caffè Latte;0;3;10.80;0.52 %;;0;0.00;;3;10.80
Tasche SUEDHANG;0;1;9.50;0.46 %;;0;0.00;;1;9.50
Hand Brew;0;2;9.20;0.44 %;;0;0.00;;2;9.20
Espresso Doppio Macchiato;0;3;9.00;0.43 %;;0;0.00;;3;9.00
Espresso Tonic;0;2;8.40;0.41 %;;0;0.00;;2;8.40
Kakao groß;0;2;8.00;0.39 %;;0;0.00;;2;8.00
ReCup ausgeben **;0;7;7.00;0.34 %;;0;0.00;;7;7.00
Mineralwasser;0;2;5.60;0.27 %;;0;0.00;;2;5.60
Green Tea;0;1;4.60;0.22 %;;0;0.00;;1;4.60
Lemon Verbena Tea;0;1;4.60;0.22 %;;0;0.00;;1;4.60
Hafer Caffè Latte groß;0;1;4.00;0.19 %;;0;0.00;;1;4.00
Cold Brew;0;1;3.80;0.18 %;;0;0.00;;1;3.80
Scone;0;1;3.20;0.15 %;;0;0.00;;1;3.20
Hafer Espresso Macchiato groß;0;1;3.00;0.14 %;;0;0.00;;1;3.00
Hafer Espresso Macchiato;0;1;2.40;0.12 %;;0;0.00;;1;2.40
