;von;bis;;
Datum:;14.07.2021;14.07.2021;;
Enthalt Z;392;392;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1373.70;99.11 %;
Auslagen;;;11.00;0.79 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.40;0.10 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;11.00;0.79 %;
19.0%;;;384.00;27.73 %;
7.0%;;;989.70;71.47 %;
Total;;;1384.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;11.00;0.87 %;
19.0%;;;322.67;25.63 %;
7.0%;;;925.06;73.49 %;
Total;;;1258.73;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;61.33;48.69 %;
7.0%;;;64.64;51.31 %;
Total;;;125.97;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;132;692.20;49.99 %;0.00
Maestro;;51;410.20;29.62 %;0.00
MasterCard;;6;46.50;3.36 %;0.00
Visa;;9;98.10;7.08 %;1.40
Visa Electron;;10;137.70;9.94 %;0.00
Total;;208;1384.70;100.00 %;1.40
;;;;
Umsatzdetails;;;;;
Annacotta;;;938.50;68.32 %;1.40
Emanuel;;;275.90;20.08 %;0.00
Sebastian;;;159.30;11.60 %;0.00
Total;;;1373.70;100.00 %;1.40
;;;;
Stornos;;;;;
vertippt;;1;3.80;100.00 %;
Total;;1;3.80;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;2.30;100.00 %;
Total;;1;2.30;100.00 %;
;;;;
Tische;;;;;
Theke;;207;1373.90;99.22 %;
Tisch 7;;1;10.80;0.78 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;353;925.60;66.84 %;;3;10.20;;350;915.40
Sonstiges;;22;264.70;19.12 %;;0;0.00;;22;264.70
Speisen;;67;194.40;14.04 %;;0;0.00;;67;194.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;171;490.60;35.43 %;;1;3.40;;170;487.20
Hafer;;104;267.00;19.28 %;;2;6.80;;102;260.20
Röstkaffee;;22;264.70;19.12 %;;0;0.00;;22;264.70
Speisen;;67;194.40;14.04 %;;0;0.00;;67;194.40
Kaffee;;55;94.60;6.83 %;;0;0.00;;55;94.60
Summer;;13;55.40;4.00 %;;0;0.00;;13;55.40
Non Kaffee;;10;18.00;1.30 %;;0;0.00;;10;18.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;58;197.20;14.24 %;;1;3.40;;57;193.80
Hafer Flat White auf Eis;0;21;88.20;6.37 %;;0;0.00;;21;88.20
Flat White auf Eis;0;18;75.60;5.46 %;;0;0.00;;18;75.60
Hafer Cappuccino;0;22;74.80;5.40 %;;2;6.80;;20;68.00
Cappuccino groß;0;15;63.00;4.55 %;;0;0.00;;15;63.00
MUYU 250g;0;6;54.70;3.95 %;;0;0.00;;6;54.70
Pain au Chocolat;0;18;50.40;3.64 %;;0;0.00;;18;50.40
Banana Bread PINE NUT;0;13;49.40;3.57 %;;0;0.00;;13;49.40
Flat White;0;12;45.60;3.29 %;;0;0.00;;12;45.60
MUYU BOTTLE 365;0;3;40.50;2.92 %;;0;0.00;;3;40.50
Caffé Latte;0;11;39.60;2.86 %;;0;0.00;;11;39.60
Hafer Flat White;0;10;38.00;2.74 %;;0;0.00;;10;38.00
MUYU 500g;0;2;36.00;2.60 %;;0;0.00;;2;36.00
Caffé Latte doppelt;0;9;36.00;2.60 %;;0;0.00;;9;36.00
Hafer Caffè Latte;0;9;32.40;2.34 %;;0;0.00;;9;32.40
Kanelbullar;0;10;32.00;2.31 %;;0;0.00;;10;32.00
Don Primitivo 250g;0;2;29.00;2.09 %;;0;0.00;;2;29.00
ReCup ausgeben ´;0;27;27.00;1.95 %;;0;0.00;;27;27.00
Cold Brew;0;7;26.60;1.92 %;;0;0.00;;7;26.60
Hafer Cappuccino Groß;0;6;25.20;1.82 %;;0;0.00;;6;25.20
Gover Cueva 250g;0;2;25.00;1.81 %;;0;0.00;;2;25.00
Croissant;0;11;24.20;1.75 %;;0;0.00;;11;24.20
FINCA ISNUL 250g;0;2;23.00;1.66 %;;0;0.00;;2;23.00
EL MORENO 250g;0;2;23.00;1.66 %;;0;0.00;;2;23.00
Americano;0;8;22.40;1.62 %;;0;0.00;;8;22.40
Filterkaffee;0;7;18.20;1.31 %;;0;0.00;;7;18.20
Nimbus Cocktail;0;3;16.20;1.17 %;;0;0.00;;3;16.20
Brownie;0;5;16.00;1.16 %;;0;0.00;;5;16.00
Cookie;0;8;16.00;1.16 %;;0;0.00;;8;16.00
ReCup ausgeben*;0;16;16.00;1.16 %;;0;0.00;;16;16.00
Espresso Doppio;0;6;15.60;1.13 %;;0;0.00;;6;15.60
Espresso Tonic;0;3;12.60;0.91 %;;0;0.00;;3;12.60
Villa Maria 250g;0;1;12.50;0.90 %;;0;0.00;;1;12.50
Kakao groß;0;3;12.00;0.87 %;;0;0.00;;3;12.00
Izuba 250g;0;1;11.50;0.83 %;;0;0.00;;1;11.50
Coldbrew;0;3;11.40;0.82 %;;0;0.00;;3;11.40
MIKOLAJ Limonade;0;3;11.40;0.82 %;;0;0.00;;3;11.40
ReCup ausgeben;0;11;11.00;0.79 %;;0;0.00;;11;11.00
Kinder Kakao;0;3;9.60;0.69 %;;0;0.00;;3;9.60
