;von;bis;;
Datum:;21.07.2021;21.07.2021;;
Enthalt Z;399;399;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1235.90;99.25 %;
Auslagen;;;9.00;0.72 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.40;0.03 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;9.00;0.72 %;
19.0%;;;381.40;30.64 %;
7.0%;;;854.50;68.64 %;
Total;;;1244.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;9.00;0.80 %;
19.0%;;;320.48;28.41 %;
7.0%;;;798.69;70.80 %;
Total;;;1128.17;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;60.92;52.19 %;
7.0%;;;55.81;47.81 %;
Total;;;116.73;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;123;671.40;53.93 %;0.00
Maestro;;43;383.90;30.84 %;0.40
MasterCard;;8;71.40;5.74 %;0.00
Mehrzweckgutschein;;1;3.80;0.31 %;0.00
Visa;;8;59.40;4.77 %;0.00
Visa Electron;;6;55.00;4.42 %;0.00
Total;;189;1244.90;100.00 %;0.40
;;;;
Umsatzdetails;;;;;
Anna;;;196.30;15.88 %;0.40
Emanuel;;;99.80;8.08 %;0.00
Mik;;;47.40;3.84 %;0.00
Slobo;;;892.40;72.21 %;0.00
Total;;;1235.90;100.00 %;0.40
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;5.50;100.00 %;
Total;;1;5.50;100.00 %;
;;;;
Tische;;;;;
Theke;;186;1227.30;98.59 %;
Tisch 1;;1;10.40;0.84 %;
Tisch 7;;2;7.20;0.58 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;301;848.60;68.17 %;;0;0.00;;301;848.60
Sonstiges;;15;209.50;16.83 %;;0;0.00;;15;209.50
Speisen;;62;186.80;15.01 %;;0;0.00;;62;186.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;131;400.40;32.16 %;;0;0.00;;131;400.40
Hafer;;77;215.60;17.32 %;;0;0.00;;77;215.60
Röstkaffee;;15;209.50;16.83 %;;0;0.00;;15;209.50
Speisen;;62;186.80;15.01 %;;0;0.00;;62;186.80
Kaffee;;64;127.60;10.25 %;;0;0.00;;64;127.60
Summer;;18;72.80;5.85 %;;0;0.00;;18;72.80
Non Kaffee;;11;32.20;2.59 %;;0;0.00;;11;32.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;37;125.80;10.11 %;;0;0.00;;37;125.80
Flat White auf Eis;0;27;113.40;9.11 %;;0;0.00;;27;113.40
Hafer Flat White auf Eis;0;23;96.60;7.76 %;;0;0.00;;23;96.60
Hafer Cappuccino;0;21;71.40;5.74 %;;0;0.00;;21;71.40
Banana Bread PINE NUT;0;17;64.60;5.19 %;;0;0.00;;17;64.60
Flat White;0;15;57.00;4.58 %;;0;0.00;;15;57.00
Cold Brew;0;10;38.00;3.05 %;;0;0.00;;10;38.00
Kanelbullar;0;11;35.20;2.83 %;;0;0.00;;11;35.20
Cappuccino groß;0;8;33.60;2.70 %;;0;0.00;;8;33.60
Croissant;0;15;33.00;2.65 %;;0;0.00;;15;33.00
Caffé Latte;0;9;32.40;2.60 %;;0;0.00;;9;32.40
K‘HO 250g;0;2;31.00;2.49 %;;0;0.00;;2;31.00
Americano;0;11;30.80;2.47 %;;0;0.00;;11;30.80
Don Primitivo 250g;0;2;29.00;2.33 %;;0;0.00;;2;29.00
