;von;bis;;
Datum:;08.08.2021;08.08.2021;;
Enthalt Z;418;418;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1763.50;98.18 %;
Auslagen;;;30.00;1.67 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.70;0.15 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;30.00;1.67 %;
19.0%;;;690.80;38.52 %;
7.0%;;;1072.70;59.81 %;
Total;;;1793.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;30.00;1.86 %;
19.0%;;;580.41;35.98 %;
7.0%;;;1002.58;62.16 %;
Total;;;1612.99;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;110.39;61.15 %;
7.0%;;;70.12;38.85 %;
Total;;;180.51;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;168;973.70;54.29 %;0.50
Maestro;;56;515.40;28.74 %;2.20
MasterCard;;10;102.10;5.69 %;0.00
Visa;;10;124.70;6.95 %;0.00
Visa Electron;;6;77.60;4.33 %;0.00
Total;;250;1793.50;100.00 %;2.70
;;;;
Umsatzdetails;;;;;
Anja;;;83.00;4.71 %;0.00
Anna;;;94.20;5.34 %;1.80
Emanuel;;;191.90;10.88 %;0.70
Katharina;;;521.80;29.59 %;0.00
Sebastian;;;872.60;49.48 %;0.20
Total;;;1763.50;100.00 %;2.70
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;250;1793.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;506;1259.40;70.22 %;;13;48.80;;493;1210.60
Speisen;;122;408.60;22.78 %;;2;5.40;;120;403.20
Sonstiges;;8;125.50;7.00 %;;0;0.00;;8;125.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;206;480.60;26.80 %;;2;8.40;;204;472.20
Speisen;;122;408.60;22.78 %;;2;5.40;;120;403.20
Hafer;;113;307.80;17.16 %;;7;26.60;;106;281.20
Kaffee;;116;210.80;11.75 %;;2;5.40;;114;205.40
Non Kaffee;;39;126.60;7.06 %;;0;0.00;;39;126.60
Summer;;28;124.80;6.96 %;;2;8.40;;26;116.40
Röstkaffee;;7;90.50;5.05 %;;0;0.00;;7;90.50
Equipment;;1;35.00;1.95 %;;0;0.00;;1;35.00
Decaf;;4;8.80;0.49 %;;0;0.00;;4;8.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;54;183.60;10.24 %;;0;0.00;;54;183.60
Hafer Flat White auf Eis;0;24;100.80;5.62 %;;1;4.20;;23;96.60
Hafer Cappuccino;0;28;95.20;5.31 %;;3;10.20;;25;85.00
Flat White auf Eis;0;21;88.20;4.92 %;;1;4.20;;20;84.00
Banana Bread PINE NUT;0;18;68.40;3.81 %;;0;0.00;;18;68.40
Cappuccino groß;0;15;63.00;3.51 %;;1;4.20;;14;58.80
MIKOLAJ Limonade;0;16;60.80;3.39 %;;0;0.00;;16;60.80
Kuchen Maple Carrot;0;12;57.60;3.21 %;;0;0.00;;12;57.60
Nimbus Cocktail;0;10;54.00;3.01 %;;0;0.00;;10;54.00
Flat White;0;14;53.20;2.97 %;;0;0.00;;14;53.20
Filterkaffee;0;20;52.00;2.90 %;;1;2.60;;19;49.40
Caffé Latte;0;14;50.40;2.81 %;;0;0.00;;14;50.40
ReCup ausgeben ´;0;48;48.00;2.68 %;;0;0.00;;48;48.00
Americano;0;17;47.60;2.65 %;;1;2.80;;16;44.80
Hafer Cappuccino Groß;0;11;46.20;2.58 %;;2;8.40;;9;37.80
Cold Brew;0;12;45.60;2.54 %;;0;0.00;;12;45.60
Pain au Chocolat;0;16;44.80;2.50 %;;0;0.00;;16;44.80
Kanelbullar;0;14;44.80;2.50 %;;1;3.20;;13;41.60
Croissant;0;20;44.00;2.45 %;;1;2.20;;19;41.80
Lemon Poppy Cake;0;9;43.20;2.41 %;;0;0.00;;9;43.20
Hafer Flat White;0;10;38.00;2.12 %;;1;3.80;;9;34.20
Tasse L;0;1;35.00;1.95 %;;0;0.00;;1;35.00
Espresso Single;0;15;33.00;1.84 %;;0;0.00;;15;33.00
Don Primitivo 250g;0;2;29.00;1.62 %;;0;0.00;;2;29.00
Quiche;0;7;26.60;1.48 %;;0;0.00;;7;26.60
Raw Cake;0;5;24.00;1.34 %;;0;0.00;;5;24.00
Apfelschorle;0;8;24.00;1.34 %;;0;0.00;;8;24.00
Espresso Doppio;0;9;23.40;1.30 %;;0;0.00;;9;23.40
EL MORENO 250g;0;2;23.00;1.28 %;;0;0.00;;2;23.00
Hafer Caffè Latte;0;6;21.60;1.20 %;;0;0.00;;6;21.60
ReCup ausgeben;0;21;21.00;1.17 %;;0;0.00;;21;21.00
Cookie;0;10;20.00;1.12 %;;0;0.00;;10;20.00
ReCup ausgeben*;0;20;20.00;1.12 %;;0;0.00;;20;20.00
Brownie;0;6;19.20;1.07 %;;0;0.00;;6;19.20
Hand Brew;0;4;18.40;1.03 %;;0;0.00;;4;18.40
Espresso Macchiato;0;7;16.80;0.94 %;;0;0.00;;7;16.80
Espresso Tonic;0;4;16.80;0.94 %;;1;4.20;;3;12.60
Scone;0;5;16.00;0.89 %;;0;0.00;;5;16.00
Caffé Latte doppelt;0;4;16.00;0.89 %;;0;0.00;;4;16.00
Black Tea;0;3;13.80;0.77 %;;0;0.00;;3;13.80
Lemon Verbena Tea;0;3;13.80;0.77 %;;0;0.00;;3;13.80
MUYU BOTTLE 365;0;1;13.50;0.75 %;;0;0.00;;1;13.50
Divers. Röstkaffee;0;1;13.50;0.75 %;;0;0.00;;1;13.50
Izuba 250g;0;1;11.50;0.64 %;;0;0.00;;1;11.50
Mineralwasser;0;4;11.20;0.62 %;;0;0.00;;4;11.20
Americano groß;0;3;9.00;0.50 %;;0;0.00;;3;9.00
Flat White auf Eis.;0;2;8.40;0.47 %;;1;4.20;;1;4.20
Kakao groß;0;2;8.00;0.45 %;;0;0.00;;2;8.00
Decaf Cappuccino;0;2;6.80;0.38 %;;0;0.00;;2;6.80
Espresso Doppio Macchiato;0;2;6.00;0.33 %;;0;0.00;;2;6.00
Kinder Kakao;0;1;3.20;0.18 %;;0;0.00;;1;3.20
ReCup ausgeben **;0;3;3.00;0.17 %;;0;0.00;;3;3.00
ReCup ausgeben* 1;0;2;2.00;0.11 %;;0;0.00;;2;2.00
Extra Shot;0;1;0.60;0.03 %;;0;0.00;;1;0.60
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup annehmen*;0;14;-14.00;-0.78 %;;0;0.00;;14;-14.00
ReCup annehmen;0;17;-17.00;-0.95 %;;0;0.00;;17;-17.00
ReCup annehmen ´;0;33;-33.00;-1.84 %;;0;0.00;;33;-33.00
;;;;
