;von;bis;;
Datum:;25.08.2021;25.08.2021;;
Enthalt Z;435;435;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1708.50;98.33 %;
Auslagen;;;28.00;1.61 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.00;0.06 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;1.61 %;
19.0%;;;481.00;27.70 %;
7.0%;;;1227.50;70.69 %;
Total;;;1736.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;1.77 %;
19.0%;;;404.13;25.59 %;
7.0%;;;1147.38;72.64 %;
Total;;;1579.51;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;76.87;48.96 %;
7.0%;;;80.12;51.04 %;
Total;;;156.99;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;167;984.60;56.70 %;0.00
Maestro;;35;289.80;16.69 %;1.00
MasterCard;;13;128.60;7.41 %;0.00
Mehrzweckgutschein;;3;18.70;1.08 %;0.00
Visa;;17;155.80;8.97 %;0.00
Visa Electron;;12;159.00;9.16 %;0.00
Total;;247;1736.50;100.00 %;1.00
;;;;
Umsatzdetails;;;;;
Anja;;;37.30;2.18 %;0.00
Lena;;;1392.80;81.52 %;1.00
Mik;;;8.20;0.48 %;0.00
Sebastian;;;270.20;15.82 %;0.00
Total;;;1708.50;100.00 %;1.00
;;;;
Stornos;;;;;
vertippt;;2;6.60;100.00 %;
Total;;2;6.60;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;247;1736.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;426;1162.60;66.95 %;;7;21.60;;419;1141.00
Sonstiges;;25;321.50;18.51 %;;0;0.00;;25;321.50
Speisen;;87;252.40;14.53 %;;4;11.00;;83;241.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;184;533.60;30.73 %;;0;0.00;;184;533.60
Röstkaffee;;23;301.50;17.36 %;;0;0.00;;23;301.50
Speisen;;87;252.40;14.53 %;;4;11.00;;83;241.40
Hafer;;76;228.60;13.16 %;;4;14.40;;72;214.20
Kaffee;;109;209.80;12.08 %;;3;7.20;;106;202.60
Summer;;32;138.00;7.95 %;;0;0.00;;32;138.00
Non Kaffee;;25;52.60;3.03 %;;0;0.00;;25;52.60
Gutscheine;;2;20.00;1.15 %;;0;0.00;;2;20.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;70;238.00;13.71 %;;0;0.00;;70;238.00
Flat White;0;20;76.00;4.38 %;;0;0.00;;20;76.00
Cappuccino groß;0;18;75.60;4.35 %;;0;0.00;;18;75.60
Hafer Cappuccino;0;22;74.80;4.31 %;;2;6.80;;20;68.00
Kanelbullar;0;23;73.60;4.24 %;;1;3.20;;22;70.40
Banana Bread PINE NUT;0;18;68.40;3.94 %;;0;0.00;;18;68.40
Americano;0;23;64.40;3.71 %;;1;2.80;;22;61.60
Caffé Latte;0;16;57.60;3.32 %;;0;0.00;;16;57.60
Cold Brew;0;15;57.00;3.28 %;;0;0.00;;15;57.00
Hafer Flat White;0;13;49.40;2.84 %;;2;7.60;;11;41.80
MUYU 250g;0;5;47.50;2.74 %;;0;0.00;;5;47.50
Hafer Cappuccino Groß;0;11;46.20;2.66 %;;0;0.00;;11;46.20
Nimbus Cocktail;0;8;43.20;2.49 %;;0;0.00;;8;43.20
Flat White auf Eis;0;10;42.00;2.42 %;;0;0.00;;10;42.00
Rukira  250g;0;3;40.50;2.33 %;;0;0.00;;3;40.50
Croissant;0;18;39.60;2.28 %;;1;2.20;;17;37.40
Pain au Chocolat;0;14;39.20;2.26 %;;2;5.60;;12;33.60
Espresso Tonic;0;9;37.80;2.18 %;;0;0.00;;9;37.80
Espresso Single;0;17;37.40;2.15 %;;2;4.40;;15;33.00
Filterkaffee;0;14;36.40;2.10 %;;0;0.00;;14;36.40
Izuba 250g;0;3;34.50;1.99 %;;0;0.00;;3;34.50
EL MORENO 250g;0;3;34.50;1.99 %;;0;0.00;;3;34.50
MIKOLAJ Limonade;0;9;34.20;1.97 %;;0;0.00;;9;34.20
Hafer Flat White auf Eis;0;8;33.60;1.93 %;;0;0.00;;8;33.60
Shakisso 500g;0;1;30.00;1.73 %;;0;0.00;;1;30.00
Caffé Latte doppelt;0;6;24.00;1.38 %;;0;0.00;;6;24.00
EL CARMEN Decaf 250g;0;2;23.00;1.32 %;;0;0.00;;2;23.00
Cookie;0;11;22.00;1.27 %;;0;0.00;;11;22.00
EL MORENO 500g;0;1;22.00;1.27 %;;0;0.00;;1;22.00
10€ Gutschein;0;2;20.00;1.15 %;;0;0.00;;2;20.00
ReCup ausgeben;0;19;19.00;1.09 %;;0;0.00;;19;19.00
ReCup ausgeben ´;0;18;18.00;1.04 %;;0;0.00;;18;18.00
Americano groß;0;6;18.00;1.04 %;;0;0.00;;6;18.00
German Carranza 250g;0;1;17.50;1.01 %;;0;0.00;;1;17.50
Espresso Macchiato;0;7;16.80;0.97 %;;0;0.00;;7;16.80
Kakao groß;0;4;16.00;0.92 %;;0;0.00;;4;16.00
Espresso Doppio;0;6;15.60;0.90 %;;0;0.00;;6;15.60
Shakisso 250g;0;1;15.50;0.89 %;;0;0.00;;1;15.50
Apfelschorle;0;5;15.00;0.86 %;;0;0.00;;5;15.00
MUYU BOTTLE 365;0;1;13.50;0.78 %;;0;0.00;;1;13.50
ReCup ausgeben*;0;13;13.00;0.75 %;;0;0.00;;13;13.00
Villa Maria 250g;0;1;12.50;0.72 %;;0;0.00;;1;12.50
Hafer Caffè Latte;0;3;10.80;0.62 %;;0;0.00;;3;10.80
M.Morales 250g;0;1;10.50;0.60 %;;0;0.00;;1;10.50
Scone;0;3;9.60;0.55 %;;0;0.00;;3;9.60
Hand Brew;0;2;9.20;0.53 %;;0;0.00;;2;9.20
Kinder Kakao;0;2;6.40;0.37 %;;0;0.00;;2;6.40
Espresso Doppio Macchiato;0;2;6.00;0.35 %;;0;0.00;;2;6.00
Mineralwasser Sprudel;0;2;5.60;0.32 %;;0;0.00;;2;5.60
Hafer Espresso Macchiato;0;2;4.80;0.28 %;;0;0.00;;2;4.80
Mineralwasser Still;0;1;2.80;0.16 %;;0;0.00;;1;2.80
ReCup ausgeben **;0;1;1.00;0.06 %;;0;0.00;;1;1.00
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup annehmen*;0;4;-4.00;-0.23 %;;0;0.00;;4;-4.00
ReCup annehmen **;0;6;-6.00;-0.35 %;;0;0.00;;6;-6.00
ReCup annehmen;0;13;-13.00;-0.75 %;;0;0.00;;13;-13.00
ReCup annehmen ´;0;20;-20.00;-1.15 %;;0;0.00;;20;-20.00
;;;;
