;von;bis;;
Datum:;05.09.2021;05.09.2021;;
Enthalt Z;446;446;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1748.40;100.33 %;
Auslagen;;;-10.00;-0.57 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;4.30;0.25 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-10.00;-0.58 %;
19.0%;;;611.40;35.17 %;
7.0%;;;1137.00;65.40 %;
Total;;;1738.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-10.00;-0.64 %;
19.0%;;;513.76;32.79 %;
7.0%;;;1062.84;67.84 %;
Total;;;1566.60;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;97.64;56.83 %;
7.0%;;;74.16;43.17 %;
Total;;;171.80;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;175;1013.40;58.29 %;0.00
Maestro;;39;373.10;21.46 %;4.30
MasterCard;;8;103.40;5.95 %;0.00
Visa;;13;146.60;8.43 %;0.00
Visa Electron;;11;101.90;5.86 %;0.00
Total;;246;1738.40;100.00 %;4.30
;;;;
Umsatzdetails;;;;;
Anja;;;7.80;0.45 %;0.00
Anna;;;75.30;4.31 %;0.00
Annacotta;;;653.00;37.35 %;2.60
Lora;;;1000.50;57.22 %;1.70
Moritz;;;11.80;0.67 %;0.00
Total;;;1748.40;100.00 %;4.30
;;;;
Stornos;;;;;
Änderung durch Gast;;2;6.80;100.00 %;
Total;;2;6.80;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;244;1738.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;465;1212.80;69.77 %;;47;145.20;;418;1067.60
Speisen;;107;381.60;21.95 %;;14;60.90;;93;320.70
Sonstiges;;11;144.00;8.28 %;;0;0.00;;11;144.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;238;621.40;35.75 %;;28;85.00;;210;536.40
Speisen;;107;381.60;21.95 %;;14;60.90;;93;320.70
Hafer;;98;270.80;15.58 %;;6;21.80;;92;249.00
Kaffee;;93;194.40;11.18 %;;6;16.60;;87;177.80
Röstkaffee;;11;144.00;8.28 %;;0;0.00;;11;144.00
Summer;;21;87.80;5.05 %;;5;21.80;;16;66.00
Non Kaffee;;15;38.40;2.21 %;;2;0.00;;13;38.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;65;221.00;12.71 %;;12;40.80;;53;180.20
Flat White auf Eis;0;46;193.20;11.11 %;;4;16.80;;42;176.40
Hafer Flat White auf Eis;0;25;105.00;6.04 %;;1;4.20;;24;100.80
Cappuccino groß;0;21;88.20;5.07 %;;2;8.40;;19;79.80
Hafer Cappuccino;0;21;71.40;4.11 %;;2;6.80;;19;64.60
Banana Bread PINE NUT;0;18;68.40;3.93 %;;5;19.00;;13;49.40
Kuchen Maple Carrot;0;12;57.60;3.31 %;;1;4.80;;11;52.80
Kanelbullar;0;18;57.60;3.31 %;;0;0.00;;18;57.60
Caffé Latte;0;14;50.40;2.90 %;;2;7.20;;12;43.20
Cold Brew;0;13;49.40;2.84 %;;1;3.80;;12;45.60
Flat White;0;12;45.60;2.62 %;;1;3.80;;11;41.80
Maracuja Cake *;0;9;44.10;2.54 %;;3;14.70;;6;29.40
Lemon Poppy Cake;0;9;43.20;2.49 %;;4;19.20;;5;24.00
Hafer Flat White;0;11;41.80;2.40 %;;2;7.60;;9;34.20
Filterkaffee;0;15;39.00;2.24 %;;1;2.60;;14;36.40
Hand Brew;0;8;36.80;2.12 %;;0;0.00;;8;36.80
Americano;0;13;36.40;2.09 %;;2;5.60;;11;30.80
