;von;bis;;
Datum:;11.11.2021;11.11.2021;;
Enthalt Z;515;515;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1236.60;98.58 %;
Auslagen;;;16.00;1.28 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.80;0.14 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;16.00;1.28 %;
19.0%;;;358.30;28.60 %;
7.0%;;;878.30;70.12 %;
Total;;;1252.60;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;16.00;1.41 %;
19.0%;;;301.11;26.46 %;
7.0%;;;820.95;72.14 %;
Total;;;1138.06;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;57.19;49.93 %;
7.0%;;;57.35;50.07 %;
Total;;;114.54;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;110;602.60;48.11 %;0.00
Maestro;;34;316.80;25.29 %;0.00
MasterCard;;8;70.80;5.65 %;1.60
Mehrzweckgutschein;;2;19.60;1.56 %;0.00
Visa;;11;77.10;6.16 %;0.20
Visa Electron;;16;165.70;13.23 %;0.00
Total;;181;1252.60;100.00 %;1.80
;;;;
Umsatzdetails;;;;;
Anna;;;321.60;26.01 %;1.80
Lora;;;409.10;33.08 %;0.00
Luke;;;298.40;24.13 %;0.00
Mik;;;207.50;16.78 %;0.00
Total;;;1236.60;100.00 %;1.80
;;;;
Stornos;;;;;
Reklamation;;2;6.80;53.12 %;
vertippt;;2;6.00;46.88 %;
Total;;4;12.80;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;179;1252.60;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;316;765.00;61.07 %;;15;50.60;;301;714.40
Sonstiges;;20;281.00;22.43 %;;0;0.00;;20;281.00
Speisen;;68;206.60;16.49 %;;3;7.20;;65;199.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;179;426.40;34.04 %;;7;25.40;;172;401.00
Röstkaffee;;19;271.50;21.67 %;;0;0.00;;19;271.50
Speisen;;68;206.60;16.49 %;;3;7.20;;65;199.40
Hafer;;67;179.00;14.29 %;;3;10.60;;64;168.40
Kaffee;;57;125.40;10.01 %;;4;10.00;;53;115.40
Non Kaffee;;12;30.00;2.40 %;;1;4.60;;11;25.40
Equipment;;1;9.50;0.76 %;;0;0.00;;1;9.50
Summer;;1;4.20;0.34 %;;0;0.00;;1;4.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;66;224.40;17.91 %;;4;13.60;;62;210.80
Hafer Cappuccino;0;26;88.40;7.06 %;;2;6.80;;24;81.60
Cappuccino groß;0;17;71.40;5.70 %;;1;4.20;;16;67.20
Banana Bread PINE NUT;0;16;60.80;4.85 %;;0;0.00;;16;60.80
Mr Toi 250g;0;4;58.00;4.63 %;;0;0.00;;4;58.00
Hafer Flat White;0;14;53.20;4.25 %;;1;3.80;;13;49.40
Flat White;0;12;45.60;3.64 %;;2;7.60;;10;38.00
Americano;0;14;39.20;3.13 %;;1;2.80;;13;36.40
Caffé Latte;0;10;36.00;2.87 %;;0;0.00;;10;36.00
Kanelbullar;0;11;35.20;2.81 %;;1;3.20;;10;32.00
ReCup ausgeben ´;0;34;34.00;2.71 %;;0;0.00;;34;34.00
MUYU 1000g;0;1;34.00;2.71 %;;0;0.00;;1;34.00
Croissant;0;14;30.80;2.46 %;;0;0.00;;14;30.80
MUYU BOTTLE 365;0;2;27.00;2.16 %;;0;0.00;;2;27.00
Bella Vista 250g;0;2;27.00;2.16 %;;0;0.00;;2;27.00
Quiche;0;7;26.60;2.12 %;;0;0.00;;7;26.60
Pain au Chocolat;0;9;25.20;2.01 %;;0;0.00;;9;25.20
Familia Aguilera 250g;0;2;25.00;2.00 %;;0;0.00;;2;25.00
Kakao groß;0;6;24.00;1.92 %;;0;0.00;;6;24.00
ATSABE 250g;0;2;23.00;1.84 %;;0;0.00;;2;23.00
Caffé Latte doppelt;0;5;20.00;1.60 %;;0;0.00;;5;20.00
Espresso Macchiato;0;8;19.20;1.53 %;;1;2.40;;7;16.80
Lucia Dias 250g;0;2;19.00;1.52 %;;0;0.00;;2;19.00
Filterkaffee;0;7;18.20;1.45 %;;0;0.00;;7;18.20
MUYU 500g;0;1;18.00;1.44 %;;0;0.00;;1;18.00
German Carranza 250g;0;1;17.50;1.40 %;;0;0.00;;1;17.50
Brownie;0;5;16.00;1.28 %;;0;0.00;;5;16.00
Hafer Kakao groß;0;4;16.00;1.28 %;;0;0.00;;4;16.00
Hand Brew;0;3;13.80;1.10 %;;0;0.00;;3;13.80
Lemon Verbena Tea;0;3;13.80;1.10 %;;1;4.60;;2;9.20
Rukira  250g;0;1;13.50;1.08 %;;0;0.00;;1;13.50
Espresso Single;0;6;13.20;1.05 %;;1;2.20;;5;11.00
Hafer Cappuccino Groß;0;3;12.60;1.01 %;;0;0.00;;3;12.60
Cookie;0;6;12.00;0.96 %;;2;4.00;;4;8.00
ReCup ausgeben;0;11;11.00;0.88 %;;0;0.00;;11;11.00
ReCup ausgeben*;0;10;10.00;0.80 %;;0;0.00;;10;10.00
MUYU 250g;0;1;9.50;0.76 %;;0;0.00;;1;9.50
Tasche SUEDHANG;0;1;9.50;0.76 %;;0;0.00;;1;9.50
Green Tea;0;2;9.20;0.73 %;;0;0.00;;2;9.20
Espresso Doppio;0;3;7.80;0.62 %;;1;2.60;;2;5.20
Apfelschorle;0;2;6.00;0.48 %;;0;0.00;;2;6.00
Americano groß;0;2;6.00;0.48 %;;0;0.00;;2;6.00
Espresso Tonic;0;1;4.20;0.34 %;;0;0.00;;1;4.20
Hafer Caffè Latte;0;1;3.60;0.29 %;;0;0.00;;1;3.60
Hafer Kinder Kakao;0;1;3.20;0.26 %;;0;0.00;;1;3.20
ReCup ausgeben **;0;1;1.00;0.08 %;;0;0.00;;1;1.00
Milchschaum Kids;0;4;0.00;0.00 %;;0;0.00;;4;0.00
ReCup annehmen;0;3;-3.00;-0.24 %;;0;0.00;;3;-3.00
ReCup annehmen*;0;8;-8.00;-0.64 %;;0;0.00;;8;-8.00
ReCup annehmen ´;0;29;-29.00;-2.32 %;;0;0.00;;29;-29.00
;;;;
