;von;bis;;
Datum:;21.11.2021;21.11.2021;;
Enthalt Z;526;526;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1618.80;98.21 %;
Auslagen;;;27.00;1.64 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.50;0.15 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;27.00;1.64 %;
19.0%;;;612.10;37.19 %;
7.0%;;;1006.70;61.17 %;
Total;;;1645.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;27.00;1.82 %;
19.0%;;;514.38;34.70 %;
7.0%;;;940.94;63.48 %;
Total;;;1482.32;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;97.72;59.77 %;
7.0%;;;65.76;40.23 %;
Total;;;163.48;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;119;685.60;41.66 %;0.00
Maestro;;44;480.30;29.18 %;2.50
MasterCard;;17;167.40;10.17 %;0.00
Visa;;19;181.20;11.01 %;0.00
Visa Electron;;12;131.30;7.98 %;0.00
Total;;211;1645.80;100.00 %;2.50
;;;;
Umsatzdetails;;;;;
Anja;;;445.50;27.52 %;1.00
Anna;;;414.50;25.61 %;0.00
Emanuel;;;11.40;0.70 %;0.00
Katharina;;;53.80;3.32 %;0.60
Lora;;;693.60;42.85 %;0.90
Total;;;1618.80;100.00 %;2.50
;;;;
Stornos;;;;;
Änderung durch Gast;;1;2.80;100.00 %;
Total;;1;2.80;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;1.20;100.00 %;
Total;;1;1.20;100.00 %;
;;;;
Tische;;;;;
Theke;;209;1645.80;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;439;1029.80;62.57 %;;55;165.20;;384;864.60
Speisen;;114;384.00;23.33 %;;23;77.60;;91;306.40
Sonstiges;;17;232.00;14.10 %;;1;17.50;;16;214.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;218;512.40;31.13 %;;25;88.60;;193;423.80
Speisen;;114;384.00;23.33 %;;23;77.60;;91;306.40
Hafer;;103;273.00;16.59 %;;8;28.20;;95;244.80
Röstkaffee;;14;186.50;11.33 %;;1;17.50;;13;169.00
Kaffee;;84;159.60;9.70 %;;10;29.60;;74;130.00
Non Kaffee;;32;76.40;4.64 %;;12;18.80;;20;57.60
Equipment_;;3;45.50;2.76 %;;0;0.00;;3;45.50
Summer;;2;8.40;0.51 %;;0;0.00;;2;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;62;210.80;12.81 %;;14;47.60;;48;163.20
Hafer Cappuccino;0;39;132.60;8.06 %;;6;20.40;;33;112.20
Caffé Latte;0;21;75.60;4.59 %;;4;14.40;;17;61.20
Kanelbullar;0;23;73.60;4.47 %;;4;12.80;;19;60.80
Flat White;0;18;68.40;4.16 %;;1;3.80;;17;64.60
Cappuccino groß;0;16;67.20;4.08 %;;2;8.40;;14;58.80
Banana Bread PINE NUT;0;16;60.80;3.69 %;;0;0.00;;16;60.80
Kuchen Maple Carrot;0;12;57.60;3.50 %;;2;9.60;;10;48.00
Kinder Kakao;0;17;54.40;3.31 %;;2;6.40;;15;48.00
Hafer Flat White;0;13;49.40;3.00 %;;1;3.80;;12;45.60
ATSABE 250g;0;4;46.00;2.79 %;;0;0.00;;4;46.00
Pain au Chocolat;0;15;42.00;2.55 %;;1;2.80;;14;39.20
Americano;0;15;42.00;2.55 %;;3;8.40;;12;33.60
Tasse S;0;2;36.00;2.19 %;;0;0.00;;2;36.00
ReCup ausgeben ´;0;35;35.00;2.13 %;;0;0.00;;35;35.00
Lemon Poppy Cake;0;7;33.60;2.04 %;;1;4.80;;6;28.80
Green Tea;0;7;32.20;1.96 %;;0;0.00;;7;32.20
ReCup ausgeben*;0;28;28.00;1.70 %;;0;0.00;;28;28.00
Hand Brew;0;6;27.60;1.68 %;;2;9.20;;4;18.40
Bella Vista 250g;0;2;27.00;1.64 %;;0;0.00;;2;27.00
Chocolate Cake;0;8;25.60;1.56 %;;3;9.60;;5;16.00
Croissant;0;11;24.20;1.47 %;;1;2.20;;10;22.00
Cookie;0;11;22.00;1.34 %;;4;8.00;;7;14.00
Hafer Caffè Latte;0;6;21.60;1.31 %;;0;0.00;;6;21.60
Redcurrant Cake;0;5;21.00;1.28 %;;3;12.60;;2;8.40
Hafer Cappuccino Groß;0;5;21.00;1.28 %;;0;0.00;;5;21.00
