;von;bis;;
Datum:;27.11.2021;27.11.2021;;
Enthalt Z;532;532;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2506.00;98.71 %;
Auslagen;;;30.00;1.18 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.80;0.11 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;30.00;1.18 %;
19.0%;;;738.60;29.12 %;
7.0%;;;1767.40;69.69 %;
Total;;;2536.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;30.00;1.30 %;
19.0%;;;620.63;26.95 %;
7.0%;;;1651.91;71.74 %;
Total;;;2302.54;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;117.97;50.53 %;
7.0%;;;115.49;49.47 %;
Total;;;233.46;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;151;1116.30;44.02 %;0.00
Maestro;;54;677.60;26.72 %;1.40
MasterCard;;20;201.70;7.95 %;0.00
Mehrzweckgutschein;;3;15.00;0.59 %;0.00
Visa;;26;264.90;10.45 %;0.00
Visa Electron;;22;260.50;10.27 %;1.40
Total;;276;2536.00;100.00 %;2.80
;;;;
Umsatzdetails;;;;;
Anja;;;279.10;11.14 %;0.00
Anna;;;33.80;1.35 %;0.00
Annacotta;;;1209.00;48.24 %;1.40
Lena P.;;;864.60;34.50 %;1.40
Raquel;;;119.50;4.77 %;0.00
Total;;;2506.00;100.00 %;2.80
;;;;
Stornos;;;;;
Training/Testbuchung;;6;80.00;100.00 %;
Total;;6;80.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;273;2536.00;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;564;1272.80;50.19 %;;64;191.00;;500;1081.80
Sonstiges;;56;800.00;31.55 %;;3;43.00;;53;757.00
Speisen;;139;463.20;18.26 %;;30;99.20;;109;364.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;55;790.00;31.15 %;;3;43.00;;52;747.00
Milchmischgetränke;;249;595.00;23.46 %;;24;85.20;;225;509.80
Speisen;;139;463.20;18.26 %;;30;99.20;;109;364.00
Hafer;;137;350.00;13.80 %;;17;63.40;;120;286.60
Kaffee;;130;260.00;10.25 %;;13;30.20;;117;229.80
Non Kaffee;;46;59.40;2.34 %;;10;12.20;;36;47.20
Gutscheine;;1;10.00;0.39 %;;0;0.00;;1;10.00
Summer;;2;8.40;0.33 %;;0;0.00;;2;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;73;248.20;9.79 %;;16;54.40;;57;193.80
Hafer Cappuccino;0;39;132.60;5.23 %;;5;17.00;;34;115.60
Shakisso 250g;0;8;124.00;4.89 %;;1;15.50;;7;108.50
MUYU 1000g;0;3;102.00;4.02 %;;0;0.00;;3;102.00
Cappuccino groß;0;23;96.60;3.81 %;;3;12.60;;20;84.00
MUYU 250g;0;10;95.00;3.75 %;;1;9.50;;9;85.50
Flat White;0;23;87.40;3.45 %;;1;3.80;;22;83.60
Hafer Flat White;0;21;79.80;3.15 %;;7;26.60;;14;53.20
ATSABE 250g;0;6;69.00;2.72 %;;0;0.00;;6;69.00
Kanelbullar;0;21;67.20;2.65 %;;2;6.40;;19;60.80
Banana Bread PINE NUT;0;17;64.60;2.55 %;;4;15.20;;13;49.40
Hafer Cappuccino Groß;0;15;63.00;2.48 %;;3;12.60;;12;50.40
Caffé Latte;0;17;61.20;2.41 %;;2;7.20;;15;54.00
Americano;0;21;58.80;2.32 %;;2;5.60;;19;53.20
Kuchen Maple Carrot;0;12;57.60;2.27 %;;1;4.80;;11;52.80
Filterkaffee;0;21;54.60;2.15 %;;2;5.20;;19;49.40
MUYU 500g;0;3;54.00;2.13 %;;1;18.00;;2;36.00
Caffé Latte doppelt;0;12;48.00;1.89 %;;1;4.00;;11;44.00
Pain au Chocolat;0;17;47.60;1.88 %;;5;14.00;;12;33.60
Redcurrant Cake;0;11;46.20;1.82 %;;3;12.60;;8;33.60
ReCup ausgeben ´;0;46;46.00;1.81 %;;0;0.00;;46;46.00
Izuba 250g;0;4;46.00;1.81 %;;0;0.00;;4;46.00
Espresso Single;0;20;44.00;1.74 %;;1;2.20;;19;41.80
MUYU BOTTLE 365;0;3;40.50;1.60 %;;0;0.00;;3;40.50
Bella Vista 250g;0;3;40.50;1.60 %;;0;0.00;;3;40.50
Rukira  250g;0;3;40.50;1.60 %;;0;0.00;;3;40.50
Kakao groß;0;10;40.00;1.58 %;;0;0.00;;10;40.00
Croissant;0;18;39.60;1.56 %;;5;11.00;;13;28.60
Quiche;0;10;38.00;1.50 %;;2;7.60;;8;30.40
German Carranza 250g;0;2;35.00;1.38 %;;0;0.00;;2;35.00
Lemon Poppy Cake;0;7;33.60;1.32 %;;2;9.60;;5;24.00
Cookie;0;16;32.00;1.26 %;;1;2.00;;15;30.00
ReCup ausgeben*;0;28;28.00;1.10 %;;0;0.00;;28;28.00
Hafer Caffè Latte;0;7;25.20;0.99 %;;2;7.20;;5;18.00
Villa Maria 250g;0;2;25.00;0.99 %;;0;0.00;;2;25.00
Villa Maria 500g;0;1;24.00;0.95 %;;0;0.00;;1;24.00
Espresso Doppio;0;9;23.40;0.92 %;;1;2.60;;8;20.80
ReCup ausgeben;0;23;23.00;0.91 %;;2;2.00;;21;21.00
Lemon Verbena Tea;0;5;23.00;0.91 %;;1;4.60;;4;18.40
EL CARMEN Decaf 250g;0;2;23.00;0.91 %;;0;0.00;;2;23.00
Hand Brew;0;5;23.00;0.91 %;;0;0.00;;5;23.00
Chocolate Cake;0;7;22.40;0.88 %;;5;16.00;;2;6.40
Izuba 500g;0;1;22.00;0.87 %;;0;0.00;;1;22.00
Espresso Macchiato;0;9;21.60;0.85 %;;4;9.60;;5;12.00
