;von;bis;;
Datum:;05.12.2021;05.12.2021;;
Enthalt Z;540;540;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1986.70;95.60 %;
Auslagen;;;91.00;4.38 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.40;0.02 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;91.00;4.38 %;
19.0%;;;544.60;26.21 %;
7.0%;;;1442.10;69.41 %;
Total;;;2077.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;91.00;4.80 %;
19.0%;;;457.62;24.13 %;
7.0%;;;1347.94;71.07 %;
Total;;;1896.56;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;86.98;48.02 %;
7.0%;;;94.16;51.98 %;
Total;;;181.14;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;143;731.20;35.19 %;0.00
Maestro;;63;793.60;38.20 %;0.40
MasterCard;;14;121.30;5.84 %;0.00
Visa;;22;198.00;9.53 %;0.00
Visa Electron;;18;233.60;11.24 %;0.00
Total;;260;2077.70;100.00 %;0.40
;;;;
Umsatzdetails;;;;;
Anja;;;404.00;20.34 %;0.00
Annacotta;;;850.80;42.82 %;0.40
Katharina;;;502.30;25.28 %;0.00
Laura;;;182.90;9.21 %;0.00
Lena P.;;;46.70;2.35 %;0.00
Total;;;1986.70;100.00 %;0.40
;;;;
Stornos;;;;;
vertippt;;2;2.00;100.00 %;
Total;;2;2.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;260;2077.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;664;1254.40;60.37 %;;0;0.00;;664;1254.40
Speisen;;121;417.80;20.11 %;;0;0.00;;121;417.80
Sonstiges;;23;405.50;19.52 %;;0;0.00;;23;405.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;374;709.60;34.15 %;;0;0.00;;374;709.60
Speisen;;121;417.80;20.11 %;;0;0.00;;121;417.80
Röstkaffee;;20;324.50;15.62 %;;0;0.00;;20;324.50
Hafer;;153;315.60;15.19 %;;0;0.00;;153;315.60
Kaffee;;118;193.00;9.29 %;;0;0.00;;118;193.00
Equipment_;;2;56.00;2.70 %;;0;0.00;;2;56.00
Summer;;6;25.20;1.21 %;;0;0.00;;6;25.20
Gutscheine;;1;25.00;1.20 %;;0;0.00;;1;25.00
Non Kaffee;;11;13.00;0.63 %;;0;0.00;;11;13.00
Decaf;;2;-2.00;-0.10 %;;0;0.00;;2;-2.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;62;210.80;10.15 %;;0;0.00;;62;210.80
Flat White;0;46;174.80;8.41 %;;0;0.00;;46;174.80
Cappuccino groß;0;31;130.20;6.27 %;;0;0.00;;31;130.20
Hafer Cappuccino;0;34;115.60;5.56 %;;0;0.00;;34;115.60
ReCup ausgeben ´;0;114;114.00;5.49 %;;0;0.00;;114;114.00
Banana Bread PINE NUT;0;24;91.20;4.39 %;;0;0.00;;24;91.20
Sanai Red 250g;0;4;86.00;4.14 %;;0;0.00;;4;86.00
Kuchen Maple Carrot;0;17;81.60;3.93 %;;0;0.00;;17;81.60
Kanelbullar;0;23;73.60;3.54 %;;0;0.00;;23;73.60
Hafer Flat White;0;18;68.40;3.29 %;;0;0.00;;18;68.40
Kakao groß;0;14;56.00;2.70 %;;0;0.00;;14;56.00
