;von;bis;;
Datum:;28.12.2021;28.12.2021;;
Enthalt Z;558;558;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1469.00;96.08 %;
Auslagen;;;58.00;3.79 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.00;0.13 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;58.00;3.80 %;
19.0%;;;528.80;34.63 %;
7.0%;;;940.20;61.57 %;
Total;;;1527.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;58.00;4.20 %;
19.0%;;;444.35;32.17 %;
7.0%;;;878.80;63.63 %;
Total;;;1381.15;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;84.45;57.90 %;
7.0%;;;61.40;42.10 %;
Total;;;145.85;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;120;778.50;50.98 %;0.00
Maestro;;32;365.70;23.95 %;0.80
MasterCard;;7;46.00;3.01 %;0.00
Mehrzweckgutschein;;2;20.00;1.31 %;0.00
Visa;;18;214.20;14.03 %;0.50
Visa Electron;;12;102.60;6.72 %;0.70
Total;;191;1527.00;100.00 %;2.00
;;;;
Umsatzdetails;;;;;
Annacotta;;;1359.50;92.55 %;2.00
Emanuel;;;41.60;2.83 %;0.00
Laura;;;37.10;2.53 %;0.00
Robin;;;30.80;2.10 %;0.00
Total;;;1469.00;100.00 %;2.00
;;;;
Stornos;;;;;
vertippt;;1;4.20;100.00 %;
Total;;1;4.20;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;187;1527.00;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;398;994.20;65.11 %;;22;68.80;;376;925.40
Speisen;;87;270.80;17.73 %;;7;22.00;;80;248.80
Sonstiges;;17;262.00;17.16 %;;0;0.00;;17;262.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;185;454.80;29.78 %;;8;24.00;;177;430.80
Hafer;;111;296.20;19.40 %;;8;28.60;;103;267.60
Speisen;;87;270.80;17.73 %;;7;22.00;;80;248.80
Röstkaffee;;15;242.00;15.85 %;;0;0.00;;15;242.00
Kaffee;;73;161.80;10.60 %;;5;13.20;;68;148.60
Non Kaffee;;26;68.80;4.51 %;;1;3.00;;25;65.80
Gutscheine;;2;20.00;1.31 %;;0;0.00;;2;20.00
Summer;;3;12.60;0.83 %;;0;0.00;;3;12.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;62;210.80;13.80 %;;5;17.00;;57;193.80
Hafer Cappuccino;0;43;146.20;9.57 %;;5;17.00;;38;129.20
Flat White;0;22;83.60;5.47 %;;1;3.80;;21;79.80
Kanelbullar;0;25;80.00;5.24 %;;2;6.40;;23;73.60
Banana Bread;0;20;76.00;4.98 %;;3;11.40;;17;64.60
Hafer Flat White;0;18;68.40;4.48 %;;1;3.80;;17;64.60
Caffé Latte;0;16;57.60;3.77 %;;0;0.00;;16;57.60
German Carranza 250g;0;3;52.50;3.44 %;;0;0.00;;3;52.50
Cappuccino groß;0;11;46.20;3.03 %;;1;4.20;;10;42.00
Izuba 500g;0;2;44.00;2.88 %;;0;0.00;;2;44.00
Sanai Red 250g;0;2;43.00;2.82 %;;0;0.00;;2;43.00
ReCup ausgeben ´;0;39;39.00;2.55 %;;0;0.00;;39;39.00
Pain au Chocolat;0;12;33.60;2.20 %;;0;0.00;;12;33.60
Hafer Caffè Latte;0;9;32.40;2.12 %;;1;3.60;;8;28.80
Croissant;0;14;30.80;2.02 %;;1;2.20;;13;28.60
Americano groß;0;10;30.00;1.96 %;;1;3.00;;9;27.00
Hafer Cappuccino Groß;0;7;29.40;1.93 %;;1;4.20;;6;25.20
Americano;0;10;28.00;1.83 %;;1;2.80;;9;25.20
Filterkaffee;0;10;26.00;1.70 %;;1;2.60;;9;23.40
Agua Iglesia 250g;0;2;23.00;1.51 %;;0;0.00;;2;23.00
ReCup ausgeben*;0;21;21.00;1.38 %;;0;0.00;;21;21.00
Espresso Doppio;0;8;20.80;1.36 %;;1;2.60;;7;18.20
