;von;bis;;
Datum:;31.12.2021;31.12.2021;;
Enthalt Z;561;561;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2545.90;98.92 %;
Auslagen;;;20.00;0.78 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;7.90;0.31 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;20.00;0.78 %;
19.0%;;;940.00;36.63 %;
7.0%;;;1605.90;62.59 %;
Total;;;2565.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;20.00;0.87 %;
19.0%;;;789.86;34.18 %;
7.0%;;;1500.98;64.95 %;
Total;;;2310.84;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;150.14;58.86 %;
7.0%;;;104.92;41.14 %;
Total;;;255.06;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;172;1131.60;44.10 %;0.00
Maestro;;68;705.40;27.49 %;7.90
MasterCard;;18;200.20;7.80 %;0.00
Mehrzweckgutschein;;2;9.60;0.37 %;0.00
Visa;;17;214.30;8.35 %;0.00
Visa Electron;;21;304.80;11.88 %;0.00
Total;;298;2565.90;100.00 %;7.90
;;;;
Umsatzdetails;;;;;
Anja;;;418.30;16.43 %;1.20
Anna;;;1174.30;46.13 %;3.10
Robin;;;23.40;0.92 %;0.00
Sebastian;;;929.90;36.53 %;3.60
Total;;;2545.90;100.00 %;7.90
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;2;3.80;100.00 %;
Total;;2;3.80;100.00 %;
;;;;
Tische;;;;;
Theke;;298;2565.90;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;673;1555.40;60.62 %;;62;212.00;;611;1343.40
Speisen;;154;556.00;21.67 %;;14;64.20;;140;491.80
Sonstiges;;29;454.50;17.71 %;;6;62.00;;23;392.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;317;750.40;29.25 %;;31;114.40;;286;636.00
Speisen;;154;556.00;21.67 %;;14;64.20;;140;491.80
Hafer;;161;420.00;16.37 %;;10;36.80;;151;383.20
Röstkaffee;;27;398.50;15.53 %;;6;62.00;;21;336.50
Kaffee;;156;301.40;11.75 %;;16;45.00;;140;256.40
Non Kaffee;;30;58.60;2.28 %;;3;7.40;;27;51.20
Equipment_;;2;56.00;2.18 %;;0;0.00;;2;56.00
Summer;;4;16.80;0.65 %;;2;8.40;;2;8.40
Decaf;;5;8.20;0.32 %;;0;0.00;;5;8.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;97;329.80;12.85 %;;15;51.00;;82;278.80
Hafer Cappuccino;0;60;204.00;7.95 %;;5;17.00;;55;187.00
Cappuccino groß;0;34;142.80;5.57 %;;6;25.20;;28;117.60
Flat White;0;31;117.80;4.59 %;;4;15.20;;27;102.60
Banana Bread;0;29;110.20;4.29 %;;2;7.60;;27;102.60
Hafer Cappuccino Groß;0;21;88.20;3.44 %;;2;8.40;;19;79.80
Caffé Latte;0;23;82.80;3.23 %;;3;10.80;;20;72.00
Pain au Chocolat;0;27;75.60;2.95 %;;3;8.40;;24;67.20
Filterkaffee;0;28;72.80;2.84 %;;1;2.60;;27;70.20
Kanelbullar;0;22;70.40;2.74 %;;1;3.20;;21;67.20
Americano;0;25;70.00;2.73 %;;5;14.00;;20;56.00
Hafer Flat White;0;18;68.40;2.67 %;;1;3.80;;17;64.60
MUYU BOTTLE 365;0;5;67.50;2.63 %;;0;0.00;;5;67.50
MUYU 250g;0;7;66.50;2.59 %;;4;38.00;;3;28.50
Kuchen Maple Carrot;0;12;57.60;2.24 %;;3;14.40;;9;43.20
Tasse M;0;2;56.00;2.18 %;;0;0.00;;2;56.00
ReCup ausgeben ´;0;52;52.00;2.03 %;;0;0.00;;52;52.00
Frühstück Herzhaft;0;6;48.90;1.91 %;;1;8.50;;5;40.40
Lemon Poppy Cake;0;9;43.20;1.68 %;;1;4.80;;8;38.40
Kakao groß;0;10;40.00;1.56 %;;1;4.00;;9;36.00
Caffé Latte doppelt;0;10;40.00;1.56 %;;1;4.00;;9;36.00
Americano groß;0;13;39.00;1.52 %;;2;6.00;;11;33.00
Croissant;0;17;37.40;1.46 %;;0;0.00;;17;37.40
Espresso Doppio;0;14;36.40;1.42 %;;5;13.00;;9;23.40
ReCup ausgeben;0;35;35.00;1.36 %;;0;0.00;;35;35.00
MUYU 1000g;0;1;34.00;1.33 %;;0;0.00;;1;34.00
Chocolate-Orange-Tart;0;10;33.30;1.30 %;;0;0.00;;10;33.30
Hafer Caffè Latte;0;9;32.40;1.26 %;;1;3.60;;8;28.80
ReCup ausgeben*;0;30;30.00;1.17 %;;0;0.00;;30;30.00
Shakisso 500g;0;1;30.00;1.17 %;;0;0.00;;1;30.00
Bella Vista 250g;0;2;27.00;1.05 %;;0;0.00;;2;27.00
Bella Vista  500g;0;1;26.00;1.01 %;;0;0.00;;1;26.00
Villa Maria 250g;0;2;25.00;0.97 %;;1;12.50;;1;12.50
Cookie;0;12;24.00;0.94 %;;1;2.00;;11;22.00
Espresso Macchiato;0;10;24.00;0.94 %;;2;4.80;;8;19.20
ATSABE 250g;0;2;23.00;0.90 %;;1;11.50;;1;11.50
Hand Brew;0;5;23.00;0.90 %;;1;4.60;;4;18.40
Izuba 500g;0;1;22.00;0.86 %;;0;0.00;;1;22.00
Frühstück Süß;0;2;21.00;0.82 %;;1;10.50;;1;10.50
Raw Cake;0;4;19.20;0.75 %;;1;4.80;;3;14.40
MUYU 500g;0;1;18.00;0.70 %;;0;0.00;;1;18.00
Lucia Dias 500g;0;1;18.00;0.70 %;;0;0.00;;1;18.00
German Carranza 250g;0;1;17.50;0.68 %;;0;0.00;;1;17.50
Quiche;0;4;15.20;0.59 %;;0;0.00;;4;15.20
Apfelschorle;0;5;15.00;0.58 %;;0;0.00;;5;15.00
Green Tea;0;3;13.80;0.54 %;;0;0.00;;3;13.80
Espresso Tonic;0;3;12.60;0.49 %;;2;8.40;;1;4.20
Familia Aguilera 250g;0;1;12.50;0.49 %;;0;0.00;;1;12.50
Hafer Caffè Latte groß;0;3;12.00;0.47 %;;1;4.00;;2;8.00
Izuba 250g;0;1;11.50;0.45 %;;0;0.00;;1;11.50
Espresso Single;0;5;11.00;0.43 %;;0;0.00;;5;11.00
Lemon Verbena Tea;0;2;9.20;0.36 %;;0;0.00;;2;9.20
Mineralwasser Sprudel;0;3;8.40;0.33 %;;1;2.80;;2;5.60
Espresso Doppio Macchiato;0;2;6.00;0.23 %;;0;0.00;;2;6.00
Black Tea;0;1;4.60;0.18 %;;1;4.60;;0;0.00
Flat White auf Eis.;0;1;4.20;0.16 %;;0;0.00;;1;4.20
Flat White auf Eis;0;1;4.20;0.16 %;;1;4.20;;0;0.00
Hafer Kakao groß;0;1;4.00;0.16 %;;0;0.00;;1;4.00
Decaf Flat White;0;1;3.80;0.15 %;;0;0.00;;1;3.80
MIKOLAJ Limonade;0;1;3.80;0.15 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.14 %;;0;0.00;;1;3.60
Decaf Americano;0;1;2.80;0.11 %;;0;0.00;;1;2.80
Mineralwasser Still;0;1;2.80;0.11 %;;0;0.00;;1;2.80
ReCup ausgeben **;0;2;2.00;0.08 %;;0;0.00;;2;2.00
Extra Shot;0;2;1.20;0.05 %;;0;0.00;;2;1.20
Deckel ReCup;0;1;1.00;0.04 %;;0;0.00;;1;1.00
Milchschaum Kids;0;9;0.00;0.00 %;;1;0.00;;8;0.00
ReCup annehmen* 1;0;2;-2.00;-0.08 %;;0;0.00;;2;-2.00
ReCup annehmen **;0;2;-2.00;-0.08 %;;0;0.00;;2;-2.00
ReCup annehmen;0;17;-17.00;-0.66 %;;0;0.00;;17;-17.00
ReCup annehmen*;0;19;-19.00;-0.74 %;;0;0.00;;19;-19.00
ReCup annehmen ´;0;59;-59.00;-2.30 %;;0;0.00;;59;-59.00
;;;;
