;von;bis;;
Datum:;05.01.2022;05.01.2022;;
Enthalt Z;565;565;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1761.20;97.95 %;
Auslagen;;;32.00;1.78 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;4.80;0.27 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;32.00;1.78 %;
5.0%;;;12.50;0.70 %;
19.0%;;;558.60;31.15 %;
7.0%;;;1190.10;66.37 %;
Total;;;1793.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;32.00;1.97 %;
5.0%;;;11.90;0.73 %;
19.0%;;;469.44;28.88 %;
7.0%;;;1112.35;68.42 %;
Total;;;1625.69;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;0.60;0.36 %;
19.0%;;;89.16;53.23 %;
7.0%;;;77.75;46.42 %;
Total;;;167.51;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;168;939.70;52.40 %;0.00
Maestro;;37;495.20;27.62 %;3.40
MasterCard;;10;77.30;4.31 %;0.00
Mehrzweckgutschein;;4;48.70;2.72 %;0.00
Visa;;9;62.10;3.46 %;1.40
Visa Electron;;11;170.20;9.49 %;0.00
Total;;239;1793.20;100.00 %;4.80
;;;;
Umsatzdetails;;;;;
Katharina;;;897.80;50.98 %;2.00
Laura;;;723.40;41.07 %;2.80
Mik;;;121.80;6.92 %;0.00
Raquel;;;18.20;1.03 %;0.00
Total;;;1761.20;100.00 %;4.80
;;;;
Stornos;;;;;
vertippt;;1;34.00;100.00 %;
Total;;1;34.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;237;1793.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;454;978.00;54.54 %;;45;108.60;;409;869.40
Sonstiges;;45;596.60;33.27 %;;4;27.50;;41;569.10
Speisen;;73;218.60;12.19 %;;12;35.60;;61;183.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;40;552.10;30.79 %;;0;0.00;;40;552.10
Milchmischgetränke;;244;489.20;27.28 %;;24;74.80;;220;414.40
Hafer;;110;310.60;17.32 %;;7;24.00;;103;286.60
Speisen;;73;218.60;12.19 %;;12;35.60;;61;183.00
Kaffee;;80;129.80;7.24 %;;13;5.20;;67;124.60
Equipment_;;2;29.50;1.65 %;;1;12.50;;1;17.00
Non Kaffee;;13;25.40;1.42 %;;1;4.60;;12;20.80
Decaf;;7;23.00;1.28 %;;0;0.00;;7;23.00
Gutscheine;;3;15.00;0.84 %;;3;15.00;;0;0.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;65;221.00;12.32 %;;9;30.60;;56;190.40
Hafer Cappuccino;0;29;98.60;5.50 %;;5;17.00;;24;81.60
Cappuccino groß;0;23;96.60;5.39 %;;5;21.00;;18;75.60
Hafer Flat White;0;18;68.40;3.81 %;;1;3.80;;17;64.60
Familia Aguilera 250g;0;5;62.50;3.49 %;;0;0.00;;5;62.50
Banana Bread;0;16;60.80;3.39 %;;0;0.00;;16;60.80
Hafer Cappuccino Groß;0;14;58.80;3.28 %;;0;0.00;;14;58.80
Flat White;0;15;57.00;3.18 %;;4;15.20;;11;41.80
Lucia Dias 250g;0;6;57.00;3.18 %;;0;0.00;;6;57.00
ReCup ausgeben ´;0;52;52.00;2.90 %;;2;2.00;;50;50.00
Hafer Caffè Latte;0;14;50.40;2.81 %;;0;0.00;;14;50.40
Izuba 250g;0;4;46.00;2.57 %;;0;0.00;;4;46.00
Kanelbullar;0;14;44.80;2.50 %;;4;12.80;;10;32.00
Bella Vista 250g;0;3;40.50;2.26 %;;0;0.00;;3;40.50
Caffé Latte;0;11;39.60;2.21 %;;0;0.00;;11;39.60
Pain au Chocolat;0;14;39.20;2.19 %;;1;2.80;;13;36.40
MUYU 250g;0;4;38.00;2.12 %;;0;0.00;;4;38.00
Caffé Latte doppelt;0;9;36.00;2.01 %;;0;0.00;;9;36.00
Lucia Dias 500g;0;2;36.00;2.01 %;;0;0.00;;2;36.00
Croissant;0;16;35.20;1.96 %;;3;6.60;;13;28.60
Lucia Dias 1000g;0;1;34.00;1.90 %;;0;0.00;;1;34.00
MUYU 1000g;0;1;34.00;1.90 %;;0;0.00;;1;34.00
Kakao groß;0;7;28.00;1.56 %;;2;8.00;;5;20.00
ReCup ausgeben*;0;28;28.00;1.56 %;;0;0.00;;28;28.00
MUYU BOTTLE 365;0;2;27.00;1.51 %;;0;0.00;;2;27.00
Quiche;0;7;26.60;1.48 %;;3;11.40;;4;15.20
Espresso Single;0;11;24.20;1.35 %;;1;2.20;;10;22.00
Villa Maria 500g;0;1;24.00;1.34 %;;0;0.00;;1;24.00
Familia Aguilera  500g;0;1;24.00;1.34 %;;0;0.00;;1;24.00
Filterkaffee;0;9;23.40;1.30 %;;0;0.00;;9;23.40
ATSABE 250g;0;2;23.00;1.28 %;;0;0.00;;2;23.00
Agua Iglesia 250g;0;2;23.00;1.28 %;;0;0.00;;2;23.00
Agua Iglesia 500g;0;1;22.00;1.23 %;;0;0.00;;1;22.00
MUYU 500g;0;1;18.00;1.00 %;;0;0.00;;1;18.00
Americano groß;0;6;18.00;1.00 %;;0;0.00;;6;18.00
Kinto coffee server 600ml;0;1;17.00;0.95 %;;0;0.00;;1;17.00
Kinder Kakao;0;5;16.00;0.89 %;;0;0.00;;5;16.00
Shakisso 250g;0;1;15.50;0.86 %;;0;0.00;;1;15.50
Espresso Doppio Macchiato;0;5;15.00;0.84 %;;1;3.00;;4;12.00
5€ Gutschein;0;3;15.00;0.84 %;;3;15.00;;0;0.00
Mr Toi 250g;0;1;14.50;0.81 %;;0;0.00;;1;14.50
Americano;0;5;14.00;0.78 %;;1;2.80;;4;11.20
Hand Brew;0;3;13.80;0.77 %;;0;0.00;;3;13.80
ReCup ausgeben;0;13;13.00;0.72 %;;0;0.00;;13;13.00
Espresso Doppio;0;5;13.00;0.72 %;;2;5.20;;3;7.80
BREW Buch;0;1;12.50;0.70 %;;1;12.50;;0;0.00
Villa Maria 250g;0;1;12.50;0.70 %;;0;0.00;;1;12.50
Cookie;0;6;12.00;0.67 %;;1;2.00;;5;10.00
Espresso Macchiato;0;4;9.60;0.54 %;;0;0.00;;4;9.60
Decaf Cappuccino Groß;0;2;8.40;0.47 %;;0;0.00;;2;8.40
MIKOLAJ Limonade;0;2;7.60;0.42 %;;0;0.00;;2;7.60
Hafer Kinder Kakao;0;2;6.40;0.36 %;;1;3.20;;1;3.20
Mineralwasser Still;0;2;5.60;0.31 %;;0;0.00;;2;5.60
Black Tea;0;1;4.60;0.26 %;;1;4.60;;0;0.00
Lemon Verbena Tea;0;1;4.60;0.26 %;;0;0.00;;1;4.60
Hafer Kakao groß;0;1;4.00;0.22 %;;0;0.00;;1;4.00
Decaf Flat White;0;1;3.80;0.21 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.20 %;;0;0.00;;1;3.60
Decaf Cappuccino;0;1;3.40;0.19 %;;0;0.00;;1;3.40
Apfelschorle;0;1;3.00;0.17 %;;0;0.00;;1;3.00
