;von;bis;;
Datum:;13.01.2022;13.01.2022;;
Enthalt Z;572;572;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1400.50;97.97 %;
Auslagen;;;28.00;1.96 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.00;0.07 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;1.96 %;
5.0%;;;12.50;0.88 %;
19.0%;;;514.20;36.00 %;
7.0%;;;873.80;61.17 %;
Total;;;1428.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;2.17 %;
5.0%;;;11.90;0.92 %;
19.0%;;;432.14;33.53 %;
7.0%;;;816.75;63.37 %;
Total;;;1288.79;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;0.60;0.43 %;
19.0%;;;82.06;58.74 %;
7.0%;;;57.05;40.83 %;
Total;;;139.71;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;123;692.10;48.45 %;0.00
Maestro;;45;449.60;31.47 %;0.00
MasterCard;;8;63.70;4.46 %;0.00
Mehrzweckgutschein;;1;8.00;0.56 %;0.00
Visa;;8;67.10;4.70 %;0.40
Visa Electron;;13;148.00;10.36 %;0.60
Total;;198;1428.50;100.00 %;1.00
;;;;
Umsatzdetails;;;;;
Anja;;;485.80;34.69 %;0.60
Anna;;;599.90;42.83 %;0.40
Mik;;;314.80;22.48 %;0.00
Total;;;1400.50;100.00 %;1.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;198;1428.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;332;775.00;54.25 %;;51;157.40;;281;617.60
Sonstiges;;30;443.50;31.05 %;;1;18.00;;29;425.50
Speisen;;74;210.00;14.70 %;;13;39.00;;61;171.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;163;368.00;25.76 %;;20;61.20;;143;306.80
Röstkaffee;;23;364.00;25.48 %;;1;18.00;;22;346.00
Hafer;;95;248.60;17.40 %;;16;57.20;;79;191.40
Speisen;;74;210.00;14.70 %;;13;39.00;;61;171.00
Kaffee;;69;147.20;10.30 %;;14;39.00;;55;108.20
Equipment_;;6;69.50;4.87 %;;0;0.00;;6;69.50
Non Kaffee;;5;11.20;0.78 %;;1;0.00;;4;11.20
Gutscheine;;1;10.00;0.70 %;;0;0.00;;1;10.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;35;119.00;8.33 %;;6;20.40;;29;98.60
Hafer Cappuccino;0;33;112.20;7.85 %;;7;23.80;;26;88.40
Flat White;0;21;79.80;5.59 %;;3;11.40;;18;68.40
Cappuccino groß;0;18;75.60;5.29 %;;6;25.20;;12;50.40
Banana Bread;0;17;64.60;4.52 %;;3;11.40;;14;53.20
Hafer Flat White;0;14;53.20;3.72 %;;2;7.60;;12;45.60
Lucia Dias 250g;0;5;47.50;3.33 %;;0;0.00;;5;47.50
Caffé Latte;0;12;43.20;3.02 %;;2;7.20;;10;36.00
Pain au Chocolat;0;15;42.00;2.94 %;;4;11.20;;11;30.80
Cookie;0;19;38.00;2.66 %;;2;4.00;;17;34.00
MUYU 500g;0;2;36.00;2.52 %;;1;18.00;;1;18.00
Tasse S;0;2;36.00;2.52 %;;0;0.00;;2;36.00
German Carranza 250g;0;2;35.00;2.45 %;;0;0.00;;2;35.00
Agua Iglesia 250g;0;3;34.50;2.42 %;;0;0.00;;3;34.50
ReCup ausgeben ´;0;34;34.00;2.38 %;;0;0.00;;34;34.00
Lucia Dias 1000g;0;1;34.00;2.38 %;;0;0.00;;1;34.00
MUYU 1000g;0;1;34.00;2.38 %;;0;0.00;;1;34.00
Hafer Cappuccino Groß;0;8;33.60;2.35 %;;1;4.20;;7;29.40
Kanelbullar;0;10;32.00;2.24 %;;2;6.40;;8;25.60
Shakisso 250g;0;2;31.00;2.17 %;;0;0.00;;2;31.00
Americano;0;10;28.00;1.96 %;;3;8.40;;7;19.60
Bella Vista  500g;0;1;26.00;1.82 %;;0;0.00;;1;26.00
Hafer Caffè Latte;0;7;25.20;1.76 %;;2;7.20;;5;18.00
Caffé Latte doppelt;0;6;24.00;1.68 %;;0;0.00;;6;24.00
