;von;bis;;
Datum:;10.02.2022;10.02.2022;;
Enthalt Z;600;600;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1543.80;95.48 %;
Auslagen;;;71.00;4.39 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.00;0.12 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;71.00;4.40 %;
19.0%;;;590.40;36.56 %;
7.0%;;;953.40;59.04 %;
Total;;;1614.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;71.00;4.87 %;
19.0%;;;496.08;34.02 %;
7.0%;;;891.18;61.11 %;
Total;;;1458.26;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;94.32;60.25 %;
7.0%;;;62.22;39.75 %;
Total;;;156.54;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;154;817.00;50.59 %;0.00
Maestro;;51;441.10;27.32 %;0.60
MasterCard;;9;63.90;3.96 %;0.00
Visa;;9;51.20;3.17 %;0.00
Visa Electron;;18;241.60;14.96 %;1.40
Total;;241;1614.80;100.00 %;2.00
;;;;
Umsatzdetails;;;;;
Anja;;;46.40;3.01 %;0.00
Anna;;;332.40;21.53 %;1.80
Lora;;;782.50;50.69 %;0.00
Mik;;;247.70;16.04 %;0.20
Robin;;;134.80;8.73 %;0.00
Total;;;1543.80;100.00 %;2.00
;;;;
Stornos;;;;;
vertippt;;3;-3.00;1500.00 %;
Änderung durch Gast;;1;2.80;-1400.00 %;
Total;;4;-0.20;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;241;1614.80;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;429;1023.60;63.39 %;;55;179.60;;374;844.00
Speisen;;101;310.20;19.21 %;;22;63.20;;79;247.00
Sonstiges;;18;281.00;17.40 %;;1;9.50;;17;271.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;231;512.80;31.76 %;;28;100.60;;203;412.20
Speisen;;101;310.20;19.21 %;;22;63.20;;79;247.00
Hafer;;99;281.20;17.41 %;;14;51.00;;85;230.20
Röstkaffee;;16;218.50;13.53 %;;1;9.50;;15;209.00
Kaffee;;83;192.20;11.90 %;;9;25.40;;74;166.80
Gutscheine;;1;50.00;3.10 %;;0;0.00;;1;50.00
Non Kaffee;;16;37.40;2.32 %;;4;2.60;;12;34.80
Equipment_;;1;12.50;0.77 %;;0;0.00;;1;12.50
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;70;238.00;14.74 %;;16;54.40;;54;183.60
Hafer Cappuccino;0;40;136.00;8.42 %;;7;23.80;;33;112.20
Ayla Bombe 250g;0;6;93.00;5.76 %;;0;0.00;;6;93.00
Cappuccino groß;0;22;92.40;5.72 %;;2;8.40;;20;84.00
Banana Bread;0;24;91.20;5.65 %;;6;22.80;;18;68.40
Flat White;0;22;83.60;5.18 %;;5;19.00;;17;64.60
Kanelbullar;0;22;70.40;4.36 %;;2;6.40;;20;64.00
Caffé Latte;0;17;61.20;3.79 %;;3;10.80;;14;50.40
Hafer Cappuccino Groß;0;12;50.40;3.12 %;;3;12.60;;9;37.80
50€ Gutschein;0;1;50.00;3.10 %;;0;0.00;;1;50.00
Hafer Flat White;0;13;49.40;3.06 %;;3;11.40;;10;38.00
Americano;0;17;47.60;2.95 %;;2;5.60;;15;42.00
