;von;bis;;
Datum:;18.02.2022;18.02.2022;;
Enthalt Z;608;608;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2127.10;99.44 %;
Auslagen;;;10.00;0.47 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.00;0.09 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;10.00;0.47 %;
19.0%;;;661.60;30.96 %;
7.0%;;;1465.50;68.57 %;
Total;;;2137.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;10.00;0.52 %;
19.0%;;;555.91;28.72 %;
7.0%;;;1369.75;70.76 %;
Total;;;1935.66;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;105.69;52.47 %;
7.0%;;;95.75;47.53 %;
Total;;;201.44;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;155;875.40;40.96 %;0.00
Maestro;;52;550.50;25.76 %;2.00
MasterCard;;21;294.60;13.79 %;0.00
Mehrzweckgutschein;;4;26.00;1.22 %;0.00
Visa;;21;157.20;7.36 %;0.00
Visa Electron;;18;233.40;10.92 %;0.00
Total;;271;2137.10;100.00 %;2.00
;;;;
Umsatzdetails;;;;;
Lena P.;;;882.90;41.51 %;0.40
Mik;;;670.00;31.50 %;0.00
Raquel;;;574.20;26.99 %;1.60
Total;;;2127.10;100.00 %;2.00
;;;;
Stornos;;;;;
vertippt;;1;13.50;100.00 %;
Total;;1;13.50;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;262;2078.90;97.28 %;
Tisch 7;;8;58.20;2.72 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;482;1111.80;52.02 %;;35;115.80;;447;996.00
Sonstiges;;46;652.50;30.53 %;;0;0.00;;46;652.50
Speisen;;116;372.80;17.44 %;;13;37.40;;103;335.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;44;605.50;28.33 %;;0;0.00;;44;605.50
Milchmischgetränke;;221;530.60;24.83 %;;15;54.60;;206;476.00
Hafer;;141;374.60;17.53 %;;10;33.80;;131;340.80
Speisen;;116;372.80;17.44 %;;13;37.40;;103;335.40
Kaffee;;74;154.00;7.21 %;;8;21.80;;66;132.20
Non Kaffee;;41;52.40;2.45 %;;2;5.60;;39;46.80
Equipment_;;1;37.00;1.73 %;;0;0.00;;1;37.00
Gutscheine;;1;10.00;0.47 %;;0;0.00;;1;10.00
Summer;;1;4.20;0.20 %;;0;0.00;;1;4.20
Decaf;;4;-4.00;-0.19 %;;0;0.00;;4;-4.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;72;244.80;11.45 %;;9;30.60;;63;214.20
Hafer Cappuccino;0;59;200.60;9.39 %;;4;13.60;;55;187.00
Cappuccino groß;0;22;92.40;4.32 %;;3;12.60;;19;79.80
MUYU 250g;0;9;85.50;4.00 %;;0;0.00;;9;85.50
Flat White;0;20;76.00;3.56 %;;3;11.40;;17;64.60
Kanelbullar;0;22;70.40;3.29 %;;3;9.60;;19;60.80
Caffé Latte;0;19;68.40;3.20 %;;0;0.00;;19;68.40
Hafer Flat White;0;18;68.40;3.20 %;;1;3.80;;17;64.60
Banana Bread;0;16;60.80;2.84 %;;1;3.80;;15;57.00
Chakra Warmi 250g;0;4;58.00;2.71 %;;0;0.00;;4;58.00
Pain au Chocolat;0;19;53.20;2.49 %;;3;8.40;;16;44.80
Bella Vista  500g;0;2;52.00;2.43 %;;0;0.00;;2;52.00
Ayla Bombe 250g;0;3;46.50;2.18 %;;0;0.00;;3;46.50
Filterkaffee;0;16;41.60;1.95 %;;0;0.00;;16;41.60
Lucia Dias 250g;0;4;38.00;1.78 %;;0;0.00;;4;38.00
Kinto travel  Tumbler 350ml;0;1;37.00;1.73 %;;0;0.00;;1;37.00
Lucia Dias 500g;0;2;36.00;1.68 %;;0;0.00;;2;36.00
Croissant;0;16;35.20;1.65 %;;3;6.60;;13;28.60
German Carranza 250g;0;2;35.00;1.64 %;;0;0.00;;2;35.00
Izuba 250g;0;3;34.50;1.61 %;;0;0.00;;3;34.50
EL CARMEN Decaf 250g;0;3;34.50;1.61 %;;0;0.00;;3;34.50
MUYU 1000g;0;1;34.00;1.59 %;;0;0.00;;1;34.00
Hafer Cappuccino Groß;0;8;33.60;1.57 %;;2;8.40;;6;25.20
ReCup ausgeben ´;0;33;33.00;1.54 %;;0;0.00;;33;33.00
Hafer Caffè Latte;0;9;32.40;1.52 %;;0;0.00;;9;32.40
Don Martin 250g;0;2;29.00;1.36 %;;0;0.00;;2;29.00
Kuchen Maple Carrot;0;6;28.80;1.35 %;;0;0.00;;6;28.80
Americano;0;10;28.00;1.31 %;;2;5.60;;8;22.40
Bella Vista 250g;0;2;27.00;1.26 %;;0;0.00;;2;27.00
Cookie;0;13;26.00;1.22 %;;1;2.00;;12;24.00
Chocolate Cake;0;8;25.60;1.20 %;;1;3.20;;7;22.40
Villa Maria 250g;0;2;25.00;1.17 %;;0;0.00;;2;25.00
Familia Aguilera 250g;0;2;25.00;1.17 %;;0;0.00;;2;25.00
ReCup ausgeben*;0;25;25.00;1.17 %;;1;1.00;;24;24.00
Caffé Latte doppelt;0;6;24.00;1.12 %;;0;0.00;;6;24.00
Americano groß;0;8;24.00;1.12 %;;0;0.00;;8;24.00
Lemon Poppy Cake;0;5;24.00;1.12 %;;0;0.00;;5;24.00
Izuba 500g;0;1;22.00;1.03 %;;0;0.00;;1;22.00
Apfelschorle;0;7;21.00;0.98 %;;0;0.00;;7;21.00
Sandwich Vegan;0;4;19.20;0.90 %;;0;0.00;;4;19.20
Espresso Doppio Macchiato;0;6;18.00;0.84 %;;2;6.00;;4;12.00
MUYU 500g;0;1;18.00;0.84 %;;0;0.00;;1;18.00
Kakao groß;0;4;16.00;0.75 %;;0;0.00;;4;16.00
Hafer Kakao groß;0;4;16.00;0.75 %;;1;4.00;;3;12.00
Kinder Kakao;0;5;16.00;0.75 %;;0;0.00;;5;16.00
Espresso Single;0;7;15.40;0.72 %;;1;2.20;;6;13.20
Quiche;0;4;15.20;0.71 %;;1;3.80;;3;11.40
Sandwich Vegetarisch;0;3;14.40;0.67 %;;0;0.00;;3;14.40
Lemon Verbena Tea;0;3;13.80;0.65 %;;0;0.00;;3;13.80
MIKOLAJ Limonade;0;3;11.40;0.53 %;;0;0.00;;3;11.40
ReCup ausgeben;0;11;11.00;0.51 %;;1;1.00;;10;10.00
10€ Gutschein;0;1;10.00;0.47 %;;0;0.00;;1;10.00
ReCup ausgeben **;0;10;10.00;0.47 %;;1;1.00;;9;9.00
Hand Brew;0;2;9.20;0.43 %;;1;4.60;;1;4.60
Espresso Doppio;0;3;7.80;0.36 %;;0;0.00;;3;7.80
Divers. Röstkaffee;0;1;5.50;0.26 %;;0;0.00;;1;5.50
Espresso Macchiato;0;2;4.80;0.22 %;;1;2.40;;1;2.40
Green Tea;0;1;4.60;0.22 %;;1;4.60;;0;0.00
Flat White auf Eis.;0;1;4.20;0.20 %;;0;0.00;;1;4.20
Hafer Caffè Latte groß;0;1;4.00;0.19 %;;0;0.00;;1;4.00
Hafer Kinder Kakao;0;1;3.20;0.15 %;;0;0.00;;1;3.20
Hafer Espresso Macchiato groß;0;1;3.00;0.14 %;;1;3.00;;0;0.00
Mineralwasser Still;0;1;2.80;0.13 %;;0;0.00;;1;2.80
Mineralwasser Sprudel;0;1;2.80;0.13 %;;0;0.00;;1;2.80
Hafer Espresso Macchiato;0;1;2.40;0.11 %;;0;0.00;;1;2.40
Extra Shot;0;2;1.20;0.06 %;;0;0.00;;2;1.20
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup annehmen* 1;0;4;-4.00;-0.19 %;;0;0.00;;4;-4.00
ReCup annehmen;0;7;-7.00;-0.33 %;;0;0.00;;7;-7.00
ReCup annehmen*;0;14;-14.00;-0.66 %;;0;0.00;;14;-14.00
ReCup annehmen **;0;14;-14.00;-0.66 %;;0;0.00;;14;-14.00
ReCup annehmen ´;0;40;-40.00;-1.87 %;;0;0.00;;40;-40.00
;;;;
