;von;bis;;
Datum:;28.02.2022;28.02.2022;;
Enthalt Z;618;618;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1838.20;98.43 %;
Auslagen;;;29.00;1.55 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.40;0.02 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;29.00;1.55 %;
19.0%;;;608.80;32.60 %;
7.0%;;;1229.40;65.84 %;
Total;;;1867.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;29.00;1.72 %;
19.0%;;;511.65;30.28 %;
7.0%;;;1149.03;68.00 %;
Total;;;1689.68;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;97.15;54.73 %;
7.0%;;;80.37;45.27 %;
Total;;;177.52;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;170;877.20;46.98 %;0.00
Maestro;;53;494.30;26.47 %;0.00
MasterCard;;6;53.60;2.87 %;0.40
Visa;;20;272.50;14.59 %;0.00
Visa Electron;;20;169.60;9.08 %;0.00
Total;;269;1867.20;100.00 %;0.40
;;;;
Umsatzdetails;;;;;
Anna;;;434.70;23.65 %;0.00
Emanuel;;;837.10;45.54 %;0.40
Moritz;;;261.20;14.21 %;0.00
Slobo;;;305.20;16.60 %;0.00
Total;;;1838.20;100.00 %;0.40
;;;;
Stornos;;;;;
nicht verfügbar;;1;3.20;27.59 %;
Änderung durch Gast;;2;8.40;72.41 %;
Total;;3;11.60;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;227;1650.20;88.38 %;
Tisch 1;;1;12.80;0.69 %;
Tisch 7;;41;204.20;10.94 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;525;1200.40;64.29 %;;54;183.20;;471;1017.20
Speisen;;112;333.80;17.88 %;;15;47.80;;97;286.00
Sonstiges;;23;333.00;17.83 %;;2;21.00;;21;312.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;269;676.80;36.25 %;;27;95.60;;242;581.20
Speisen;;112;333.80;17.88 %;;15;47.80;;97;286.00
Röstkaffee;;21;308.00;16.50 %;;2;21.00;;19;287.00
Hafer;;111;272.60;14.60 %;;10;37.00;;101;235.60
Kaffee;;98;197.20;10.56 %;;12;32.40;;86;164.80
Decaf;;16;27.20;1.46 %;;2;6.80;;14;20.40
Equipment_;;2;25.00;1.34 %;;0;0.00;;2;25.00
Non Kaffee;;29;18.20;0.97 %;;3;11.40;;26;6.80
Summer;;2;8.40;0.45 %;;0;0.00;;2;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;88;299.20;16.02 %;;13;44.20;;75;255.00
Flat White;0;40;152.00;8.14 %;;7;26.60;;33;125.40
Hafer Cappuccino;0;34;115.60;6.19 %;;5;17.00;;29;98.60
Cappuccino groß;0;20;84.00;4.50 %;;3;12.60;;17;71.40
Banana Bread;0;22;83.60;4.48 %;;5;19.00;;17;64.60
Americano;0;26;72.80;3.90 %;;6;16.80;;20;56.00
Pain au Chocolat;0;24;67.20;3.60 %;;2;5.60;;22;61.60
Kanelbullar;0;20;64.00;3.43 %;;2;6.40;;18;57.60
ReCup ausgeben ´;0;59;59.00;3.16 %;;1;1.00;;58;58.00
Don Martin 250g;0;4;58.00;3.11 %;;0;0.00;;4;58.00
Caffé Latte;0;15;54.00;2.89 %;;0;0.00;;15;54.00
Croissant;0;24;52.80;2.83 %;;1;2.20;;23;50.60
Hafer Cappuccino Groß;0;11;46.20;2.47 %;;2;8.40;;9;37.80
Izuba 500g;0;2;44.00;2.36 %;;0;0.00;;2;44.00
Hafer Flat White;0;11;41.80;2.24 %;;0;0.00;;11;41.80
Ayla Bombe 250g;0;2;31.00;1.66 %;;0;0.00;;2;31.00
Chakra Warmi 250g;0;2;29.00;1.55 %;;0;0.00;;2;29.00
ReCup ausgeben*;0;29;29.00;1.55 %;;0;0.00;;29;29.00
Decaf Cappuccino;0;8;27.20;1.46 %;;2;6.80;;6;20.40
Cookie;0;13;26.00;1.39 %;;3;6.00;;10;20.00
Hafer Caffè Latte;0;7;25.20;1.35 %;;1;3.60;;6;21.60
BREW Buch;0;2;25.00;1.34 %;;0;0.00;;2;25.00
Villa Maria 500g;0;1;24.00;1.29 %;;0;0.00;;1;24.00
EL CARMEN Decaf 250g;0;2;23.00;1.23 %;;1;11.50;;1;11.50
Espresso Single;0;10;22.00;1.18 %;;2;4.40;;8;17.60
Americano groß;0;7;21.00;1.12 %;;1;3.00;;6;18.00
Filterkaffee;0;8;20.80;1.11 %;;2;5.20;;6;15.60
Caffé Latte doppelt;0;5;20.00;1.07 %;;1;4.00;;4;16.00
Espresso Macchiato;0;8;19.20;1.03 %;;0;0.00;;8;19.20
Kinder Kakao;0;6;19.20;1.03 %;;1;3.20;;5;16.00
MUYU 250g;0;2;19.00;1.02 %;;1;9.50;;1;9.50
MIKOLAJ Limonade;0;5;19.00;1.02 %;;3;11.40;;2;7.60
Lucia Dias 250g;0;2;19.00;1.02 %;;0;0.00;;2;19.00
Hand Brew;0;4;18.40;0.99 %;;0;0.00;;4;18.40
MUYU 500g;0;1;18.00;0.96 %;;0;0.00;;1;18.00
Lucia Dias 500g;0;1;18.00;0.96 %;;0;0.00;;1;18.00
Hafer Caffè Latte groß;0;4;16.00;0.86 %;;2;8.00;;2;8.00
Sandwich Vegan;0;3;14.40;0.77 %;;1;4.80;;2;9.60
Sandwich Vegetarisch;0;3;14.40;0.77 %;;0;0.00;;3;14.40
Bella Vista 250g;0;1;13.50;0.72 %;;0;0.00;;1;13.50
Espresso Doppio;0;5;13.00;0.70 %;;0;0.00;;5;13.00
ReCup ausgeben;0;12;12.00;0.64 %;;0;0.00;;12;12.00
Kakao groß;0;3;12.00;0.64 %;;1;4.00;;2;8.00
Espresso Doppio Macchiato;0;4;12.00;0.64 %;;1;3.00;;3;9.00
Izuba 250g;0;1;11.50;0.62 %;;0;0.00;;1;11.50
Quiche;0;3;11.40;0.61 %;;1;3.80;;2;7.60
Flat White auf Eis;0;2;8.40;0.45 %;;0;0.00;;2;8.40
Hafer Flat White auf Eis;0;2;8.40;0.45 %;;0;0.00;;2;8.40
Black Tea;0;1;4.60;0.25 %;;0;0.00;;1;4.60
Flat White auf Eis.;0;1;4.20;0.22 %;;0;0.00;;1;4.20
Espresso Tonic;0;1;4.20;0.22 %;;0;0.00;;1;4.20
ReCup ausgeben* 1;0;4;4.00;0.21 %;;0;0.00;;4;4.00
Apfelschorle;0;1;3.00;0.16 %;;0;0.00;;1;3.00
Mineralwasser Still;0;1;2.80;0.15 %;;0;0.00;;1;2.80
Mineralwasser Sprudel;0;1;2.80;0.15 %;;0;0.00;;1;2.80
Hafer Espresso Macchiato;0;1;2.40;0.13 %;;0;0.00;;1;2.40
ReCup ausgeben **;0;1;1.00;0.05 %;;0;0.00;;1;1.00
Milchschaum Kids;0;4;0.00;0.00 %;;0;0.00;;4;0.00
ReCup annehmen* 1;0;4;-4.00;-0.21 %;;0;0.00;;4;-4.00
ReCup annehmen*;0;12;-12.00;-0.64 %;;0;0.00;;12;-12.00
