;von;bis;;
Datum:;13.05.2022;13.05.2022;;
Enthalt Z;694;694;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1848.10;98.61 %;
Auslagen;;;25.00;1.33 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.00;0.05 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;25.00;1.33 %;
19.0%;;;626.23;33.43 %;
7.0%;;;1221.87;65.23 %;
Total;;;1873.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;25.00;1.48 %;
19.0%;;;526.27;31.08 %;
7.0%;;;1142.13;67.45 %;
Total;;;1693.40;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;99.96;55.63 %;
7.0%;;;79.74;44.37 %;
Total;;;179.70;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;148;838.00;44.74 %;0.00
Maestro;;57;534.10;28.51 %;0.40
MasterCard;;9;64.00;3.42 %;0.00
Mehrzweckgutschein;;2;0.00;0.00 %;0.00
Visa;;19;159.80;8.53 %;0.60
Visa Electron;;20;277.20;14.80 %;0.00
Total;;255;1873.10;100.00 %;1.00
;;;;
Umsatzdetails;;;;;
Anna;;;129.90;7.03 %;0.00
Emanuel;;;7.60;0.41 %;0.00
Katharina;;;541.90;29.32 %;0.60
Laura;;;100.70;5.45 %;0.00
Mik;;;300.70;16.27 %;0.00
Sofia;;;767.30;41.52 %;0.40
Total;;;1848.10;100.00 %;1.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;9.70;100.00 %;
Total;;3;9.70;100.00 %;
;;;;
Tische;;;;;
Theke;;253;1873.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;377;1106.55;59.08 %;;4;11.40;;373;1095.15
Sonstiges;;30;438.30;23.40 %;;0;0.00;;30;438.30
Speisen;;100;328.25;17.52 %;;0;0.00;;100;328.25
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;160;453.72;24.22 %;;1;3.40;;159;450.32
Röstkaffee;;26;393.30;21.00 %;;0;0.00;;26;393.30
Hafer;;111;361.60;19.30 %;;0;0.00;;111;361.60
Speisen;;100;328.25;17.52 %;;0;0.00;;100;328.25
Kaffee;;59;146.20;7.81 %;;2;4.40;;57;141.80
Non Kaffee;;30;80.83;4.32 %;;0;0.00;;30;80.83
Summer;;12;45.60;2.43 %;;1;3.60;;11;42.00
Equipment_;;2;25.00;1.33 %;;0;0.00;;2;25.00
Gutscheine;;2;20.00;1.07 %;;0;0.00;;2;20.00
Decaf;;5;18.60;0.99 %;;0;0.00;;5;18.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;60;202.32;10.80 %;;1;3.40;;59;198.92
Hafer Cappuccino;0;40;136.00;7.26 %;;0;0.00;;40;136.00
Banana Bread;0;22;83.60;4.46 %;;0;0.00;;22;83.60
Flat White;0;20;76.00;4.06 %;;0;0.00;;20;76.00
CUERPO 1000g;0;2;68.00;3.63 %;;0;0.00;;2;68.00
Cappuccino groß;0;15;63.00;3.36 %;;0;0.00;;15;63.00
Hafer Flat White;0;16;60.80;3.25 %;;0;0.00;;16;60.80
Hafer Cappuccino Groß;0;14;58.80;3.14 %;;0;0.00;;14;58.80
Flat White auf Eis;0;14;58.80;3.14 %;;0;0.00;;14;58.80
MUYU 500g;0;3;54.00;2.88 %;;0;0.00;;3;54.00
CUERPO 250g;0;5;47.50;2.54 %;;0;0.00;;5;47.50
AYLA BOMBE 250g;0;3;46.50;2.48 %;;0;0.00;;3;46.50
Hafer Flat White auf Eis;0;11;46.20;2.47 %;;0;0.00;;11;46.20
Kanelbullar;0;14;44.80;2.39 %;;0;0.00;;14;44.80
Pain au Chocolat;0;15;42.00;2.24 %;;0;0.00;;15;42.00
MIKOLAJ Limonade;0;11;41.80;2.23 %;;0;0.00;;11;41.80
MUYU 250g;0;4;38.00;2.03 %;;0;0.00;;4;38.00
Caffé Latte;0;10;36.00;1.92 %;;0;0.00;;10;36.00
CABALLERO 250g;0;3;34.40;1.84 %;;0;0.00;;3;34.40
MUYU 1000g;0;1;34.00;1.82 %;;0;0.00;;1;34.00
Sandwich Vegetarisch;0;7;33.60;1.79 %;;0;0.00;;7;33.60
Croissant;0;14;30.25;1.61 %;;0;0.00;;14;30.25
Hafer Caffè Latte;0;8;28.80;1.54 %;;0;0.00;;8;28.80
Espresso Single;0;13;28.60;1.53 %;;2;4.40;;11;24.20
Americano;0;10;28.00;1.49 %;;0;0.00;;10;28.00
Kuchen Maple Carrot;0;5;24.00;1.28 %;;0;0.00;;5;24.00
Cookie;0;12;24.00;1.28 %;;0;0.00;;12;24.00
Divers. Röstkaffee;0;2;21.90;1.17 %;;0;0.00;;2;21.90
Nitro Americano;0;6;21.60;1.15 %;;1;3.60;;5;18.00
Filterkaffee;0;8;20.80;1.11 %;;0;0.00;;8;20.80
10€ Gutschein;0;2;20.00;1.07 %;;0;0.00;;2;20.00
Espresso Macchiato;0;8;19.20;1.03 %;;0;0.00;;8;19.20
CUERPO 500g;0;1;18.00;0.96 %;;0;0.00;;1;18.00
Tasse S;0;1;18.00;0.96 %;;0;0.00;;1;18.00
Apfelschorle;0;6;18.00;0.96 %;;0;0.00;;6;18.00
DON MARTIN 250g;0;1;16.50;0.88 %;;0;0.00;;1;16.50
ReCup ausgeben*;0;16;16.00;0.85 %;;0;0.00;;16;16.00
Espresso Doppio;0;6;15.60;0.83 %;;0;0.00;;6;15.60
Lemon Poppy Cake;0;4;15.20;0.81 %;;0;0.00;;4;15.20
CHAKRA WARMI 250g;0;1;14.50;0.77 %;;0;0.00;;1;14.50
Sandwich Vegan;0;3;14.40;0.77 %;;0;0.00;;3;14.40
ReCup ausgeben ´;0;13;13.00;0.69 %;;0;0.00;;13;13.00
Granola;0;3;12.60;0.67 %;;0;0.00;;3;12.60
Espresso Tonic;0;3;12.60;0.67 %;;0;0.00;;3;12.60
Espresso Doppio Macchiato;0;4;12.00;0.64 %;;0;0.00;;4;12.00
Caffé Latte doppelt;0;3;12.00;0.64 %;;0;0.00;;3;12.00
Cold Brew;0;3;11.40;0.61 %;;0;0.00;;3;11.40
Decaf Cappuccino;0;3;10.20;0.54 %;;0;0.00;;3;10.20
Kinder Kakao;0;3;9.60;0.51 %;;0;0.00;;3;9.60
Green Tea;0;2;9.20;0.49 %;;0;0.00;;2;9.20
Hand Brew;0;2;9.20;0.49 %;;0;0.00;;2;9.20
Decaf Flat White auf Eis;0;2;8.40;0.45 %;;0;0.00;;2;8.40
Lemon Verbena Tea;0;2;8.05;0.43 %;;0;0.00;;2;8.05
Hafer Caffè Latte groß;0;2;8.00;0.43 %;;0;0.00;;2;8.00
AeroPress filter;0;1;7.00;0.37 %;;0;0.00;;1;7.00
Americano groß;0;2;6.00;0.32 %;;0;0.00;;2;6.00
Mineralwasser Still;0;2;5.60;0.30 %;;0;0.00;;2;5.60
Hafer Espresso Macchiato;0;2;4.80;0.26 %;;0;0.00;;2;4.80
ReCup ausgeben;0;4;4.00;0.21 %;;0;0.00;;4;4.00
Kakao groß;0;1;4.00;0.21 %;;0;0.00;;1;4.00
Raspberry Cake vegan;0;1;3.80;0.20 %;;0;0.00;;1;3.80
Coldbrew;0;1;3.80;0.20 %;;0;0.00;;1;3.80
Hafer Kinder Kakao;0;1;3.20;0.17 %;;0;0.00;;1;3.20
Mineralwasser Sprudel;0;1;2.80;0.15 %;;0;0.00;;1;2.80
Milchschaum Kids;0;1;0.38;0.02 %;;0;0.00;;1;0.38
ReCup annehmen;0;1;-1.00;-0.05 %;;0;0.00;;1;-1.00
ReCup annehmen*;0;1;-1.00;-0.05 %;;0;0.00;;1;-1.00
