;von;bis;;
Datum:;19.05.2022;19.05.2022;;
Enthalt Z;700;700;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1337.00;101.14 %;
Auslagen;;;-17.00;-1.29 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.90;0.14 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-17.00;-1.29 %;
19.0%;;;555.80;42.11 %;
7.0%;;;781.20;59.18 %;
Total;;;1320.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-17.00;-1.44 %;
19.0%;;;467.03;39.57 %;
7.0%;;;730.21;61.87 %;
Total;;;1180.24;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;88.77;63.52 %;
7.0%;;;50.99;36.48 %;
Total;;;139.76;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;123;611.70;46.34 %;0.00
Maestro;;51;436.60;33.08 %;0.00
MasterCard;;12;108.30;8.20 %;1.20
Mehrzweckgutschein;;3;19.60;1.48 %;0.00
Visa;;11;74.50;5.64 %;0.00
Visa Electron;;7;69.30;5.25 %;0.70
Total;;207;1320.00;100.00 %;1.90
;;;;
Umsatzdetails;;;;;
Laura;;;397.70;29.75 %;1.20
Lena P.;;;166.10;12.42 %;0.50
Lora;;;538.30;40.26 %;0.20
Mik;;;234.90;17.57 %;0.00
Total;;;1337.00;100.00 %;1.90
;;;;
Stornos;;;;;
Training/Testbuchung;;3;10.60;58.24 %;
vertippt;;1;4.20;23.08 %;
Änderung durch Gast;;1;3.40;18.68 %;
Total;;5;18.20;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;1.20;25.00 %;
Staff Bottled Drinks;;1;3.60;75.00 %;
Total;;2;4.80;100.00 %;
;;;;
Tische;;;;;
Theke;;194;1320.00;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;305;862.40;65.33 %;;24;87.40;;281;775.00
Speisen;;81;267.60;20.27 %;;12;39.20;;69;228.40
Sonstiges;;16;190.00;14.39 %;;0;0.00;;16;190.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer;;96;311.30;23.58 %;;7;25.80;;89;285.50
Speisen;;81;267.60;20.27 %;;12;39.20;;69;228.40
Milchmischgetränke;;113;267.00;20.23 %;;12;44.00;;101;223.00
Röstkaffee;;16;190.00;14.39 %;;0;0.00;;16;190.00
Kaffee;;45;123.60;9.36 %;;1;2.40;;44;121.20
Summer;;26;98.00;7.42 %;;3;11.40;;23;86.60
Non Kaffee;;21;54.90;4.16 %;;1;3.80;;20;51.10
Decaf;;4;7.60;0.58 %;;0;0.00;;4;7.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Flat White auf Eis;0;40;165.90;12.57 %;;1;4.20;;39;161.70
Cappuccino;0;31;105.40;7.98 %;;5;17.00;;26;88.40
Hafer Cappuccino;0;24;81.60;6.18 %;;2;6.80;;22;74.80
IZUBA 250g;0;6;75.00;5.68 %;;0;0.00;;6;75.00
Flat White auf Eis;0;17;71.40;5.41 %;;1;4.20;;16;67.20
Nitro Americano;0;18;64.80;4.91 %;;2;7.20;;16;57.60
Banana Bread;0;13;49.40;3.74 %;;3;11.40;;10;38.00
MUYU 250g;0;4;38.00;2.88 %;;0;0.00;;4;38.00
Kanelbullar;0;11;35.20;2.67 %;;0;0.00;;11;35.20
MIKOLAJ Limonade;0;9;34.20;2.59 %;;1;3.80;;8;30.40
Flat White;0;9;34.20;2.59 %;;3;11.40;;6;22.80
DON MARTIN 250g;0;2;33.00;2.50 %;;0;0.00;;2;33.00
Croissant;0;14;30.80;2.33 %;;4;8.80;;10;22.00
Espresso Tonic;0;7;29.40;2.23 %;;1;4.20;;6;25.20
Caffé Latte;0;8;28.80;2.18 %;;2;7.20;;6;21.60
Sandwich Vegetarisch;0;6;28.80;2.18 %;;1;4.80;;5;24.00
Pain au Chocolat;0;10;28.00;2.12 %;;2;5.60;;8;22.40
Coldbrew;0;7;26.60;2.02 %;;0;0.00;;7;26.60
Cappuccino groß;0;6;25.20;1.91 %;;1;4.20;;5;21.00
EL MORENO 250g;0;2;25.00;1.89 %;;0;0.00;;2;25.00
Kuchen Maple Carrot;0;5;24.00;1.82 %;;1;4.80;;4;19.20
Lemon Poppy Cake;0;6;22.80;1.73 %;;1;3.80;;5;19.00
Hafer Caffè Latte;0;6;21.60;1.64 %;;0;0.00;;6;21.60
Filterkaffee;0;8;20.80;1.58 %;;0;0.00;;8;20.80
CUERPO 250g;0;2;19.00;1.44 %;;0;0.00;;2;19.00
Hafer Flat White;0;5;19.00;1.44 %;;2;7.60;;3;11.40
Espresso Doppio;0;7;18.20;1.38 %;;0;0.00;;7;18.20
Cookie;0;9;18.00;1.36 %;;0;0.00;;9;18.00
Sandwich Vegan;0;4;18.00;1.36 %;;0;0.00;;4;18.00
Espresso Single;0;7;15.40;1.17 %;;0;0.00;;7;15.40
Granola;0;3;12.60;0.95 %;;0;0.00;;3;12.60
ReCup ausgeben ´;0;12;12.00;0.91 %;;0;0.00;;12;12.00
Hafer Kakao;0;3;12.00;0.91 %;;0;0.00;;3;12.00
Espresso Doppio Macchiato;0;4;12.00;0.91 %;;0;0.00;;4;12.00
Caffé Latte doppelt;0;3;12.00;0.91 %;;0;0.00;;3;12.00
Apfelschorle;0;4;10.50;0.80 %;;0;0.00;;4;10.50
Espresso Macchiato;0;4;9.60;0.73 %;;1;2.40;;3;7.20
Americano;0;3;8.40;0.64 %;;0;0.00;;3;8.40
Hafer Caffè Latte doppelt;0;2;8.00;0.61 %;;0;0.00;;2;8.00
Americano groß;0;2;6.00;0.45 %;;0;0.00;;2;6.00
