;von;bis;;
Datum:;24.05.2022;24.05.2022;;
Enthalt Z;705;705;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1736.70;99.25 %;
Auslagen;;;12.00;0.69 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.10;0.06 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;12.00;0.69 %;
19.0%;;;538.80;30.81 %;
7.0%;;;1197.90;68.50 %;
Total;;;1748.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;12.00;0.76 %;
19.0%;;;452.74;28.57 %;
7.0%;;;1119.70;70.67 %;
Total;;;1584.44;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;86.06;52.39 %;
7.0%;;;78.20;47.61 %;
Total;;;164.26;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;143;784.00;44.83 %;0.00
Maestro;;69;592.30;33.87 %;1.10
MasterCard;;11;56.70;3.24 %;0.00
Mehrzweckgutschein;;2;0.00;0.00 %;0.00
Visa;;17;211.80;12.11 %;0.00
Visa Electron;;13;103.90;5.94 %;0.00
Total;;255;1748.70;100.00 %;1.10
;;;;
Umsatzdetails;;;;;
Emanuel;;;250.80;14.44 %;0.00
Laura;;;37.20;2.14 %;0.50
Lena P.;;;478.20;27.53 %;0.60
Lora;;;970.50;55.88 %;0.00
Total;;;1736.70;100.00 %;1.10
;;;;
Stornos;;;;;
vertippt;;2;6.80;100.00 %;
Total;;2;6.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;2;4.30;58.90 %;
Staff Bottled Drinks;;1;3.00;41.10 %;
Total;;3;7.30;100.00 %;
;;;;
Tische;;;;;
Theke;;251;1748.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;396;1073.20;61.37 %;;1;3.80;;395;1069.40
Sonstiges;;24;378.00;21.62 %;;0;0.00;;24;378.00
Speisen;;88;297.50;17.01 %;;0;0.00;;88;297.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;158;469.40;26.84 %;;1;3.80;;157;465.60
Röstkaffee;;24;378.00;21.62 %;;0;0.00;;24;378.00
Hafer;;117;363.60;20.79 %;;0;0.00;;117;363.60
Speisen;;88;297.50;17.01 %;;0;0.00;;88;297.50
Kaffee;;77;143.40;8.20 %;;0;0.00;;77;143.40
Summer;;19;70.80;4.05 %;;0;0.00;;19;70.80
Non Kaffee;;25;26.00;1.49 %;;0;0.00;;25;26.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;51;173.40;9.92 %;;0;0.00;;51;173.40
Hafer Cappuccino;0;35;119.00;6.81 %;;0;0.00;;35;119.00
Flat White auf Eis;0;23;96.60;5.52 %;;0;0.00;;23;96.60
Hafer Flat White auf Eis;0;21;88.20;5.04 %;;0;0.00;;21;88.20
Hafer Flat White;0;18;68.40;3.91 %;;0;0.00;;18;68.40
AYLA BOMBE 250g;0;4;62.00;3.55 %;;0;0.00;;4;62.00
Flat White;0;16;60.80;3.48 %;;1;3.80;;15;57.00
Banana Bread;0;16;60.80;3.48 %;;0;0.00;;16;60.80
GERMAN CARRANZA 250g;0;2;57.00;3.26 %;;0;0.00;;2;57.00
Cappuccino groß;0;13;54.60;3.12 %;;0;0.00;;13;54.60
Hafer Cappuccino Groß;0;12;50.40;2.88 %;;0;0.00;;12;50.40
Americano;0;16;44.80;2.56 %;;0;0.00;;16;44.80
Kuchen Maple Carrot;0;9;43.20;2.47 %;;0;0.00;;9;43.20
Kanelbullar;0;13;41.60;2.38 %;;0;0.00;;13;41.60
Nitro Americano;0;11;39.60;2.26 %;;0;0.00;;11;39.60
Caffé Latte;0;11;39.60;2.26 %;;0;0.00;;11;39.60
CUERPO 250g;0;4;38.00;2.17 %;;0;0.00;;4;38.00
EL MORENO 250g;0;3;37.50;2.14 %;;0;0.00;;3;37.50
MUYU 500g;0;2;36.00;2.06 %;;0;0.00;;2;36.00
CUERPO 1000g;0;1;34.00;1.94 %;;0;0.00;;1;34.00
DON MARTIN 250g;0;2;33.00;1.89 %;;0;0.00;;2;33.00
Sandwich Vegetarisch;0;7;30.00;1.72 %;;0;0.00;;7;30.00
ReCup ausgeben ´;0;25;25.00;1.43 %;;0;0.00;;25;25.00
Pain au Chocolat;0;9;24.50;1.40 %;;0;0.00;;9;24.50
Croissant;0;11;24.20;1.38 %;;0;0.00;;11;24.20
Filterkaffee;0;9;23.40;1.34 %;;0;0.00;;9;23.40
Cold Brew;0;6;22.80;1.30 %;;0;0.00;;6;22.80
EL CARMEN Decaf 500g;0;1;22.00;1.26 %;;0;0.00;;1;22.00
Cookie;0;11;22.00;1.26 %;;0;0.00;;11;22.00
Apfelschorle;0;8;21.00;1.20 %;;0;0.00;;8;21.00
Sandwich Vegan;0;4;19.20;1.10 %;;0;0.00;;4;19.20
MUYU 250g;0;2;19.00;1.09 %;;0;0.00;;2;19.00
Espresso Single;0;8;17.60;1.01 %;;0;0.00;;8;17.60
Granola;0;4;16.80;0.96 %;;0;0.00;;4;16.80
Hafer Caffè Latte doppelt;0;4;16.00;0.91 %;;0;0.00;;4;16.00
Lemon Poppy Cake;0;4;15.20;0.87 %;;0;0.00;;4;15.20
CHAKRA WARMI 250g;0;1;14.50;0.83 %;;0;0.00;;1;14.50
Espresso Macchiato;0;6;14.40;0.82 %;;0;0.00;;6;14.40
ReCup ausgeben;0;14;14.00;0.80 %;;0;0.00;;14;14.00
ReCup ausgeben*;0;14;14.00;0.80 %;;0;0.00;;14;14.00
MUYU BOTTLE 365;0;1;13.50;0.77 %;;0;0.00;;1;13.50
Espresso Doppio;0;5;13.00;0.74 %;;0;0.00;;5;13.00
Kakao;0;3;12.00;0.69 %;;0;0.00;;3;12.00
Americano groß;0;4;12.00;0.69 %;;0;0.00;;4;12.00
Caffé Latte doppelt;0;3;12.00;0.69 %;;0;0.00;;3;12.00
EL CARMEN Decaf 250g;0;1;11.50;0.66 %;;0;0.00;;1;11.50
Hafer Kinder Kakao;0;3;9.60;0.55 %;;0;0.00;;3;9.60
Hand Brew;0;2;9.20;0.53 %;;0;0.00;;2;9.20
Espresso Tonic;0;2;8.40;0.48 %;;0;0.00;;2;8.40
MIKOLAJ Limonade;0;2;7.60;0.43 %;;0;0.00;;2;7.60
Kinder Kakao;0;2;6.40;0.37 %;;0;0.00;;2;6.40
Espresso Doppio Macchiato;0;2;6.00;0.34 %;;0;0.00;;2;6.00
Lemon Verbena Tea;0;1;4.60;0.26 %;;0;0.00;;1;4.60
Hafer Caffè Latte;0;1;3.60;0.21 %;;0;0.00;;1;3.60
Mineralwasser Sprudel;0;1;2.80;0.16 %;;0;0.00;;1;2.80
Hafer Espresso Macchiato;0;1;2.40;0.14 %;;0;0.00;;1;2.40
Milchschaum Kids;0;2;1.00;0.06 %;;0;0.00;;2;1.00
ReCup annehmen*;0;8;-8.00;-0.46 %;;0;0.00;;8;-8.00
ReCup annehmen;0;11;-11.00;-0.63 %;;0;0.00;;11;-11.00
ReCup annehmen ´;0;11;-11.00;-0.63 %;;0;0.00;;11;-11.00
ReCup annehmen **;0;11;-11.00;-0.63 %;;0;0.00;;11;-11.00
;;;;
