;von;bis;;
Datum:;25.05.2022;25.05.2022;;
Enthalt Z;706;706;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1865.20;98.15 %;
Auslagen;;;32.00;1.68 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.10;0.16 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;32.00;1.69 %;
19.0%;;;593.80;31.30 %;
7.0%;;;1271.40;67.01 %;
Total;;;1897.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;32.00;1.86 %;
19.0%;;;498.98;29.02 %;
7.0%;;;1188.35;69.12 %;
Total;;;1719.33;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;94.82;53.31 %;
7.0%;;;83.05;46.69 %;
Total;;;177.87;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;144;877.60;46.26 %;0.00
Maestro;;50;415.60;21.91 %;1.20
MasterCard;;14;140.50;7.41 %;0.00
Mehrzweckgutschein;;3;19.60;1.03 %;0.00
Visa;;24;216.20;11.40 %;0.00
Visa Electron;;18;227.70;12.00 %;1.90
Total;;253;1897.20;100.00 %;3.10
;;;;
Umsatzdetails;;;;;
Anna;;;371.50;19.92 %;0.00
Artyom;;;250.00;13.40 %;0.00
Emanuel;;;669.70;35.90 %;1.20
Lora;;;63.80;3.42 %;0.00
Sofia;;;510.20;27.35 %;1.90
Total;;;1865.20;100.00 %;3.10
;;;;
Stornos;;;;;
vertippt;;1;50.00;100.00 %;
Total;;1;50.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;3;6.50;100.00 %;
Total;;3;6.50;100.00 %;
;;;;
Tische;;;;;
Theke;;253;1897.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;391;1077.70;56.80 %;;23;79.80;;368;997.90
Sonstiges;;41;531.00;27.99 %;;0;0.00;;41;531.00
Speisen;;86;288.50;15.21 %;;7;24.20;;79;264.30
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;36;471.00;24.83 %;;0;0.00;;36;471.00
Milchmischgetränke;;152;440.10;23.20 %;;10;32.80;;142;407.30
Hafer;;115;349.60;18.43 %;;9;33.00;;106;316.60
Speisen;;86;288.50;15.21 %;;7;24.20;;79;264.30
Kaffee;;79;171.60;9.04 %;;3;10.20;;76;161.40
Summer;;22;85.40;4.50 %;;1;3.80;;21;81.60
Gutscheine;;3;35.00;1.84 %;;0;0.00;;3;35.00
Non Kaffee;;23;31.00;1.63 %;;0;0.00;;23;31.00
Equipment_;;2;25.00;1.32 %;;0;0.00;;2;25.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;59;198.90;10.48 %;;7;23.80;;52;175.10
Hafer Flat White auf Eis;0;26;109.20;5.76 %;;1;4.20;;25;105.00
Hafer Cappuccino;0;30;102.00;5.38 %;;4;13.60;;26;88.40
DON MARTIN 250g;0;6;99.00;5.22 %;;0;0.00;;6;99.00
AYLA BOMBE 250g;0;5;77.50;4.08 %;;0;0.00;;5;77.50
EL MORENO 250g;0;6;75.00;3.95 %;;0;0.00;;6;75.00
Flat White auf Eis;0;17;71.40;3.76 %;;0;0.00;;17;71.40
Flat White;0;16;60.80;3.20 %;;1;3.80;;15;57.00
CUERPO 250g;0;6;57.00;3.00 %;;0;0.00;;6;57.00
Kanelbullar;0;16;51.20;2.70 %;;3;9.60;;13;41.60
Hafer Cappuccino Groß;0;12;50.40;2.66 %;;1;4.20;;11;46.20
MUYU 250g;0;5;47.50;2.50 %;;0;0.00;;5;47.50
