;von;bis;;
Datum:;27.06.2022;27.06.2022;;
Enthalt Z;740;740;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1602.20;98.07 %;
Auslagen;;;28.00;1.71 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.50;0.21 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;28.00;1.72 %;
19.0%;;;573.40;35.17 %;
7.0%;;;1028.80;63.11 %;
Total;;;1630.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;28.00;1.90 %;
19.0%;;;481.86;32.75 %;
7.0%;;;961.56;65.35 %;
Total;;;1471.42;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;91.54;57.65 %;
7.0%;;;67.24;42.35 %;
Total;;;158.78;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;148;744.90;45.69 %;0.00
Maestro;;54;351.80;21.58 %;1.50
MasterCard;;12;82.50;5.06 %;0.00
Mehrzweckgutschein;;1;7.20;0.44 %;0.00
Visa;;24;286.00;17.54 %;0.00
Visa Electron;;13;157.80;9.68 %;2.00
Total;;252;1630.20;100.00 %;3.50
;;;;
Umsatzdetails;;;;;
Jairo;;;311.90;19.47 %;0.00
Lora;;;687.30;42.90 %;0.00
Moritz;;;278.40;17.38 %;2.00
Robin;;;324.60;20.26 %;1.50
Total;;;1602.20;100.00 %;3.50
;;;;
Stornos;;;;;
Kommunikationsfehler;;3;2.60;18.06 %;
Training/Testbuchung;;2;8.00;55.56 %;
vertippt;;1;3.80;26.39 %;
Total;;6;14.40;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;1.20;100.00 %;
Total;;1;1.20;100.00 %;
;;;;
Tische;;;;;
Theke;;248;1630.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;368;1038.40;63.70 %;;45;162.00;;323;876.40
Speisen;;91;306.80;18.82 %;;14;44.20;;77;262.60
Sonstiges;;23;285.00;17.48 %;;0;0.00;;23;285.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;175;484.80;29.74 %;;25;90.60;;150;394.20
Hafer;;102;330.40;20.27 %;;13;48.80;;89;281.60
Speisen;;91;306.80;18.82 %;;14;44.20;;77;262.60
Röstkaffee;;22;275.00;16.87 %;;0;0.00;;22;275.00
Kaffee;;58;116.00;7.12 %;;4;10.40;;54;105.60
Summer;;17;63.60;3.90 %;;1;3.80;;16;59.80
Non Kaffee;;16;43.60;2.67 %;;2;8.40;;14;35.20
Gutscheine;;1;10.00;0.61 %;;0;0.00;;1;10.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;53;180.20;11.05 %;;16;54.40;;37;125.80
Hafer Cappuccino;0;34;115.60;7.09 %;;5;17.00;;29;98.60
MUYU 250g;0;9;85.50;5.24 %;;0;0.00;;9;85.50
Cappuccino groß;0;20;84.00;5.15 %;;3;12.60;;17;71.40
Flat White;0;18;68.40;4.20 %;;4;15.20;;14;53.20
Banana Bread;0;18;68.40;4.20 %;;2;7.60;;16;60.80
Hafer Flat White auf Eis;0;16;67.20;4.12 %;;3;12.60;;13;54.60
Flat White auf Eis;0;14;58.80;3.61 %;;2;8.40;;12;50.40
Hafer Cappuccino Groß;0;13;54.60;3.35 %;;3;12.60;;10;42.00
MUYU 500g;0;3;54.00;3.31 %;;0;0.00;;3;54.00
Caffé Latte;0;14;50.40;3.09 %;;0;0.00;;14;50.40
Kanelbullar;0;14;44.80;2.75 %;;2;6.40;;12;38.40
Hafer Flat White;0;10;38.00;2.33 %;;0;0.00;;10;38.00
IZUBA 250g;0;3;37.50;2.30 %;;0;0.00;;3;37.50
Sandwich Vegetarisch;0;8;37.20;2.28 %;;1;4.80;;7;32.40
Hafer Caffè Latte;0;10;36.00;2.21 %;;1;3.60;;9;32.40
Croissant;0;16;35.20;2.16 %;;5;11.00;;11;24.20
Filterkaffee;0;13;33.80;2.07 %;;0;0.00;;13;33.80
Pain au Chocolat;0;12;33.60;2.06 %;;1;2.80;;11;30.80
DON MARTIN 250g;0;2;33.00;2.02 %;;0;0.00;;2;33.00
Nitro Americano;0;9;32.40;1.99 %;;0;0.00;;9;32.40
Caffé Latte doppelt;0;8;32.00;1.96 %;;0;0.00;;8;32.00
Kuchen Maple Carrot;0;6;28.80;1.77 %;;2;9.60;;4;19.20
ReCup ausgeben ´;0;27;27.00;1.66 %;;0;0.00;;27;27.00
CABALLERO 250g;0;2;25.00;1.53 %;;0;0.00;;2;25.00
Cold Brew;0;6;22.80;1.40 %;;1;3.80;;5;19.00
Apfelschorle;0;7;21.00;1.29 %;;0;0.00;;7;21.00
Granola;0;5;21.00;1.29 %;;0;0.00;;5;21.00
Americano;0;7;19.60;1.20 %;;2;5.60;;5;14.00
CUERPO 500g;0;1;18.00;1.10 %;;0;0.00;;1;18.00
Espresso Doppio Macchiato;0;5;15.00;0.92 %;;0;0.00;;5;15.00
Sandwich Vegan;0;3;14.40;0.88 %;;0;0.00;;3;14.40
Espresso Single;0;6;13.20;0.81 %;;0;0.00;;6;13.20
EL MORENO 250g;0;1;12.50;0.77 %;;0;0.00;;1;12.50
ReCup ausgeben*;0;12;12.00;0.74 %;;0;0.00;;12;12.00
Cookie;0;6;12.00;0.74 %;;1;2.00;;5;10.00
Espresso Macchiato;0;5;12.00;0.74 %;;2;4.80;;3;7.20
MIKOLAJ Limonade;0;3;11.40;0.70 %;;1;3.80;;2;7.60
Lemon Poppy Cake;0;3;11.40;0.70 %;;0;0.00;;3;11.40
Espresso Doppio;0;4;10.40;0.64 %;;0;0.00;;4;10.40
10€ Gutschein;0;1;10.00;0.61 %;;0;0.00;;1;10.00
CUERPO 250g;0;1;9.50;0.58 %;;0;0.00;;1;9.50
Green Tea;0;2;9.20;0.56 %;;1;4.60;;1;4.60
ReCup ausgeben;0;9;9.00;0.55 %;;0;0.00;;9;9.00
Americano groß;0;3;9.00;0.55 %;;0;0.00;;3;9.00
Espresso Tonic;0;2;8.40;0.52 %;;0;0.00;;2;8.40
Hafer Caffè Latte doppelt;0;2;8.00;0.49 %;;0;0.00;;2;8.00
Kakao;0;1;4.00;0.25 %;;0;0.00;;1;4.00
Hafer Espresso Macchiato doppelt;0;1;3.00;0.18 %;;1;3.00;;0;0.00
Milchschaum Kids;0;4;2.00;0.12 %;;0;0.00;;4;2.00
ReCup annehmen*;0;4;-4.00;-0.25 %;;0;0.00;;4;-4.00
ReCup annehmen;0;6;-6.00;-0.37 %;;0;0.00;;6;-6.00
ReCup annehmen ´;0;20;-20.00;-1.23 %;;0;0.00;;20;-20.00
;;;;
