;von;bis;;
Datum:;15.09.2022;15.09.2022;;
Enthalt Z;820;820;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1678.83;98.60 %;
Auslagen;;;22.00;1.29 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.80;0.11 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;22.00;1.29 %;
19.0%;;;645.93;37.98 %;
7.0%;;;1032.90;60.73 %;
Total;;;1700.83;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;22.00;1.44 %;
19.0%;;;542.76;35.47 %;
7.0%;;;965.46;63.09 %;
Total;;;1530.22;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;103.17;60.47 %;
7.0%;;;67.44;39.53 %;
Total;;;170.61;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;143;808.73;47.55 %;0.00
Maestro;;39;511.80;30.09 %;1.00
MasterCard;;13;98.00;5.76 %;0.00
Visa;;23;173.10;10.18 %;0.00
Visa Electron;;8;109.20;6.42 %;0.80
Total;;226;1700.83;100.00 %;1.80
;;;;
Umsatzdetails;;;;;
Anna;;;330.30;19.67 %;0.00
Annacotta;;;558.83;33.29 %;0.00
Artyom;;;21.80;1.30 %;0.00
Karolina;;;563.80;33.58 %;1.80
Mik;;;204.10;12.16 %;0.00
Total;;;1678.83;100.00 %;1.80
;;;;
Stornos;;;;;
vertippt;;1;3.80;100.00 %;
Total;;1;3.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Equipment;;1;0.87;42.03 %;
Staff Beans & Food 25%;;1;1.20;57.97 %;
Total;;2;2.07;100.00 %;
;;;;
Tische;;;;;
Theke;;222;1700.83;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;329;981.90;57.73 %;;104;356.20;;225;625.70
Sonstiges;;30;417.33;24.54 %;;5;80.00;;25;337.33
Speisen;;88;301.60;17.73 %;;29;99.40;;59;202.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;165;523.20;30.76 %;;56;199.00;;109;324.20
Röstkaffee;;26;399.50;23.49 %;;5;80.00;;21;319.50
Speisen;;88;301.60;17.73 %;;29;99.40;;59;202.20
Hafer;;83;251.40;14.78 %;;27;100.60;;56;150.80
Kaffee;;66;154.20;9.07 %;;18;45.00;;48;109.20
Non Kaffee;;11;37.30;2.19 %;;2;7.40;;9;29.90
Summer;;4;15.80;0.93 %;;1;4.20;;3;11.60
Gutscheine;;1;10.00;0.59 %;;0;0.00;;1;10.00
Equipment_;;3;7.83;0.46 %;;0;0.00;;3;7.83
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;68;231.20;13.59 %;;29;98.60;;39;132.60
RUGALI 250g;0;7;122.50;7.20 %;;0;0.00;;7;122.50
Flat White;0;30;114.00;6.70 %;;8;30.40;;22;83.60
Hafer Cappuccino;0;33;112.20;6.60 %;;12;40.80;;21;71.40
Cappuccino groß;0;22;92.40;5.43 %;;8;33.60;;14;58.80
Kanelbullar;0;18;57.60;3.39 %;;7;22.40;;11;35.20
Banana Bread;0;15;57.00;3.35 %;;2;7.60;;13;49.40
ATSABE 250g;0;3;40.50;2.38 %;;0;0.00;;3;40.50
CUERPO 250g;0;4;38.00;2.23 %;;0;0.00;;4;38.00
Hafer Flat White;0;10;38.00;2.23 %;;4;15.20;;6;22.80
CUERPO 500g;0;2;36.00;2.12 %;;0;0.00;;2;36.00
Caffé Latte;0;10;36.00;2.12 %;;5;18.00;;5;18.00
