;von;bis;;
Datum:;29.09.2022;29.09.2022;;
Enthalt Z;834;834;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1508.70;99.54 %;
Auslagen;;;7.00;0.46 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;7.00;0.46 %;
19.0%;;;778.40;51.36 %;
7.0%;;;730.30;48.18 %;
Total;;;1515.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;7.00;0.52 %;
19.0%;;;654.13;48.68 %;
7.0%;;;682.53;50.80 %;
Total;;;1343.66;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;124.27;72.23 %;
7.0%;;;47.77;27.77 %;
Total;;;172.04;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;140;797.70;52.63 %;0.00
Maestro;;39;330.50;21.81 %;0.00
MasterCard;;17;161.40;10.65 %;0.00
Visa;;16;156.90;10.35 %;0.00
Visa Electron;;9;69.20;4.57 %;0.00
Total;;221;1515.70;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;114.60;7.60 %;0.00
Artyom;;;468.70;31.07 %;0.00
Lena R.;;;523.90;34.73 %;0.00
Mik;;;151.80;10.06 %;0.00
Robin;;;249.70;16.55 %;0.00
Total;;;1508.70;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;12;51.80;100.00 %;
Total;;12;51.80;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;2;5.80;100.00 %;
Total;;2;5.80;100.00 %;
;;;;
Tische;;;;;
Theke;;219;1515.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;378;954.00;62.94 %;;139;477.20;;239;476.80
Speisen;;85;291.70;19.25 %;;36;124.20;;49;167.50
Sonstiges;;15;270.00;17.81 %;;0;0.00;;15;270.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;171;422.40;27.87 %;;60;223.00;;111;199.40
Hafer;;114;334.70;22.08 %;;43;151.80;;71;182.90
Speisen;;85;291.70;19.25 %;;36;124.20;;49;167.50
Röstkaffee;;14;235.00;15.50 %;;0;0.00;;14;235.00
Kaffee;;76;160.40;10.58 %;;26;76.00;;50;84.40
Equipment_;;1;35.00;2.31 %;;0;0.00;;1;35.00
Non Kaffee;;16;32.30;2.13 %;;10;26.40;;6;5.90
Summer;;1;4.20;0.28 %;;0;0.00;;1;4.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Cappuccino;0;48;163.20;10.77 %;;23;78.20;;25;85.00
Cappuccino;0;48;163.20;10.77 %;;20;68.00;;28;95.20
Banana Bread;0;22;83.60;5.52 %;;9;34.20;;13;49.40
Cappuccino groß;0;19;79.80;5.26 %;;14;58.80;;5;21.00
Caffé Latte;0;21;75.60;4.99 %;;13;46.80;;8;28.80
Flat White;0;18;68.40;4.51 %;;9;34.20;;9;34.20
Hafer Flat White;0;17;62.70;4.14 %;;6;22.80;;11;39.90
Hafer Cappuccino Groß;0;13;54.60;3.60 %;;9;37.80;;4;16.80
EL MORENO 250g;0;4;50.00;3.30 %;;0;0.00;;4;50.00
Kanelbullar;0;14;44.00;2.90 %;;9;28.80;;5;15.20
GERMAN CARRANZA 250g;0;2;39.00;2.57 %;;0;0.00;;2;39.00
Hand Brew;0;8;36.80;2.43 %;;4;18.40;;4;18.40
CUERPO 500g;0;2;36.00;2.38 %;;0;0.00;;2;36.00
Croissant;0;15;36.00;2.38 %;;6;14.40;;9;21.60
Pain au Chocolat;0;13;35.70;2.36 %;;4;11.20;;9;24.50
TASSE L;0;1;35.00;2.31 %;;0;0.00;;1;35.00
CUERPO 1000g;0;1;34.00;2.24 %;;0;0.00;;1;34.00
MUYU 1000g;0;1;34.00;2.24 %;;0;0.00;;1;34.00
Filterkaffee;0;12;31.20;2.06 %;;6;15.60;;6;15.60
MUYU 250g;0;3;28.50;1.88 %;;0;0.00;;3;28.50
ReCup ausgeben ´;0;28;28.00;1.85 %;;0;0.00;;28;28.00
Americano;0;10;28.00;1.85 %;;5;14.00;;5;14.00
