;von;bis;;
Datum:;03.10.2022;03.10.2022;;
Enthalt Z;838;838;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2150.30;96.50 %;
Auslagen;;;75.00;3.37 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.00;0.13 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;75.00;3.37 %;
19.0%;;;956.20;42.97 %;
7.0%;;;1194.10;53.66 %;
Total;;;2225.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;75.00;3.76 %;
19.0%;;;803.46;40.28 %;
7.0%;;;1116.03;55.96 %;
Total;;;1994.49;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;152.74;66.18 %;
7.0%;;;78.07;33.82 %;
Total;;;230.81;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;161;882.50;39.66 %;0.00
Maestro;;78;757.10;34.02 %;2.40
MasterCard;;16;171.00;7.68 %;0.00
Mehrzweckgutschein;;1;5.00;0.22 %;0.00
Visa;;29;274.60;12.34 %;0.60
Visa Electron;;14;135.10;6.07 %;0.00
Total;;299;2225.30;100.00 %;3.00
;;;;
Umsatzdetails;;;;;
Annacotta;;;469.70;21.84 %;0.00
Artyom;;;267.90;12.46 %;0.00
Karolina;;;1081.40;50.29 %;3.00
Lena P.;;;331.30;15.41 %;0.00
Total;;;2150.30;100.00 %;3.00
;;;;
Stornos;;;;;
vertippt;;3;9.80;35.00 %;
Änderung durch Gast;;4;18.20;65.00 %;
Total;;7;28.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;3.30;100.00 %;
Total;;1;3.30;100.00 %;
;;;;
Tische;;;;;
Theke;;293;2186.80;98.27 %;
Tisch 7;;6;38.50;1.73 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;735;1524.60;68.51 %;;103;326.10;;632;1198.50
Speisen;;145;496.00;22.29 %;;19;71.20;;126;424.80
Sonstiges;;15;204.70;9.20 %;;1;17.50;;14;187.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;333;608.20;27.33 %;;38;118.80;;295;489.40
Speisen;;145;496.00;22.29 %;;19;71.20;;126;424.80
Hafer;;186;492.40;22.13 %;;26;94.80;;160;397.60
Kaffee;;130;284.40;12.78 %;;28;78.20;;102;206.20
Röstkaffee;;15;204.70;9.20 %;;1;17.50;;14;187.20
Non Kaffee;;57;86.00;3.86 %;;10;30.70;;47;55.30
Summer;;9;33.60;1.51 %;;1;3.60;;8;30.00
Decaf;;20;20.00;0.90 %;;0;0.00;;20;20.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;69;234.60;10.54 %;;12;40.80;;57;193.80
Hafer Cappuccino;0;55;187.00;8.40 %;;13;44.20;;42;142.80
Flat White;0;30;114.00;5.12 %;;11;41.80;;19;72.20
Banana Bread;0;29;110.20;4.95 %;;11;41.80;;18;68.40
Hafer Flat White;0;28;106.40;4.78 %;;4;15.20;;24;91.20
Kanelbullar;0;31;99.20;4.46 %;;0;0.00;;31;99.20
ReCup ausgeben ´;0;97;97.00;4.36 %;;0;0.00;;97;97.00
Hafer Cappuccino Groß;0;22;92.40;4.15 %;;2;8.40;;20;84.00
Caffé Latte;0;22;79.20;3.56 %;;5;18.00;;17;61.20
Filterkaffee;0;29;75.40;3.39 %;;11;28.60;;18;46.80
Pain au Chocolat;0;26;72.80;3.27 %;;2;5.60;;24;67.20
Cappuccino groß;0;17;71.40;3.21 %;;2;8.40;;15;63.00
Croissant;0;25;60.00;2.70 %;;0;0.00;;25;60.00
Americano;0;19;53.20;2.39 %;;5;14.00;;14;39.20
