;von;bis;;
Datum:;16.10.2022;16.10.2022;;
Enthalt Z;851;851;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2382.60;98.24 %;
Auslagen;;;39.00;1.61 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.60;0.15 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;39.00;1.61 %;
19.0%;;;1242.46;51.31 %;
7.0%;;;1140.14;47.08 %;
Total;;;2421.60;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;39.00;1.81 %;
19.0%;;;1044.09;48.59 %;
7.0%;;;1065.69;49.60 %;
Total;;;2148.78;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;198.37;72.71 %;
7.0%;;;74.45;27.29 %;
Total;;;272.82;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;164;995.90;41.13 %;0.00
Maestro;;79;773.10;31.93 %;3.00
MasterCard;;18;184.20;7.61 %;0.00
Mehrzweckgutschein;;3;20.00;0.83 %;0.00
Visa;;39;311.10;12.85 %;0.00
Visa Electron;;14;137.30;5.67 %;0.60
Total;;317;2421.60;100.00 %;3.60
;;;;
Umsatzdetails;;;;;
Annacotta;;;458.50;19.24 %;0.60
Artyom;;;245.30;10.30 %;0.00
Karolina;;;779.30;32.71 %;1.20
Lena P.;;;620.90;26.06 %;0.00
Slobo;;;278.60;11.69 %;1.80
Total;;;2382.60;100.00 %;3.60
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;6.30;100.00 %;
Total;;1;6.30;100.00 %;
;;;;
Tische;;;;;
Theke;;315;2421.60;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;621;1625.70;67.13 %;;229;782.20;;392;843.50
Speisen;;142;529.40;21.86 %;;66;248.20;;76;281.20
Sonstiges;;23;266.50;11.01 %;;3;32.50;;20;234.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer;;238;654.00;27.01 %;;94;337.60;;144;316.40
Milchmischgetränke;;226;650.00;26.84 %;;70;260.00;;156;390.00
Speisen;;142;529.40;21.86 %;;66;248.20;;76;281.20
Röstkaffee;;15;185.64;7.67 %;;2;23.00;;13;162.64
Kaffee;;84;153.20;6.33 %;;33;82.80;;51;70.40
Summer;;22;85.20;3.52 %;;15;57.60;;7;27.60
Non Kaffee;;51;83.30;3.44 %;;17;44.20;;34;39.10
Equipment_;;5;50.86;2.10 %;;1;9.50;;4;41.36
Gutscheine;;3;30.00;1.24 %;;0;0.00;;3;30.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;65;221.00;9.13 %;;25;85.00;;40;136.00
Hafer Cappuccino;0;54;183.60;7.58 %;;24;81.60;;30;102.00
Cappuccino groß;0;33;138.60;5.72 %;;14;58.80;;19;79.80
Hafer Cappuccino Groß;0;33;138.60;5.72 %;;17;71.40;;16;67.20
Hafer Flat White;0;33;125.40;5.18 %;;18;68.40;;15;57.00
Banana Bread;0;29;110.20;4.55 %;;14;53.20;;15;57.00
Kanelbullar;0;31;99.20;4.10 %;;15;48.00;;16;51.20
Flat White;0;26;98.80;4.08 %;;12;45.60;;14;53.20
Caffé Latte;0;23;82.80;3.42 %;;8;28.80;;15;54.00
Kuchen Maple Carrot;0;15;72.00;2.97 %;;7;33.60;;8;38.40
Hafer Caffè Latte doppelt;0;16;64.00;2.64 %;;9;36.00;;7;28.00
Hafer Flat White auf Eis;0;15;63.00;2.60 %;;7;29.40;;8;33.60
