;von;bis;;
Datum:;15.12.2022;15.12.2022;;
Enthalt Z;915;915;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1858.40;99.46 %;
Auslagen;;;10.00;0.54 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;10.00;0.54 %;
19.0%;;;563.20;30.14 %;
7.0%;;;1295.20;69.32 %;
Total;;;1868.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;10.00;0.59 %;
19.0%;;;473.36;27.95 %;
7.0%;;;1210.47;71.46 %;
Total;;;1693.83;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;89.84;51.46 %;
7.0%;;;84.73;48.54 %;
Total;;;174.57;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;86;568.60;30.43 %;0.00
Maestro;;60;892.70;47.78 %;0.00
MasterCard;;8;113.20;6.06 %;0.00
Mehrzweckgutschein;;3;18.80;1.01 %;0.00
Visa;;12;136.60;7.31 %;0.00
Visa Electron;;10;138.50;7.41 %;0.00
Total;;179;1868.40;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;596.80;32.11 %;0.00
Jairo;;;14.50;0.78 %;0.00
Robin;;;210.10;11.31 %;0.00
Slobo;;;1037.00;55.80 %;0.00
Total;;;1858.40;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff Beans & Food 25%;;1;0.70;100.00 %;
Total;;1;0.70;100.00 %;
;;;;
Tische;;;;;
Theke;;178;1868.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;63;981.50;52.53 %;;2;21.00;;61;960.50
Getränke;;220;655.00;35.06 %;;99;358.20;;121;296.80
Speisen;;70;231.90;12.41 %;;36;122.60;;34;109.30
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;61;930.00;49.78 %;;2;21.00;;59;909.00
Hafer;;84;260.00;13.92 %;;34;130.80;;50;129.20
Milchmischgetränke;;79;244.80;13.10 %;;31;119.00;;48;125.80
Speisen;;70;231.90;12.41 %;;36;122.60;;34;109.30
Kaffee;;44;113.20;6.06 %;;24;73.40;;20;39.80
Equipment_;;2;51.50;2.76 %;;0;0.00;;2;51.50
Non Kaffee;;11;28.40;1.52 %;;8;26.40;;3;2.00
Specials;;2;8.60;0.46 %;;2;8.60;;0;0.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
CUERPO 250g;0;12;126.00;6.74 %;;0;0.00;;12;126.00
MUYU 500g;0;6;120.00;6.42 %;;0;0.00;;6;120.00
Hafer Cappuccino;0;32;115.20;6.17 %;;17;61.20;;15;54.00
Cappuccino;0;32;115.20;6.17 %;;16;57.60;;16;57.60
MUYU 250g;0;8;84.00;4.50 %;;0;0.00;;8;84.00
CUERPO 500g;0;4;80.00;4.28 %;;0;0.00;;4;80.00
CUERPO 1000g;0;2;72.00;3.85 %;;0;0.00;;2;72.00
MUYU 1000g;0;2;72.00;3.85 %;;0;0.00;;2;72.00
LUIS ANIBAL;0;4;70.00;3.75 %;;0;0.00;;4;70.00
FAZENDA IP 250g;0;6;63.00;3.37 %;;2;21.00;;4;42.00
LOS PLACERES 250g;0;5;62.50;3.35 %;;0;0.00;;5;62.50
RUMUKIA 250g;0;4;54.00;2.89 %;;0;0.00;;4;54.00
L.A.C. Red;0;3;52.50;2.81 %;;0;0.00;;3;52.50
Cappuccino groß;0;11;46.20;2.47 %;;4;16.80;;7;29.40
