;von;bis;;
Datum:;23.05.2020;23.05.2020;;
Enthalt Z;15;17;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1683.90;97.86 %;
Auslagen;;;33.00;1.92 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.90;0.23 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;33.00;1.92 %;
19.0%;;;193.90;11.29 %;
7.0%;;;1490.00;86.78 %;
Total;;;1716.90;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;33.00;2.08 %;
19.0%;;;162.87;10.25 %;
7.0%;;;1392.38;87.67 %;
Total;;;1588.25;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;31.03;24.12 %;
7.0%;;;97.62;75.88 %;
Total;;;128.65;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;158;1106.40;64.44 %;0.00
Maestro;;24;330.50;19.25 %;2.60
MasterCard;;4;51.50;3.00 %;1.30
Mehrzweckgutschein;;4;14.50;0.84 %;0.00
Visa;;7;99.80;5.81 %;0.00
Visa Electron;;10;114.20;6.65 %;0.00
Total;;207;1716.90;100.00 %;3.90
;;;;
Umsatzdetails;;;;;
Karo;;;365.80;21.72 %;0.00
Martin;;;6.70;0.40 %;0.00
Robin;;;230.90;13.71 %;0.60
Sebastian;;;1080.50;64.17 %;3.30
Total;;;1683.90;100.00 %;3.90
;;;;
Stornos;;;;;
Kommunikationsfehler;;2;6.30;23.95 %;
Training/Testbuchung;;1;4.50;17.11 %;
vertippt;;3;15.50;58.94 %;
Total;;6;26.30;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;199;1649.70;96.09 %;
Tisch 2;;3;31.90;1.86 %;
Tisch 3;;2;14.00;0.82 %;
Tisch 32;;1;2.50;0.15 %;
Tisch 33;;1;7.60;0.44 %;
Tisch 34;;1;11.20;0.65 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;338;871.40;50.75 %;;0;0.00;;338;871.40
Sonstiges;;64;763.50;44.47 %;;0;0.00;;64;763.50
Speisen;;19;82.00;4.78 %;;0;0.00;;19;82.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;331;847.50;49.36 %;;0;0.00;;331;847.50
Röstkaffee;;63;753.50;43.89 %;;0;0.00;;63;753.50
Speisen;;19;82.00;4.78 %;;0;0.00;;19;82.00
Getränke ReCup;;7;23.90;1.39 %;;0;0.00;;7;23.90
Gutscheine;;1;10.00;0.58 %;;0;0.00;;1;10.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;96;307.20;17.89 %;;0;0.00;;96;307.20
Prima Estate 500g;0;7;126.00;7.34 %;;0;0.00;;7;126.00
Prima Estate 250g;0;12;114.00;6.64 %;;0;0.00;;12;114.00
Don Pasquale 250g;0;10;105.00;6.12 %;;0;0.00;;10;105.00
El Moreno 250g;0;9;103.50;6.03 %;;0;0.00;;9;103.50
Cappuccino groß;0;22;83.60;4.87 %;;0;0.00;;22;83.60
Flat White;0;20;76.00;4.43 %;;0;0.00;;20;76.00
Finca Isnul 250g;0;6;63.00;3.67 %;;0;0.00;;6;63.00
Caffé Latte klein;0;18;63.00;3.67 %;;0;0.00;;18;63.00
Lua Clara 250g;0;5;57.50;3.35 %;;0;0.00;;5;57.50
Bumbogo 250g;0;4;54.00;3.15 %;;0;0.00;;4;54.00
Hand Brew;0;11;49.50;2.88 %;;0;0.00;;11;49.50
ReCup ausgeben;0;48;48.00;2.80 %;;0;0.00;;48;48.00
Papakuchi 250g;0;5;47.50;2.77 %;;0;0.00;;5;47.50
Kakao;0;12;42.00;2.45 %;;0;0.00;;12;42.00
Espresso single;0;17;34.00;1.98 %;;0;0.00;;17;34.00
Espresso Macciato single;0;12;30.00;1.75 %;;0;0.00;;12;30.00
Caffé Latte groß;0;6;22.80;1.33 %;;0;0.00;;6;22.80
Café Crème klein;0;9;22.50;1.31 %;;0;0.00;;9;22.50
Avocado XUMUS;0;3;22.50;1.31 %;;0;0.00;;3;22.50
Filterkaffee;0;9;22.50;1.31 %;;0;0.00;;9;22.50
El Moreno 500g;0;1;22.00;1.28 %;;0;0.00;;1;22.00
El Carmen Decaf 250g;0;2;21.00;1.22 %;;0;0.00;;2;21.00
Finca Isnul 500g;0;1;20.00;1.16 %;;0;0.00;;1;20.00
Don Pasquale 500g;0;1;20.00;1.16 %;;0;0.00;;1;20.00
Americano klein;0;8;20.00;1.16 %;;0;0.00;;8;20.00
Croissant CREMA LIMA;0;5;17.50;1.02 %;;0;0.00;;5;17.50
Espresso double;0;6;15.00;0.87 %;;0;0.00;;6;15.00
Avocado DUKKAH BETA;0;2;15.00;0.87 %;;0;0.00;;2;15.00
Croissant pur;0;7;14.00;0.82 %;;0;0.00;;7;14.00
Erdnuss LIMA BANANA;0;2;13.00;0.76 %;;0;0.00;;2;13.00
10€ Gutschein;0;1;10.00;0.58 %;;0;0.00;;1;10.00
