;von;bis;;
Datum:;30.09.2020;30.09.2020;;
Enthalt Z;128;128;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2447.40;98.83 %;
Auslagen;;;24.00;0.97 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;5.00;0.20 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;24.00;0.97 %;
5.0%;;;1905.30;77.09 %;
16.0%;;;542.10;21.93 %;
Total;;;2471.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;24.00;1.04 %;
5.0%;;;1814.76;78.69 %;
16.0%;;;467.57;20.27 %;
Total;;;2306.33;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;90.54;54.85 %;
16.0%;;;74.53;45.15 %;
Total;;;165.07;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;263;1513.40;61.24 %;0.90
Maestro;;49;648.70;26.25 %;1.90
MasterCard;;7;82.60;3.34 %;1.90
Visa;;11;79.90;3.23 %;0.00
Visa Electron;;13;146.80;5.94 %;0.30
Total;;343;2471.40;100.00 %;5.00
;;;;
Umsatzdetails;;;;;
Anna;;;436.10;17.82 %;0.30
Clara;;;319.10;13.04 %;4.30
Emanuel;;;176.00;7.19 %;0.00
Lena;;;858.20;35.07 %;0.00
Mik;;;59.20;2.42 %;0.00
Robin;;;375.30;15.33 %;0.40
Sebastian;;;20.30;0.83 %;0.00
Slobo;;;203.20;8.30 %;0.00
Total;;;2447.40;100.00 %;5.00
;;;;
Stornos;;;;;
vertippt;;5;44.90;100.00 %;
Total;;5;44.90;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;248;1724.80;69.79 %;
Tisch 1;;16;123.10;4.98 %;
Tisch 10;;2;19.10;0.77 %;
Tisch 11;;5;34.40;1.39 %;
Tisch 12;;7;42.00;1.70 %;
Tisch 13;;2;10.20;0.41 %;
Tisch 14;;4;23.60;0.95 %;
Tisch 15;;6;74.50;3.01 %;
Tisch 2;;13;107.20;4.34 %;
Tisch 20;;6;46.30;1.87 %;
Tisch 3;;6;28.40;1.15 %;
Tisch 30;;1;6.00;0.24 %;
Tisch 31;;1;52.40;2.12 %;
Tisch 4;;8;54.80;2.22 %;
Tisch 5;;10;86.70;3.51 %;
Tisch 6;;1;3.20;0.13 %;
Tisch 7;;5;34.70;1.40 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;517;1491.90;60.37 %;;71;209.10;;446;1282.80
Sonstiges;;46;548.50;22.19 %;;6;86.50;;40;462.00
Speisen;;111;431.00;17.44 %;;12;51.30;;99;379.70
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;305;1054.20;42.66 %;;48;163.60;;257;890.60
Röstkaffee;;39;431.50;17.46 %;;1;9.50;;38;422.00
Speisen;;111;431.00;17.44 %;;12;51.30;;99;379.70
Kaffee;;188;368.50;14.91 %;;20;38.50;;168;330.00
Equipment;;6;107.00;4.33 %;;5;77.00;;1;30.00
Non Kaffee;;18;47.60;1.93 %;;2;2.80;;16;44.80
Sommer;;6;21.60;0.87 %;;1;4.20;;5;17.40
Gutscheine;;1;10.00;0.40 %;;0;0.00;;1;10.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;146;467.20;18.90 %;;26;83.20;;120;384.00
Kuchen Maple Carrot;0;37;177.60;7.19 %;;4;19.20;;33;158.40
Flat White;0;46;174.80;7.07 %;;5;19.00;;41;155.80
Caffé Latte;0;42;147.00;5.95 %;;9;31.50;;33;115.50
Cappuccino groß;0;36;136.80;5.54 %;;3;11.40;;33;125.40
Finca Isnul 250g;0;10;105.00;4.25 %;;0;0.00;;10;105.00
Banana Bread PINE NUT;0;19;72.20;2.92 %;;3;11.40;;16;60.80
Hand Brew;0;16;72.00;2.91 %;;0;0.00;;16;72.00
Kakao;0;18;63.00;2.55 %;;3;10.50;;15;52.50
Americano;0;24;60.00;2.43 %;;3;7.50;;21;52.50
Caffé Latte doppelt;0;15;57.00;2.31 %;;1;3.80;;14;53.20
Granola COCOS;0;11;46.20;1.87 %;;1;4.20;;10;42.00
Espresso single;0;23;46.00;1.86 %;;5;10.00;;18;36.00
Lua Clara 250g;0;4;46.00;1.86 %;;0;0.00;;4;46.00
Pain au chocolat;0;15;42.00;1.70 %;;0;0.00;;15;42.00
El Carmen Decaf 250g;0;4;42.00;1.70 %;;0;0.00;;4;42.00
Tasse Milchkaffee;0;2;42.00;1.70 %;;2;42.00;;0;0.00
Bumbogo wachend 250g;0;3;40.50;1.64 %;;0;0.00;;3;40.50
Filterkaffee;0;16;40.00;1.62 %;;2;5.00;;14;35.00
Papakuchi 250g;0;4;38.00;1.54 %;;1;9.50;;3;28.50
Croissant;0;19;38.00;1.54 %;;1;2.00;;18;36.00
Prima Estate 250g;0;4;38.00;1.54 %;;0;0.00;;4;38.00
Feigenbrot;0;5;37.50;1.52 %;;1;7.50;;4;30.00
ReCup ausgeben;0;36;36.00;1.46 %;;6;6.00;;30;30.00
Espresso Macchiato;0;14;35.00;1.42 %;;1;2.50;;13;32.50
Tasse Cappuccino;0;2;34.00;1.38 %;;2;34.00;;0;0.00
Guji Hadeso 250g;0;2;33.00;1.34 %;;0;0.00;;2;33.00
Don Pasquale 250g;0;3;31.50;1.27 %;;0;0.00;;3;31.50
Aeropress;0;1;30.00;1.21 %;;0;0.00;;1;30.00
Tea;0;8;28.00;1.13 %;;0;0.00;;8;28.00
Café Crème groß;0;9;27.00;1.09 %;;0;0.00;;9;27.00
Bumbogo 500g;0;1;26.00;1.05 %;;0;0.00;;1;26.00
Café Crème;0;10;25.00;1.01 %;;1;2.50;;9;22.50
Doppio;0;9;22.50;0.91 %;;2;5.00;;7;17.50
Kaltgetränk;0;7;19.60;0.79 %;;1;2.80;;6;16.80
Prima Estate 500g;0;1;18.00;0.73 %;;0;0.00;;1;18.00
Americano groß;0;6;18.00;0.73 %;;0;0.00;;6;18.00
Croissant CREMA LIMA;0;5;17.50;0.71 %;;2;7.00;;3;10.50
Espresso Tonic;0;3;12.60;0.51 %;;1;4.20;;2;8.40
El Moreno 250g;0;1;11.50;0.47 %;;0;0.00;;1;11.50
10€ Gutschein;0;1;10.00;0.40 %;;0;0.00;;1;10.00
Doppio Macchiato;0;3;9.00;0.36 %;;0;0.00;;3;9.00
Cold Brew;0;3;9.00;0.36 %;;0;0.00;;3;9.00
Flat White auf Eis;0;2;8.40;0.34 %;;1;4.20;;1;4.20
Divers. Röstkaffee;0;2;2.00;0.08 %;;0;0.00;;2;2.00
Divers. Equipment;0;1;1.00;0.04 %;;1;1.00;;0;0.00
Milchschaum Kids;0;3;0.00;0.00 %;;1;0.00;;2;0.00
ReCup zurücknehmen;0;22;-22.00;-0.89 %;;0;0.00;;22;-22.00
;;;;
