;von;bis;;
Datum:;09.11.2020;09.11.2020;;
Enthalt Z;161;161;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;990.65;97.63 %;
Auslagen;;;24.00;2.37 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;24.00;2.37 %;
5.0%;;;834.85;82.28 %;
16.0%;;;155.80;15.36 %;
Total;;;1014.65;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;24.00;2.52 %;
5.0%;;;795.20;83.39 %;
16.0%;;;134.41;14.09 %;
Total;;;953.61;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;39.65;64.96 %;
16.0%;;;21.39;35.04 %;
Total;;;61.04;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;139;608.10;59.93 %;0.00
Maestro;;21;220.00;21.68 %;0.00
MasterCard;;2;20.30;2.00 %;0.00
Visa;;6;57.15;5.63 %;0.00
Visa Electron;;6;109.10;10.75 %;0.00
Total;;174;1014.65;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;791.45;79.89 %;0.00
Mik;;;5.70;0.58 %;0.00
Slobo;;;193.50;19.53 %;0.00
Total;;;990.65;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;168;1014.65;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;307;684.30;67.44 %;;4;9.60;;303;674.70
Sonstiges;;21;266.75;26.29 %;;0;0.00;;21;266.75
Speisen;;24;63.60;6.27 %;;2;5.60;;22;58.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;147;508.30;50.10 %;;2;7.60;;145;500.70
Röstkaffee;;21;266.75;26.29 %;;0;0.00;;21;266.75
Kaffee;;154;155.00;15.28 %;;2;2.00;;152;153.00
Speisen;;24;63.60;6.27 %;;2;5.60;;22;58.00
Non Kaffee;;6;21.00;2.07 %;;0;0.00;;6;21.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;74;236.80;23.34 %;;0;0.00;;74;236.80
Cappuccino groß;0;24;91.20;8.99 %;;1;3.80;;23;87.40
Flat White;0;23;87.40;8.61 %;;0;0.00;;23;87.40
Caffé Latte;0;18;63.00;6.21 %;;0;0.00;;18;63.00
ReCup ausgeben;0;62;62.00;6.11 %;;2;2.00;;60;60.00
Pain au chocolat;0;15;42.00;4.14 %;;2;5.60;;13;36.40
Americano;0;16;40.00;3.94 %;;0;0.00;;16;40.00
EL MORENO 250g;0;3;34.50;3.40 %;;0;0.00;;3;34.50
FINCA ISNUL 250g;0;3;31.50;3.10 %;;0;0.00;;3;31.50
BUMBOGO 250g;0;2;27.00;2.66 %;;0;0.00;;2;27.00
BUMBOGO 500g;0;1;26.00;2.56 %;;0;0.00;;1;26.00
Filterkaffee;0;10;25.00;2.46 %;;0;0.00;;10;25.00
LUA CLARA 250g;0;2;23.00;2.27 %;;0;0.00;;2;23.00
Espresso single;0;11;22.00;2.17 %;;0;0.00;;11;22.00
LUA CLARA 500g;0;1;22.00;2.17 %;;0;0.00;;1;22.00
DON PASCUAL 250g;0;2;21.00;2.07 %;;0;0.00;;2;21.00
Tea;0;6;21.00;2.07 %;;0;0.00;;6;21.00
PAPAKUCHI 250g;0;2;19.00;1.87 %;;0;0.00;;2;19.00
PAPAKUCHI 500g;0;1;18.00;1.77 %;;0;0.00;;1;18.00
GUJI HADESO 250g;0;1;16.50;1.63 %;;0;0.00;;1;16.50
Caffé Latte doppelt;0;4;15.20;1.50 %;;1;3.80;;3;11.40
Café Crème;0;6;15.00;1.48 %;;0;0.00;;6;15.00
Croissant;0;7;14.00;1.38 %;;0;0.00;;7;14.00
Doppio;0;5;12.50;1.23 %;;0;0.00;;5;12.50
EL CARMEN Decaf 250g;0;1;10.50;1.03 %;;0;0.00;;1;10.50
Kakao;0;3;10.50;1.03 %;;0;0.00;;3;10.50
MUYU 250g;0;1;9.50;0.94 %;;0;0.00;;1;9.50
Americano groß;0;3;9.00;0.89 %;;0;0.00;;3;9.00
Divers. Röstkaffee;0;1;8.25;0.81 %;;0;0.00;;1;8.25
Banana Bread PINE NUT;0;2;7.60;0.75 %;;0;0.00;;2;7.60
Espresso Macchiato;0;3;7.50;0.74 %;;0;0.00;;3;7.50
Flat White auf Eis;0;1;4.20;0.41 %;;0;0.00;;1;4.20
ReCup zurücknehmen;0;38;-38.00;-3.75 %;;0;0.00;;38;-38.00
;;;;
