;von;bis;;
Datum:;12.11.2020;12.11.2020;;
Enthalt Z;164;164;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;961.20;98.69 %;
Auslagen;;;12.00;1.23 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.80;0.08 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;12.00;1.23 %;
5.0%;;;779.50;80.10 %;
16.0%;;;181.70;18.67 %;
Total;;;973.20;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;12.00;1.32 %;
5.0%;;;742.47;81.48 %;
16.0%;;;156.76;17.20 %;
Total;;;911.23;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
5.0%;;;37.03;59.75 %;
16.0%;;;24.94;40.25 %;
Total;;;61.97;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;137;683.50;70.23 %;0.00
Maestro;;21;197.20;20.26 %;0.80
MasterCard;;1;18.00;1.85 %;0.00
Visa;;1;4.50;0.46 %;0.00
Visa Electron;;6;70.00;7.19 %;0.00
Total;;166;973.20;100.00 %;0.80
;;;;
Umsatzdetails;;;;;
Anna;;;612.40;63.71 %;0.80
Martin;;;146.50;15.24 %;0.00
Mik;;;202.30;21.05 %;0.00
Total;;;961.20;100.00 %;0.80
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;166;973.20;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;286;675.80;69.44 %;;0;0.00;;286;675.80
Sonstiges;;21;264.00;27.13 %;;0;0.00;;21;264.00
Speisen;;12;33.40;3.43 %;;0;0.00;;12;33.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;146;501.10;51.49 %;;0;0.00;;146;501.10
Röstkaffee;;18;245.00;25.17 %;;0;0.00;;18;245.00
Kaffee;;134;156.50;16.08 %;;0;0.00;;134;156.50
Speisen;;12;33.40;3.43 %;;0;0.00;;12;33.40
Non Kaffee;;6;18.20;1.87 %;;0;0.00;;6;18.20
Equipment;;2;14.00;1.44 %;;0;0.00;;2;14.00
Gutscheine;;1;5.00;0.51 %;;0;0.00;;1;5.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;77;246.40;25.32 %;;0;0.00;;77;246.40
Flat White;0;24;91.20;9.37 %;;0;0.00;;24;91.20
Caffé Latte;0;20;70.00;7.19 %;;0;0.00;;20;70.00
Cappuccino groß;0;18;68.40;7.03 %;;0;0.00;;18;68.40
EL MORENO 250g;0;5;57.50;5.91 %;;0;0.00;;5;57.50
ReCup ausgeben;0;41;41.00;4.21 %;;0;0.00;;41;41.00
MUYU 500g;0;2;36.00;3.70 %;;0;0.00;;2;36.00
MUYU 1000g;0;1;34.00;3.49 %;;0;0.00;;1;34.00
Café Crème;0;13;32.50;3.34 %;;0;0.00;;13;32.50
Americano;0;11;27.50;2.83 %;;0;0.00;;11;27.50
BUMBOGO 250g;0;2;27.00;2.77 %;;0;0.00;;2;27.00
Filterkaffee;0;10;25.00;2.57 %;;0;0.00;;10;25.00
FINCA ISNUL 250g;0;2;21.00;2.16 %;;0;0.00;;2;21.00
DON PASCUAL 500g;0;1;20.00;2.06 %;;0;0.00;;1;20.00
MUYU 250g;0;2;19.00;1.95 %;;0;0.00;;2;19.00
Kakao;0;5;17.50;1.80 %;;0;0.00;;5;17.50
Espresso Macchiato;0;7;17.50;1.80 %;;0;0.00;;7;17.50
Espresso single;0;8;16.00;1.64 %;;0;0.00;;8;16.00
Pain au chocolat;0;5;14.00;1.44 %;;0;0.00;;5;14.00
Hario V60 filter (100) 02;0;2;14.00;1.44 %;;0;0.00;;2;14.00
Banana Bread PINE NUT;0;3;11.40;1.17 %;;0;0.00;;3;11.40
Kaltgetränk;0;4;11.20;1.15 %;;0;0.00;;4;11.20
DON PASCUAL 250g;0;1;10.50;1.08 %;;0;0.00;;1;10.50
EL CARMEN Decaf 250g;0;1;10.50;1.08 %;;0;0.00;;1;10.50
Doppio;0;4;10.00;1.03 %;;0;0.00;;4;10.00
PAPAKUCHI 250g;0;1;9.50;0.98 %;;0;0.00;;1;9.50
Hand Brew;0;2;9.00;0.92 %;;0;0.00;;2;9.00
Croissant;0;4;8.00;0.82 %;;0;0.00;;4;8.00
Caffé Latte doppelt;0;2;7.60;0.78 %;;0;0.00;;2;7.60
Tea;0;2;7.00;0.72 %;;0;0.00;;2;7.00
Café Crème groß;0;2;6.00;0.62 %;;0;0.00;;2;6.00
5€ Gutschein;0;1;5.00;0.51 %;;0;0.00;;1;5.00
Doppio Macchiato;0;1;3.00;0.31 %;;0;0.00;;1;3.00
Americano groß;0;1;3.00;0.31 %;;0;0.00;;1;3.00
ReCup zurücknehmen;0;34;-34.00;-3.49 %;;0;0.00;;34;-34.00
;;;;
