;von;bis;;
Datum:;12.01.2021;12.01.2021;;
Enthalt Z;212;212;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;647.30;98.03 %;
Auslagen;;;13.00;1.97 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;13.00;1.97 %;
19.0%;;;113.00;17.11 %;
7.0%;;;534.30;80.92 %;
Total;;;660.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;13.00;2.14 %;
19.0%;;;94.94;15.63 %;
7.0%;;;499.31;82.22 %;
Total;;;607.25;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;18.06;34.04 %;
7.0%;;;34.99;65.96 %;
Total;;;53.05;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;75;391.10;59.23 %;0.00
Maestro;;5;110.50;16.73 %;0.00
MasterCard;;3;62.50;9.47 %;0.00
Visa;;5;91.00;13.78 %;0.00
Visa Electron;;1;5.20;0.79 %;0.00
Total;;89;660.30;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;176.20;27.22 %;0.00
Martin;;;460.60;71.16 %;0.00
Robin;;;10.50;1.62 %;0.00
Total;;;647.30;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;1;10.50;100.00 %;
Total;;1;10.50;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;89;660.30;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Sonstiges;;19;296.50;44.90 %;;0;0.00;;19;296.50
Getränke;;183;291.60;44.16 %;;0;0.00;;183;291.60
Speisen;;23;72.20;10.93 %;;0;0.00;;23;72.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;16;241.00;36.50 %;;0;0.00;;16;241.00
Milchmischgetränke;;66;221.10;33.48 %;;0;0.00;;66;221.10
Speisen;;23;72.20;10.93 %;;0;0.00;;23;72.20
Kaffee;;113;65.50;9.92 %;;0;0.00;;113;65.50
Equipment;;3;55.50;8.41 %;;0;0.00;;3;55.50
Non Kaffee;;4;5.00;0.76 %;;0;0.00;;4;5.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;44;140.80;21.32 %;;0;0.00;;44;140.80
EL MORENO 250g;0;5;57.50;8.71 %;;0;0.00;;5;57.50
ReCup ausgeben;0;54;54.00;8.18 %;;0;0.00;;54;54.00
LUA CLARA 1000g;0;1;42.00;6.36 %;;0;0.00;;1;42.00
MUYU 1000g;0;1;34.00;5.15 %;;0;0.00;;1;34.00
Hario V60 ceramic dripper black;0;1;31.50;4.77 %;;0;0.00;;1;31.50
Brownie;0;9;31.20;4.73 %;;0;0.00;;9;31.20
Caffé Latte;0;8;28.00;4.24 %;;0;0.00;;8;28.00
DON PASCUAL 250g;0;2;21.00;3.18 %;;0;0.00;;2;21.00
EL CARMEN Decaf 250g;0;2;21.00;3.18 %;;0;0.00;;2;21.00
Banana Bread PINE NUT;0;5;19.00;2.88 %;;0;0.00;;5;19.00
Kinto coffee server 600ml;0;1;17.00;2.57 %;;0;0.00;;1;17.00
GUJI HADESO 250g;0;1;16.50;2.50 %;;0;0.00;;1;16.50
Flat White;0;4;15.20;2.30 %;;0;0.00;;4;15.20
Cappuccino groß;0;4;15.20;2.30 %;;0;0.00;;4;15.20
GOVER CUEVA 250g;0;1;14.50;2.20 %;;0;0.00;;1;14.50
Pain au chocolat;0;5;14.00;2.12 %;;0;0.00;;5;14.00
KRA JAN 250g;0;1;13.50;2.04 %;;0;0.00;;1;13.50
ATSABE 250g;0;1;11.50;1.74 %;;0;0.00;;1;11.50
Caffé Latte doppelt;0;3;11.40;1.73 %;;0;0.00;;3;11.40
Kakao;0;3;10.50;1.59 %;;0;0.00;;3;10.50
Filterkaffee;0;4;10.00;1.51 %;;0;0.00;;4;10.00
MUYU 250g;0;1;9.50;1.44 %;;0;0.00;;1;9.50
Café Crème groß;0;3;9.00;1.36 %;;0;0.00;;3;9.00
Espresso single;0;4;8.00;1.21 %;;0;0.00;;4;8.00
Croissant;0;4;8.00;1.21 %;;0;0.00;;4;8.00
Tea;0;2;7.00;1.06 %;;0;0.00;;2;7.00
Hario V60 filter (100) 02;0;1;7.00;1.06 %;;0;0.00;;1;7.00
Café Crème;0;2;5.00;0.76 %;;0;0.00;;2;5.00
Espresso Macchiato;0;2;5.00;0.76 %;;0;0.00;;2;5.00
Americano;0;2;5.00;0.76 %;;0;0.00;;2;5.00
Doppio Macchiato;0;1;3.00;0.45 %;;0;0.00;;1;3.00
Americano groß;0;1;3.00;0.45 %;;0;0.00;;1;3.00
Doppio;0;1;2.50;0.38 %;;0;0.00;;1;2.50
ReCup zurücknehmen **;0;2;-2.00;-0.30 %;;0;0.00;;2;-2.00
ReCup zurücknehmen;0;39;-39.00;-5.91 %;;0;0.00;;39;-39.00
;;;;
