;von;bis;;
Datum:;22.01.2021;22.01.2021;;
Enthalt Z;221;222;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1216.40;96.66 %;
Auslagen;;;42.00;3.34 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;42.00;3.34 %;
19.0%;;;205.30;16.31 %;
7.0%;;;1011.10;80.35 %;
Total;;;1258.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;42.00;3.62 %;
19.0%;;;172.47;14.88 %;
7.0%;;;944.83;81.50 %;
Total;;;1159.30;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;32.83;33.13 %;
7.0%;;;66.27;66.87 %;
Total;;;99.10;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;180;684.25;54.37 %;0.00
Maestro;;26;384.05;30.52 %;0.00
MasterCard;;4;27.80;2.21 %;0.00
Mehrzweckgutschein;;1;23.00;1.83 %;0.00
Visa;;6;52.10;4.14 %;0.00
Visa Electron;;6;87.20;6.93 %;0.00
Total;;223;1258.40;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Martin;;;1103.85;90.75 %;0.00
Robin;;;20.00;1.64 %;0.00
Slobo;;;92.55;7.61 %;0.00
Total;;;1216.40;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;5.25;24.14 %;
Personal 1/2 Preis;;1;16.50;75.86 %;
Total;;2;21.75;100.00 %;
;;;;
Tische;;;;;
Theke;;223;1258.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;526;707.60;56.23 %;;0;0.00;;526;707.60
Sonstiges;;30;456.40;36.27 %;;0;0.00;;30;456.40
Speisen;;33;94.40;7.50 %;;0;0.00;;33;94.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;154;530.30;42.14 %;;0;0.00;;154;530.30
Röstkaffee;;28;386.40;30.71 %;;0;0.00;;28;386.40
Kaffee;;320;178.50;14.18 %;;0;0.00;;320;178.50
Speisen;;33;94.40;7.50 %;;0;0.00;;33;94.40
Equipment;;2;70.00;5.56 %;;0;0.00;;2;70.00
Non Kaffee;;52;-1.20;-0.10 %;;0;0.00;;52;-1.20
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;78;249.60;19.83 %;;0;0.00;;78;249.60
ReCup ausgeben;0;156;156.00;12.40 %;;0;0.00;;156;156.00
Cappuccino groß;0;31;117.80;9.36 %;;0;0.00;;31;117.80
Caffé Latte;0;21;73.50;5.84 %;;0;0.00;;21;73.50
Tasse L;0;2;70.00;5.56 %;;0;0.00;;2;70.00
Flat White;0;18;68.40;5.44 %;;0;0.00;;18;68.40
MUYU 1000g;0;2;68.00;5.40 %;;0;0.00;;2;68.00
LUA CLARA 250g;0;4;46.00;3.66 %;;0;0.00;;4;46.00
ATSABE 500g;0;2;44.00;3.50 %;;0;0.00;;2;44.00
Americano;0;15;37.50;2.98 %;;0;0.00;;15;37.50
Banana Bread PINE NUT;0;8;30.40;2.42 %;;0;0.00;;8;30.40
MUYU 250g;0;3;28.50;2.26 %;;0;0.00;;3;28.50
Pain au chocolat;0;10;28.00;2.23 %;;0;0.00;;10;28.00
Filterkaffee;0;11;27.50;2.19 %;;0;0.00;;11;27.50
KRA JAN 250g;0;2;27.00;2.15 %;;0;0.00;;2;27.00
Doppio;0;10;25.00;1.99 %;;0;0.00;;10;25.00
ATSABE 250g;0;2;23.00;1.83 %;;0;0.00;;2;23.00
EL MORENO 250g;0;2;23.00;1.83 %;;0;0.00;;2;23.00
ReCup ausgeben **;0;23;23.00;1.83 %;;0;0.00;;23;23.00
LUA CLARA 500g;0;1;22.00;1.75 %;;0;0.00;;1;22.00
FINCA ISNUL 500g;0;1;22.00;1.75 %;;0;0.00;;1;22.00
Kakao;0;6;21.00;1.67 %;;0;0.00;;6;21.00
Croissant;0;10;20.00;1.59 %;;0;0.00;;10;20.00
Divers. Röstkaffee;0;2;18.15;1.44 %;;0;0.00;;2;18.15
GUJI HADESO 250g;0;2;16.50;1.31 %;;0;0.00;;2;16.50
Brownie;0;5;16.00;1.27 %;;0;0.00;;5;16.00
Espresso single;0;8;16.00;1.27 %;;0;0.00;;8;16.00
DON PASCUAL 250g;0;2;15.75;1.25 %;;0;0.00;;2;15.75
FINCA ISNUL 250g;0;1;11.50;0.91 %;;0;0.00;;1;11.50
EL CARMEN Decaf 250g;0;1;11.50;0.91 %;;0;0.00;;1;11.50
Café Crème;0;4;10.00;0.79 %;;0;0.00;;4;10.00
PAPAKUCHI 250g;0;1;9.50;0.75 %;;0;0.00;;1;9.50
Espresso Macchiato;0;3;7.50;0.60 %;;0;0.00;;3;7.50
Doppio Macchiato;0;1;3.00;0.24 %;;0;0.00;;1;3.00
Café Crème groß;0;1;3.00;0.24 %;;0;0.00;;1;3.00
Americano groß;0;1;3.00;0.24 %;;0;0.00;;1;3.00
Kaltgetränk;0;1;2.80;0.22 %;;0;0.00;;1;2.80
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup zurücknehmen **;0;27;-27.00;-2.15 %;;0;0.00;;27;-27.00
ReCup zurücknehmen;0;110;-110.00;-8.74 %;;0;0.00;;110;-110.00
;;;;
