;von;bis;;
Datum:;23.01.2021;23.01.2021;;
Enthalt Z;223;223;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1489.50;96.25 %;
Auslagen;;;58.00;3.75 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;58.00;3.75 %;
19.0%;;;200.10;12.93 %;
7.0%;;;1289.40;83.32 %;
Total;;;1547.50;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;58.00;4.05 %;
19.0%;;;168.08;11.75 %;
7.0%;;;1204.88;84.20 %;
Total;;;1430.96;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;32.02;27.48 %;
7.0%;;;84.52;72.52 %;
Total;;;116.54;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;207;884.60;57.16 %;0.00
Maestro;;32;365.40;23.61 %;0.00
MasterCard;;9;101.40;6.55 %;0.00
Mehrzweckgutschein;;1;11.80;0.76 %;0.00
Visa;;9;102.10;6.60 %;0.00
Visa Electron;;7;82.20;5.31 %;0.00
Total;;265;1547.50;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Martin;;;1489.50;100.00 %;0.00
Total;;;1489.50;100.00 %;0.00
;;;;
Stornos;;;;;
vertippt;;2;14.00;100.00 %;
Total;;2;14.00;100.00 %;
;;;;
Rabatte;;;;;
Personal 1/2 Preis;;2;11.90;100.00 %;
Total;;2;11.90;100.00 %;
;;;;
Tische;;;;;
Theke;;263;1547.50;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;753;991.20;64.05 %;;0;0.00;;753;991.20
Sonstiges;;28;412.10;26.63 %;;0;0.00;;28;412.10
Speisen;;49;144.20;9.32 %;;0;0.00;;49;144.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;220;754.10;48.73 %;;0;0.00;;220;754.10
Röstkaffee;;25;391.10;25.27 %;;0;0.00;;25;391.10
Kaffee;;524;227.50;14.70 %;;0;0.00;;524;227.50
Speisen;;49;144.20;9.32 %;;0;0.00;;49;144.20
Equipment;;3;21.00;1.36 %;;0;0.00;;3;21.00
Non Kaffee;;9;9.60;0.62 %;;0;0.00;;9;9.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;118;377.60;24.40 %;;0;0.00;;118;377.60
ReCup ausgeben;0;260;260.00;16.80 %;;0;0.00;;260;260.00
Flat White;0;31;117.80;7.61 %;;0;0.00;;31;117.80
Cappuccino groß;0;27;102.60;6.63 %;;0;0.00;;27;102.60
MUYU 1000g;0;3;102.00;6.59 %;;0;0.00;;3;102.00
Caffé Latte;0;24;84.00;5.43 %;;0;0.00;;24;84.00
Americano;0;22;55.00;3.55 %;;0;0.00;;22;55.00
MUYU 500g;0;3;54.00;3.49 %;;0;0.00;;3;54.00
Banana Bread PINE NUT;0;13;49.40;3.19 %;;0;0.00;;13;49.40
Kakao;0;13;45.50;2.94 %;;0;0.00;;13;45.50
MUYU 250g;0;5;42.80;2.77 %;;0;0.00;;5;42.80
Pain au chocolat;0;15;42.00;2.71 %;;0;0.00;;15;42.00
GOVER CUEVA 250g;0;3;36.30;2.35 %;;0;0.00;;3;36.30
Brownie;0;9;28.80;1.86 %;;0;0.00;;9;28.80
Caffé Latte doppelt;0;7;26.60;1.72 %;;0;0.00;;7;26.60
Croissant;0;12;24.00;1.55 %;;0;0.00;;12;24.00
LUA CLARA 250g;0;2;23.00;1.49 %;;0;0.00;;2;23.00
FINCA ISNUL 250g;0;2;23.00;1.49 %;;0;0.00;;2;23.00
EL MORENO 250g;0;2;23.00;1.49 %;;0;0.00;;2;23.00
LUA CLARA 500g;0;1;22.00;1.42 %;;0;0.00;;1;22.00
FINCA ISNUL 500g;0;1;22.00;1.42 %;;0;0.00;;1;22.00
EL CARMEN Decaf 500g;0;1;22.00;1.42 %;;0;0.00;;1;22.00
Hario V60 filter (100) 02;0;3;21.00;1.36 %;;0;0.00;;3;21.00
Espresso single;0;10;20.00;1.29 %;;0;0.00;;10;20.00
Café Crème;0;7;17.50;1.13 %;;0;0.00;;7;17.50
Espresso Macchiato;0;7;17.50;1.13 %;;0;0.00;;7;17.50
Filterkaffee;0;7;17.50;1.13 %;;0;0.00;;7;17.50
Hand Brew;0;3;13.50;0.87 %;;0;0.00;;3;13.50
EL CARMEN Decaf 250g;0;1;11.50;0.74 %;;0;0.00;;1;11.50
PAPAKUCHI 250g;0;1;9.50;0.61 %;;0;0.00;;1;9.50
Americano groß;0;3;9.00;0.58 %;;0;0.00;;3;9.00
Doppio;0;3;7.50;0.48 %;;0;0.00;;3;7.50
Tea;0;2;7.00;0.45 %;;0;0.00;;2;7.00
Doppio Macchiato;0;2;6.00;0.39 %;;0;0.00;;2;6.00
Kaltgetränk;0;2;5.60;0.36 %;;0;0.00;;2;5.60
Café Crème groß;0;1;3.00;0.19 %;;0;0.00;;1;3.00
ReCup ausgeben **;0;1;1.00;0.06 %;;0;0.00;;1;1.00
ReCup zurücknehmen **;0;4;-4.00;-0.26 %;;0;0.00;;4;-4.00
ReCup zurücknehmen;0;199;-199.00;-12.86 %;;0;0.00;;199;-199.00
;;;;
