;von;bis;;
Datum:;02.02.2021;02.02.2021;;
Enthalt Z;231;231;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;766.25;95.63 %;
Auslagen;;;35.00;4.37 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;35.00;4.37 %;
19.0%;;;125.50;15.66 %;
7.0%;;;640.75;79.97 %;
Total;;;801.25;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;35.00;4.73 %;
19.0%;;;105.43;14.26 %;
7.0%;;;598.75;81.00 %;
Total;;;739.18;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;20.07;32.33 %;
7.0%;;;42.00;67.67 %;
Total;;;62.07;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;149;623.30;77.79 %;0.00
Maestro;;15;145.80;18.20 %;0.00
MasterCard;;1;3.50;0.44 %;0.00
Visa;;2;14.85;1.85 %;0.00
Visa Electron;;2;13.80;1.72 %;0.00
Total;;169;801.25;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Emanuel;;;0.00;0.00 %;0.00
Martin;;;719.45;93.89 %;0.00
Robin;;;46.80;6.11 %;0.00
Total;;;766.25;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;1;5.25;100.00 %;
Total;;1;5.25;100.00 %;
;;;;
Tische;;;;;
Theke;;169;801.25;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;376;530.70;66.23 %;;0;0.00;;376;530.70
Sonstiges;;19;238.75;29.80 %;;0;0.00;;19;238.75
Speisen;;10;31.80;3.97 %;;0;0.00;;10;31.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;112;390.20;48.70 %;;0;0.00;;112;390.20
Röstkaffee;;17;218.75;27.30 %;;0;0.00;;17;218.75
Kaffee;;237;139.50;17.41 %;;0;0.00;;237;139.50
Speisen;;10;31.80;3.97 %;;0;0.00;;10;31.80
Equipment;;2;20.00;2.50 %;;0;0.00;;2;20.00
Non Kaffee;;27;1.00;0.12 %;;0;0.00;;27;1.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;50;160.00;19.97 %;;0;0.00;;50;160.00
ReCup ausgeben;0;115;115.00;14.35 %;;0;0.00;;115;115.00
Cappuccino groß;0;23;87.40;10.91 %;;0;0.00;;23;87.40
Flat White;0;18;68.40;8.54 %;;0;0.00;;18;68.40
Caffé Latte;0;14;49.00;6.12 %;;0;0.00;;14;49.00
ATSABE 250g;0;4;46.00;5.74 %;;0;0.00;;4;46.00
MUYU 250g;0;4;38.00;4.74 %;;0;0.00;;4;38.00
Americano;0;11;27.50;3.43 %;;0;0.00;;11;27.50
BUMBOGO 500g;0;1;26.00;3.24 %;;0;0.00;;1;26.00
EL CARMEN Decaf 250g;0;2;23.00;2.87 %;;0;0.00;;2;23.00
Filterkaffee;0;9;22.50;2.81 %;;0;0.00;;9;22.50
LUA CLARA 500g;0;1;22.00;2.75 %;;0;0.00;;1;22.00
EL MORENO 500g;0;1;22.00;2.75 %;;0;0.00;;1;22.00
Divers. Equipment;0;2;20.00;2.50 %;;0;0.00;;2;20.00
Banana Bread PINE NUT;0;5;19.00;2.37 %;;0;0.00;;5;19.00
ReCup ausgeben **;0;14;14.00;1.75 %;;0;0.00;;14;14.00
Kakao;0;4;14.00;1.75 %;;0;0.00;;4;14.00
BUMBOGO 250g;0;1;13.50;1.68 %;;0;0.00;;1;13.50
Café Crème;0;5;12.50;1.56 %;;0;0.00;;5;12.50
Doppio;0;5;12.50;1.56 %;;0;0.00;;5;12.50
FINCA ISNUL 250g;0;1;11.50;1.44 %;;0;0.00;;1;11.50
EL MORENO 250g;0;1;11.50;1.44 %;;0;0.00;;1;11.50
Caffé Latte doppelt;0;3;11.40;1.42 %;;0;0.00;;3;11.40
Espresso Macchiato;0;4;10.00;1.25 %;;0;0.00;;4;10.00
Doppio Macchiato;0;2;6.00;0.75 %;;0;0.00;;2;6.00
Americano groß;0;2;6.00;0.75 %;;0;0.00;;2;6.00
Pain au chocolat;0;2;5.60;0.70 %;;0;0.00;;2;5.60
DON PASCUAL 250g;0;1;5.25;0.66 %;;0;0.00;;1;5.25
Hand Brew;0;1;4.50;0.56 %;;0;0.00;;1;4.50
Espresso single;0;2;4.00;0.50 %;;0;0.00;;2;4.00
Croissant;0;2;4.00;0.50 %;;0;0.00;;2;4.00
Brownie;0;1;3.20;0.40 %;;0;0.00;;1;3.20
ReCup zurücknehmen **;0;13;-13.00;-1.62 %;;0;0.00;;13;-13.00
ReCup zurücknehmen;0;81;-81.00;-10.11 %;;0;0.00;;81;-81.00
;;;;
