;von;bis;;
Datum:;05.02.2021;05.02.2021;;
Enthalt Z;234;234;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1163.75;96.74 %;
Auslagen;;;36.00;2.99 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;3.20;0.27 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;36.00;3.00 %;
19.0%;;;183.30;15.28 %;
7.0%;;;980.45;81.72 %;
Total;;;1199.75;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;36.00;3.25 %;
19.0%;;;153.98;13.92 %;
7.0%;;;916.22;82.83 %;
Total;;;1106.20;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;29.32;31.34 %;
7.0%;;;64.23;68.66 %;
Total;;;93.55;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;195;648.70;54.07 %;0.00
Maestro;;18;225.55;18.80 %;0.00
MasterCard;;6;60.50;5.04 %;0.00
Visa;;10;164.60;13.72 %;0.00
Visa Electron;;14;100.40;8.37 %;3.20
Total;;243;1199.75;100.00 %;3.20
;;;;
Umsatzdetails;;;;;
Martin;;;670.50;57.62 %;0.50
Robin;;;493.25;42.38 %;2.70
Total;;;1163.75;100.00 %;3.20
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
50%;;2;17.75;100.00 %;
Total;;2;17.75;100.00 %;
;;;;
Tische;;;;;
Theke;;243;1199.75;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;580;744.80;62.08 %;;0;0.00;;580;744.80
Sonstiges;;24;368.75;30.74 %;;0;0.00;;24;368.75
Speisen;;32;86.20;7.18 %;;0;0.00;;32;86.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;162;562.50;46.88 %;;0;0.00;;162;562.50
Röstkaffee;;23;331.75;27.65 %;;0;0.00;;23;331.75
Kaffee;;252;143.00;11.92 %;;0;0.00;;252;143.00
Speisen;;32;86.20;7.18 %;;0;0.00;;32;86.20
Non Kaffee;;166;39.30;3.28 %;;0;0.00;;166;39.30
Equipment;;1;37.00;3.08 %;;0;0.00;;1;37.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;77;246.40;20.54 %;;0;0.00;;77;246.40
Flat White;0;32;121.60;10.14 %;;0;0.00;;32;121.60
ReCup ausgeben;0;105;105.00;8.75 %;;0;0.00;;105;105.00
Cappuccino groß;0;25;95.00;7.92 %;;0;0.00;;25;95.00
ReCup ausgeben **;0;94;94.00;7.83 %;;0;0.00;;94;94.00
Caffé Latte;0;16;56.00;4.67 %;;0;0.00;;16;56.00
MUYU BOTTLE 365;0;3;40.50;3.38 %;;0;0.00;;3;40.50
Kinto travel  Tumbler 350ml;0;1;37.00;3.08 %;;0;0.00;;1;37.00
EL MORENO 250g;0;3;34.50;2.88 %;;0;0.00;;3;34.50
MUYU 1000g;0;1;34.00;2.83 %;;0;0.00;;1;34.00
Pain au chocolat;0;12;33.60;2.80 %;;0;0.00;;12;33.60
FINCA ISNUL 500g;0;2;33.00;2.75 %;;0;0.00;;2;33.00
Banana Bread PINE NUT;0;7;26.60;2.22 %;;0;0.00;;7;26.60
BUMBOGO 500g;0;1;26.00;2.17 %;;0;0.00;;1;26.00
Croissant;0;13;26.00;2.17 %;;0;0.00;;13;26.00
Café Crème;0;10;25.00;2.08 %;;0;0.00;;10;25.00
Kakao;0;7;24.50;2.04 %;;0;0.00;;7;24.50
ATSABE 250g;0;2;23.00;1.92 %;;0;0.00;;2;23.00
BUMBOGO 250g;0;2;20.25;1.69 %;;0;0.00;;2;20.25
Espresso single;0;10;20.00;1.67 %;;0;0.00;;10;20.00
Filterkaffee;0;8;20.00;1.67 %;;0;0.00;;8;20.00
MUYU 250g;0;2;19.00;1.58 %;;0;0.00;;2;19.00
Caffé Latte doppelt;0;5;19.00;1.58 %;;0;0.00;;5;19.00
MUYU 500g;0;1;18.00;1.50 %;;0;0.00;;1;18.00
PAPAKUCHI 500g;0;1;18.00;1.50 %;;0;0.00;;1;18.00
LA DALIA 250g;0;1;17.50;1.46 %;;0;0.00;;1;17.50
Americano;0;7;17.50;1.46 %;;0;0.00;;7;17.50
GOVER CUEVA 250g;0;1;14.50;1.21 %;;0;0.00;;1;14.50
Hand Brew;0;3;13.50;1.13 %;;0;0.00;;3;13.50
KRA JAN 250g;0;1;13.50;1.13 %;;0;0.00;;1;13.50
Doppio;0;5;12.50;1.04 %;;0;0.00;;5;12.50
Espresso Macchiato;0;5;12.50;1.04 %;;0;0.00;;5;12.50
DON PASCUAL 250g;0;1;10.50;0.88 %;;0;0.00;;1;10.50
Tea;0;3;10.50;0.88 %;;0;0.00;;3;10.50
PAPAKUCHI 250g;0;1;9.50;0.79 %;;0;0.00;;1;9.50
Doppio Macchiato;0;2;6.00;0.50 %;;0;0.00;;2;6.00
Café Crème groß;0;2;6.00;0.50 %;;0;0.00;;2;6.00
Kaltgetränk;0;1;2.80;0.23 %;;0;0.00;;1;2.80
ReCup zurücknehmen **;0;68;-68.00;-5.67 %;;0;0.00;;68;-68.00
ReCup zurücknehmen;0;95;-95.00;-7.92 %;;0;0.00;;95;-95.00
;;;;
