;von;bis;;
Datum:;17.03.2021;17.03.2021;;
Enthalt Z;272;272;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;918.80;97.15 %;
Auslagen;;;27.00;2.85 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;27.00;2.85 %;
19.0%;;;160.10;16.93 %;
7.0%;;;758.70;80.22 %;
Total;;;945.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;27.00;3.10 %;
19.0%;;;134.50;15.45 %;
7.0%;;;709.04;81.45 %;
Total;;;870.54;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;25.60;34.02 %;
7.0%;;;49.66;65.98 %;
Total;;;75.26;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;108;539.70;57.06 %;0.00
Maestro;;24;285.50;30.19 %;0.00
MasterCard;;1;4.50;0.48 %;0.00
Visa;;2;17.30;1.83 %;0.00
Visa Electron;;11;98.80;10.45 %;0.00
Total;;146;945.80;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;269.10;29.29 %;0.00
Khalid;;;205.00;22.31 %;0.00
Laura;;;116.10;12.64 %;0.00
Sebastian;;;200.90;21.87 %;0.00
Slobo;;;127.70;13.90 %;0.00
Total;;;918.80;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;144;945.80;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;380;483.60;51.13 %;;0;0.00;;380;483.60
Sonstiges;;27;344.00;36.37 %;;0;0.00;;27;344.00
Speisen;;37;118.20;12.50 %;;0;0.00;;37;118.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;27;344.00;36.37 %;;0;0.00;;27;344.00
Milchmischgetränke;;124;304.50;32.19 %;;0;0.00;;124;304.50
Speisen;;37;118.20;12.50 %;;0;0.00;;37;118.20
Kaffee;;236;111.00;11.74 %;;0;0.00;;236;111.00
Hafer;;17;60.10;6.35 %;;0;0.00;;17;60.10
Non Kaffee;;3;8.00;0.85 %;;0;0.00;;3;8.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;42;134.40;14.21 %;;0;0.00;;42;134.40
ReCup ausgeben;0;109;109.00;11.52 %;;0;0.00;;109;109.00
Flat White;0;12;45.60;4.82 %;;0;0.00;;12;45.60
MUYU BOTTLE 365;0;3;40.50;4.28 %;;0;0.00;;3;40.50
La Esperanza 250g;0;3;40.50;4.28 %;;0;0.00;;3;40.50
Caffé Latte;0;11;38.50;4.07 %;;0;0.00;;11;38.50
Divers. Röstkaffee;0;3;38.00;4.02 %;;0;0.00;;3;38.00
Cappuccino groß;0;10;38.00;4.02 %;;0;0.00;;10;38.00
Banana Bread PINE NUT;0;9;34.20;3.62 %;;0;0.00;;9;34.20
Kanelbullar;0;10;32.00;3.38 %;;0;0.00;;10;32.00
MUYU 250g;0;3;28.50;3.01 %;;0;0.00;;3;28.50
Pain au chocolat;0;9;25.20;2.66 %;;0;0.00;;9;25.20
Filterkaffee;0;10;25.00;2.64 %;;0;0.00;;10;25.00
