;von;bis;;
Datum:;26.03.2021;26.03.2021;;
Enthalt Z;280;280;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2428.10;96.08 %;
Auslagen;;;99.00;3.92 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;99.00;3.92 %;
19.0%;;;552.00;21.84 %;
7.0%;;;1876.10;74.24 %;
Total;;;2527.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;99.00;4.27 %;
19.0%;;;463.75;20.02 %;
7.0%;;;1753.20;75.70 %;
Total;;;2315.95;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;88.25;41.79 %;
7.0%;;;122.90;58.21 %;
Total;;;211.15;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;250;1096.10;43.37 %;0.00
Maestro;;64;796.20;31.51 %;0.00
MasterCard;;9;101.90;4.03 %;0.00
Visa;;17;232.30;9.19 %;0.00
Visa Electron;;21;300.60;11.90 %;0.00
Total;;361;2527.10;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anna;;;584.90;24.09 %;0.00
Elisa;;;127.80;5.26 %;0.00
Martin;;;307.50;12.66 %;0.00
Robin;;;551.80;22.73 %;0.00
Sebastian;;;856.10;35.26 %;0.00
Slobo;;;0.00;0.00 %;0.00
Total;;;2428.10;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;361;2527.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;1086;1450.70;57.41 %;;0;0.00;;1086;1450.70
Sonstiges;;54;786.00;31.10 %;;0;0.00;;54;786.00
Speisen;;95;290.40;11.49 %;;0;0.00;;95;290.40
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;613;920.20;36.41 %;;0;0.00;;613;920.20
Röstkaffee;;51;713.50;28.23 %;;0;0.00;;51;713.50
Speisen;;95;290.40;11.49 %;;0;0.00;;95;290.40
Kaffee;;294;280.00;11.08 %;;0;0.00;;294;280.00
Hafer;;169;225.10;8.91 %;;0;0.00;;169;225.10
Equipment;;3;72.50;2.87 %;;0;0.00;;3;72.50
Non Kaffee;;10;25.40;1.01 %;;0;0.00;;10;25.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;113;361.60;14.31 %;;0;0.00;;113;361.60
ReCup ausgeben ´;0;205;205.00;8.11 %;;0;0.00;;205;205.00
Cappuccino groß;0;47;178.60;7.07 %;;0;0.00;;47;178.60
ReCup ausgeben;0;132;132.00;5.22 %;;0;0.00;;132;132.00
Flat White;0;33;125.40;4.96 %;;0;0.00;;33;125.40
Caffé Latte;0;35;122.50;4.85 %;;0;0.00;;35;122.50
Kanelbullar;0;33;105.60;4.18 %;;0;0.00;;33;105.60
MUYU 250g;0;9;85.50;3.38 %;;0;0.00;;9;85.50
Hafer Cappuccino;0;23;73.60;2.91 %;;0;0.00;;23;73.60
EL MORENO 250g;0;6;69.00;2.73 %;;0;0.00;;6;69.00
Banana Bread PINE NUT;0;18;68.40;2.71 %;;0;0.00;;18;68.40
MUYU 1000g;0;2;68.00;2.69 %;;0;0.00;;2;68.00
