;von;bis;;
Datum:;25.04.2021;25.04.2021;;
Enthalt Z;311;311;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1028.30;95.79 %;
Auslagen;;;44.00;4.10 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.20;0.11 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;44.00;4.10 %;
19.0%;;;342.20;31.91 %;
7.0%;;;686.10;63.98 %;
Total;;;1072.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;44.00;4.52 %;
19.0%;;;287.53;29.56 %;
7.0%;;;641.17;65.92 %;
Total;;;972.70;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;54.67;54.89 %;
7.0%;;;44.93;45.11 %;
Total;;;99.60;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;109;562.10;52.42 %;0.20
Maestro;;28;281.70;26.27 %;1.00
MasterCard;;7;57.80;5.39 %;0.00
Visa;;7;64.10;5.98 %;0.00
Visa Electron;;12;106.60;9.94 %;0.00
Total;;163;1072.30;100.00 %;1.20
;;;;
Umsatzdetails;;;;;
Anna;;;129.90;12.63 %;0.00
Elisa;;;452.60;44.01 %;1.00
Laura;;;317.20;30.85 %;0.20
Raquel;;;111.00;10.79 %;0.00
Sebastian;;;17.60;1.71 %;0.00
Total;;;1028.30;100.00 %;1.20
;;;;
Stornos;;;;;
vertippt;;4;43.00;100.00 %;
Total;;4;43.00;100.00 %;
;;;;
Rabatte;;;;;
Personal 1/2 Preis;;1;20.70;100.00 %;
Total;;1;20.70;100.00 %;
;;;;
Tische;;;;;
Theke;;163;1072.30;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;638;834.60;77.83 %;;0;0.00;;638;834.60
Speisen;;48;164.40;15.33 %;;0;0.00;;48;164.40
Sonstiges;;9;73.30;6.84 %;;0;0.00;;9;73.30
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;373;460.40;42.94 %;;0;0.00;;373;460.40
Hafer;;81;181.20;16.90 %;;0;0.00;;81;181.20
Kaffee;;176;180.90;16.87 %;;0;0.00;;176;180.90
Speisen;;48;164.40;15.33 %;;0;0.00;;48;164.40
Röstkaffee;;8;66.30;6.18 %;;0;0.00;;8;66.30
Non Kaffee;;8;12.10;1.13 %;;0;0.00;;8;12.10
Equipment;;1;7.00;0.65 %;;0;0.00;;1;7.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;56;179.20;16.71 %;;0;0.00;;56;179.20
ReCup ausgeben ´;0;125;125.00;11.66 %;;0;0.00;;125;125.00
Cappuccino groß;0;25;95.00;8.86 %;;0;0.00;;25;95.00
Flat White auf Eis;0;17;71.40;6.66 %;;0;0.00;;17;71.40
Hafer Cappuccino;0;19;60.80;5.67 %;;0;0.00;;19;60.80
Banana Bread PINE NUT;0;16;60.80;5.67 %;;0;0.00;;16;60.80
ReCup ausgeben;0;57;57.00;5.32 %;;0;0.00;;57;57.00
Flat White;0;13;49.40;4.61 %;;0;0.00;;13;49.40
Caffé Latte;0;12;42.00;3.92 %;;0;0.00;;12;42.00
Hafer Flat White;0;11;41.80;3.90 %;;0;0.00;;11;41.80
Kanelbullar;0;13;41.60;3.88 %;;0;0.00;;13;41.60
ReCup ausgeben*;0;36;36.00;3.36 %;;0;0.00;;36;36.00
Ouro 250g;0;4;36.00;3.36 %;;0;0.00;;4;36.00
ALT Sandwich;0;8;33.60;3.13 %;;0;0.00;;8;33.60
Americano;0;11;27.50;2.56 %;;0;0.00;;11;27.50
Americano groß;0;9;27.00;2.52 %;;0;0.00;;9;27.00
Coldbrew;0;6;20.40;1.90 %;;0;0.00;;6;20.40
Espresso single;0;10;20.00;1.87 %;;0;0.00;;10;20.00
Pain au chocolat;0;7;19.60;1.83 %;;0;0.00;;7;19.60
Hafer Cappuccino Groß;0;5;19.00;1.77 %;;0;0.00;;5;19.00
Doppio Macchiato;0;5;15.00;1.40 %;;0;0.00;;5;15.00
Doppio;0;6;15.00;1.40 %;;0;0.00;;6;15.00
Espresso Macchiato;0;6;15.00;1.40 %;;0;0.00;;6;15.00
Hand Brew;0;3;13.50;1.26 %;;0;0.00;;3;13.50
Hafer Flat White auf ice;0;3;12.60;1.18 %;;0;0.00;;3;12.60
Café Crème groß;0;4;12.00;1.12 %;;0;0.00;;4;12.00
Caffé Latte doppelt;0;3;11.40;1.06 %;;0;0.00;;3;11.40
MUYU 250g;0;1;9.50;0.89 %;;0;0.00;;1;9.50
Croissant;0;4;8.80;0.82 %;;0;0.00;;4;8.80
K‘OH 250g;0;1;7.77;0.72 %;;0;0.00;;1;7.77
Café Crème;0;3;7.50;0.70 %;;0;0.00;;3;7.50
Don Primitivo 250g;0;1;7.27;0.68 %;;0;0.00;;1;7.27
Hafer Caffè Latte;0;2;7.00;0.65 %;;0;0.00;;2;7.00
Kakao;0;2;7.00;0.65 %;;0;0.00;;2;7.00
Hario V60 filter (100) 02;0;1;7.00;0.65 %;;0;0.00;;1;7.00
Hafer Kakao;0;2;7.00;0.65 %;;0;0.00;;2;7.00
LUA CLARA 250g;0;1;5.76;0.54 %;;0;0.00;;1;5.76
Kaltgetränk;0;2;5.60;0.52 %;;0;0.00;;2;5.60
Filterkaffee;0;2;5.00;0.47 %;;0;0.00;;2;5.00
Black tea;0;1;3.50;0.33 %;;0;0.00;;1;3.50
ReCup ausgeben **;0;3;3.00;0.28 %;;0;0.00;;3;3.00
Milchschaum Kids;0;2;0.00;0.00 %;;0;0.00;;2;0.00
ReCup annehmen*;0;3;-3.00;-0.28 %;;0;0.00;;3;-3.00
ReCup annehmen;0;54;-54.00;-5.04 %;;0;0.00;;54;-54.00
ReCup annehmen ´;0;120;-120.00;-11.19 %;;0;0.00;;120;-120.00
;;;;
