;von;bis;;
Datum:;12.08.2021;12.08.2021;;
Enthalt Z;422;422;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1376.30;99.12 %;
Auslagen;;;11.00;0.79 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.20;0.09 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;11.00;0.79 %;
19.0%;;;443.60;31.98 %;
7.0%;;;932.70;67.23 %;
Total;;;1387.30;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;11.00;0.88 %;
19.0%;;;372.71;29.69 %;
7.0%;;;871.75;69.44 %;
Total;;;1255.46;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;70.89;53.77 %;
7.0%;;;60.95;46.23 %;
Total;;;131.84;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;128;791.60;57.06 %;0.00
Maestro;;27;291.00;20.98 %;1.20
MasterCard;;6;59.40;4.28 %;0.00
Visa;;16;180.80;13.03 %;0.00
Visa Electron;;5;64.50;4.65 %;0.00
Total;;182;1387.30;100.00 %;1.20
;;;;
Umsatzdetails;;;;;
Anja;;;761.90;55.36 %;1.20
Emanuel;;;196.80;14.30 %;0.00
Mik;;;417.60;30.34 %;0.00
Total;;;1376.30;100.00 %;1.20
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;182;1387.30;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;308;818.20;58.98 %;;48;146.00;;260;672.20
Sonstiges;;32;414.50;29.88 %;;4;40.00;;28;374.50
Speisen;;56;154.60;11.14 %;;14;40.40;;42;114.20
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Röstkaffee;;32;414.50;29.88 %;;4;40.00;;28;374.50
Milchmischgetränke;;102;280.00;20.18 %;;16;55.00;;86;225.00
Hafer;;77;201.60;14.53 %;;9;35.00;;68;166.60
Summer;;41;169.40;12.21 %;;3;11.80;;38;157.60
Speisen;;56;154.60;11.14 %;;14;40.40;;42;114.20
Kaffee;;59;101.00;7.28 %;;17;37.20;;42;63.80
Non Kaffee;;20;54.60;3.94 %;;2;3.00;;18;51.60
Decaf;;9;11.60;0.84 %;;1;4.00;;8;7.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Hafer Flat White auf Eis;0;27;113.40;8.17 %;;2;8.40;;25;105.00
Cappuccino;0;27;91.80;6.62 %;;8;27.20;;19;64.60
K‘HO 250g;0;5;77.50;5.59 %;;0;0.00;;5;77.50
Flat White auf Eis.;0;15;63.00;4.54 %;;0;0.00;;15;63.00
MUYU 250g;0;6;57.00;4.11 %;;2;19.00;;4;38.00
Flat White auf Eis;0;12;50.40;3.63 %;;0;0.00;;12;50.40
Cold Brew;0;13;49.40;3.56 %;;2;7.60;;11;41.80
Caffé Latte;0;13;46.80;3.37 %;;3;10.80;;10;36.00
Espresso Tonic;0;11;46.20;3.33 %;;1;4.20;;10;42.00
M.Morales 250g;0;4;42.00;3.03 %;;2;21.00;;2;21.00
