;von;bis;;
Datum:;02.09.2021;02.09.2021;;
Enthalt Z;443;443;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1455.80;100.20 %;
Auslagen;;;-3.00;-0.21 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.10;0.01 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-3.00;-0.21 %;
19.0%;;;522.40;35.96 %;
7.0%;;;933.40;64.25 %;
Total;;;1452.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-3.00;-0.23 %;
19.0%;;;438.91;33.54 %;
7.0%;;;872.52;66.68 %;
Total;;;1308.43;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;83.49;57.83 %;
7.0%;;;60.88;42.17 %;
Total;;;144.37;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;182;913.40;62.87 %;0.00
Maestro;;35;285.20;19.63 %;0.00
MasterCard;;7;67.50;4.65 %;0.00
Mehrzweckgutschein;;3;19.70;1.36 %;0.00
Visa;;12;100.10;6.89 %;0.00
Visa Electron;;7;66.90;4.60 %;0.10
Total;;246;1452.80;100.00 %;0.10
;;;;
Umsatzdetails;;;;;
Anja;;;669.50;45.99 %;0.00
Anna;;;625.10;42.94 %;0.00
Mik;;;97.20;6.68 %;0.10
Robin;;;64.00;4.40 %;0.00
Total;;;1455.80;100.00 %;0.10
;;;;
Stornos;;;;;
vertippt;;7;14.20;100.00 %;
Total;;7;14.20;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;5.00;100.00 %;
Total;;1;5.00;100.00 %;
;;;;
Tische;;;;;
Theke;;241;1452.80;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;403;985.80;67.86 %;;1;4.20;;402;981.60
Sonstiges;;20;240.00;16.52 %;;0;0.00;;20;240.00
Speisen;;76;227.00;15.62 %;;0;0.00;;76;227.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;174;371.60;25.58 %;;0;0.00;;174;371.60
Hafer;;107;322.80;22.22 %;;1;4.20;;106;318.60
Röstkaffee;;20;240.00;16.52 %;;0;0.00;;20;240.00
Speisen;;76;227.00;15.62 %;;0;0.00;;76;227.00
Kaffee;;82;156.60;10.78 %;;0;0.00;;82;156.60
Summer;;21;87.80;6.04 %;;0;0.00;;21;87.80
Non Kaffee;;15;38.60;2.66 %;;0;0.00;;15;38.60
Decaf;;4;8.40;0.58 %;;0;0.00;;4;8.40
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;65;221.00;15.21 %;;0;0.00;;65;221.00
Hafer Cappuccino;0;29;98.60;6.79 %;;0;0.00;;29;98.60
Banana Bread PINE NUT;0;18;68.40;4.71 %;;0;0.00;;18;68.40
Hafer Flat White auf Eis;0;15;63.00;4.34 %;;1;4.20;;14;58.80
Americano;0;21;58.80;4.05 %;;0;0.00;;21;58.80
Hafer Cappuccino Groß;0;14;58.80;4.05 %;;0;0.00;;14;58.80
Hafer Flat White;0;13;49.40;3.40 %;;0;0.00;;13;49.40
Kanelbullar;0;15;48.00;3.30 %;;0;0.00;;15;48.00
Cappuccino groß;0;9;37.80;2.60 %;;0;0.00;;9;37.80
Caffé Latte;0;10;36.00;2.48 %;;0;0.00;;10;36.00
MUYU 250g;0;4;35.62;2.45 %;;0;0.00;;4;35.62
German Carranza 250g;0;2;35.00;2.41 %;;0;0.00;;2;35.00
EL MORENO 250g;0;3;34.50;2.37 %;;0;0.00;;3;34.50
Flat White;0;9;34.20;2.35 %;;0;0.00;;9;34.20
Flat White auf Eis;0;8;33.60;2.31 %;;0;0.00;;8;33.60
Croissant;0;15;33.00;2.27 %;;0;0.00;;15;33.00
ReCup ausgeben ´;0;31;31.00;2.13 %;;0;0.00;;31;31.00
Shakisso 250g;0;2;31.00;2.13 %;;0;0.00;;2;31.00
Lucia Dias 250g;0;3;28.88;1.99 %;;0;0.00;;3;28.88
Cold Brew;0;7;26.60;1.83 %;;0;0.00;;7;26.60
Filterkaffee;0;10;26.00;1.79 %;;0;0.00;;10;26.00
Flat White auf Eis.;0;6;25.20;1.73 %;;0;0.00;;6;25.20
Pain au Chocolat;0;9;25.20;1.73 %;;0;0.00;;9;25.20
Espresso Tonic;0;6;25.20;1.73 %;;0;0.00;;6;25.20
Villa Maria 250g;0;2;25.00;1.72 %;;0;0.00;;2;25.00
ATSABE 250g;0;2;23.00;1.58 %;;0;0.00;;2;23.00
Hafer Caffè Latte;0;6;21.60;1.49 %;;0;0.00;;6;21.60
Brownie;0;6;19.20;1.32 %;;0;0.00;;6;19.20
Scone;0;6;19.20;1.32 %;;0;0.00;;6;19.20
Americano groß;0;6;18.00;1.24 %;;0;0.00;;6;18.00
ReCup ausgeben*;0;17;17.00;1.17 %;;0;0.00;;17;17.00
Espresso Single;0;7;15.40;1.06 %;;0;0.00;;7;15.40
MIKOLAJ Limonade;0;4;15.20;1.05 %;;0;0.00;;4;15.20
Apfelschorle;0;5;15.00;1.03 %;;0;0.00;;5;15.00
Espresso Macchiato;0;6;14.40;0.99 %;;0;0.00;;6;14.40
Cookie;0;7;14.00;0.96 %;;0;0.00;;7;14.00
MUYU BOTTLE 365;0;1;13.50;0.93 %;;0;0.00;;1;13.50
Rukira  250g;0;1;13.50;0.93 %;;0;0.00;;1;13.50
Espresso Doppio;0;5;13.00;0.89 %;;0;0.00;;5;13.00
Kakao groß;0;3;12.00;0.83 %;;0;0.00;;3;12.00
Nimbus Cocktail;0;2;10.80;0.74 %;;0;0.00;;2;10.80
Hand Brew;0;2;9.20;0.63 %;;0;0.00;;2;9.20
Hafer Caffè Latte groß;0;2;8.00;0.55 %;;0;0.00;;2;8.00
ReCup ausgeben;0;7;7.00;0.48 %;;0;0.00;;7;7.00
Hafer Kinder Kakao;0;2;6.40;0.44 %;;0;0.00;;2;6.40
Espresso Doppio Macchiato;0;2;6.00;0.41 %;;0;0.00;;2;6.00
Green Tea;0;1;4.60;0.32 %;;0;0.00;;1;4.60
Hafer Kakao groß;0;1;4.00;0.28 %;;0;0.00;;1;4.00
Caffé Latte doppelt;0;1;4.00;0.28 %;;0;0.00;;1;4.00
Coldbrew;0;1;3.80;0.26 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.25 %;;0;0.00;;1;3.60
Hafer Espresso Macchiato groß;0;1;3.00;0.21 %;;0;0.00;;1;3.00
Decaf Americano;0;1;2.80;0.19 %;;0;0.00;;1;2.80
Mineralwasser Sprudel;0;1;2.80;0.19 %;;0;0.00;;1;2.80
ReCup ausgeben* 1;0;2;2.00;0.14 %;;0;0.00;;2;2.00
Deckel ReCup;0;1;1.00;0.07 %;;0;0.00;;1;1.00
ReCup ausgeben **;0;1;1.00;0.07 %;;0;0.00;;1;1.00
Milchschaum Kids;0;1;0.00;0.00 %;;0;0.00;;1;0.00
ReCup annehmen **;0;1;-1.00;-0.07 %;;0;0.00;;1;-1.00
ReCup annehmen*;0;7;-7.00;-0.48 %;;0;0.00;;7;-7.00
ReCup annehmen;0;15;-15.00;-1.03 %;;0;0.00;;15;-15.00
ReCup annehmen ´;0;38;-38.00;-2.62 %;;0;0.00;;38;-38.00
;;;;
