;von;bis;;
Datum:;11.09.2021;11.09.2021;;
Enthalt Z;452;452;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;2117.60;99.75 %;
Auslagen;;;3.00;0.14 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;2.40;0.11 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;3.00;0.14 %;
19.0%;;;697.80;32.91 %;
7.0%;;;1419.80;66.95 %;
Total;;;2120.60;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;3.00;0.16 %;
19.0%;;;586.37;30.60 %;
7.0%;;;1327.10;69.25 %;
Total;;;1916.47;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;111.43;54.59 %;
7.0%;;;92.70;45.41 %;
Total;;;204.13;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;204;1167.90;55.07 %;0.00
Maestro;;47;482.20;22.74 %;0.80
MasterCard;;11;105.40;4.97 %;0.40
Mehrzweckgutschein;;1;12.80;0.60 %;0.00
Visa;;25;223.80;10.55 %;1.20
Visa Electron;;11;128.50;6.06 %;0.00
Total;;299;2120.60;100.00 %;2.40
;;;;
Umsatzdetails;;;;;
Anja;;;237.30;11.21 %;0.00
Anna;;;250.80;11.84 %;0.00
Annacotta;;;869.20;41.05 %;1.60
Lora;;;743.90;35.13 %;0.80
Mik;;;16.40;0.77 %;0.00
Total;;;2117.60;100.00 %;2.40
;;;;
Stornos;;;;;
vertippt;;2;8.00;100.00 %;
Total;;2;8.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;299;2120.60;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;562;1359.00;64.09 %;;20;67.20;;542;1291.80
Sonstiges;;27;395.00;18.63 %;;0;0.00;;27;395.00
Speisen;;117;366.60;17.29 %;;5;10.60;;112;356.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;284;687.20;32.41 %;;12;41.20;;272;646.00
Röstkaffee;;25;376.00;17.73 %;;0;0.00;;25;376.00
Speisen;;117;366.60;17.29 %;;5;10.60;;112;356.00
Hafer;;121;312.40;14.73 %;;1;3.80;;120;308.60
Kaffee;;103;227.20;10.71 %;;3;7.00;;100;220.20
Non Kaffee;;39;72.40;3.41 %;;4;15.20;;35;57.20
Summer;;11;48.20;2.27 %;;0;0.00;;11;48.20
Equipment;;2;19.00;0.90 %;;0;0.00;;2;19.00
Decaf;;4;11.60;0.55 %;;0;0.00;;4;11.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;77;261.80;12.35 %;;9;30.60;;68;231.20
Cappuccino groß;0;30;126.00;5.94 %;;0;0.00;;30;126.00
Hafer Cappuccino;0;29;98.60;4.65 %;;0;0.00;;29;98.60
Hafer Cappuccino Groß;0;19;79.80;3.76 %;;0;0.00;;19;79.80
Caffé Latte;0;22;79.20;3.73 %;;1;3.60;;21;75.60
Flat White;0;20;76.00;3.58 %;;1;3.80;;19;72.20
Americano;0;25;70.00;3.30 %;;0;0.00;;25;70.00
MUYU 1000g;0;2;68.00;3.21 %;;0;0.00;;2;68.00
Flat White auf Eis;0;16;67.20;3.17 %;;0;0.00;;16;67.20
Banana Bread PINE NUT;0;16;60.80;2.87 %;;0;0.00;;16;60.80
ReCup ausgeben ´;0;60;60.00;2.83 %;;0;0.00;;60;60.00
Hafer Flat White;0;15;57.00;2.69 %;;1;3.80;;14;53.20
