;von;bis;;
Datum:;15.09.2021;15.09.2021;;
Enthalt Z;456;456;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1132.10;98.14 %;
Auslagen;;;20.00;1.73 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.40;0.12 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;20.00;1.74 %;
19.0%;;;380.60;33.04 %;
7.0%;;;751.50;65.23 %;
Total;;;1152.10;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;20.00;1.92 %;
19.0%;;;319.88;30.69 %;
7.0%;;;702.46;67.39 %;
Total;;;1042.34;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;60.72;55.32 %;
7.0%;;;49.04;44.68 %;
Total;;;109.76;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;115;647.50;56.20 %;0.00
Maestro;;33;308.30;26.76 %;0.00
MasterCard;;3;21.60;1.87 %;0.00
Visa;;9;86.30;7.49 %;1.40
Visa Electron;;11;88.40;7.67 %;0.00
Total;;171;1152.10;100.00 %;1.40
;;;;
Umsatzdetails;;;;;
Anja;;;145.40;12.84 %;0.00
Anna;;;264.80;23.39 %;0.00
Emanuel;;;141.70;12.52 %;0.40
Lora;;;580.20;51.25 %;1.00
Total;;;1132.10;100.00 %;1.40
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;4.50;100.00 %;
Total;;1;4.50;100.00 %;
;;;;
Tische;;;;;
Theke;;171;1152.10;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;312;698.60;60.64 %;;28;83.00;;284;615.60
Sonstiges;;18;284.50;24.69 %;;0;0.00;;18;284.50
Speisen;;57;169.00;14.67 %;;13;35.20;;44;133.80
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;146;345.00;29.95 %;;12;43.60;;134;301.40
Röstkaffee;;18;284.50;24.69 %;;0;0.00;;18;284.50
Hafer;;108;223.40;19.39 %;;5;17.40;;103;206.00
Speisen;;57;169.00;14.67 %;;13;35.20;;44;133.80
Kaffee;;37;90.80;7.88 %;;7;18.20;;30;72.60
Decaf;;7;16.60;1.44 %;;0;0.00;;7;16.60
Non Kaffee;;12;15.20;1.32 %;;4;3.80;;8;11.40
Summer;;2;7.60;0.66 %;;0;0.00;;2;7.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;54;183.60;15.94 %;;7;23.80;;47;159.80
Hafer Cappuccino;0;28;95.20;8.26 %;;4;13.60;;24;81.60
MUYU 1000g;0;2;68.00;5.90 %;;0;0.00;;2;68.00
Hafer Flat White;0;14;53.20;4.62 %;;1;3.80;;13;49.40
MUYU 250g;0;5;47.50;4.12 %;;0;0.00;;5;47.50
Banana Bread PINE NUT;0;12;45.60;3.96 %;;2;7.60;;10;38.00
Cappuccino groß;0;10;42.00;3.65 %;;1;4.20;;9;37.80
Flat White;0;11;41.80;3.63 %;;2;7.60;;9;34.20
Kanelbullar;0;13;41.60;3.61 %;;1;3.20;;12;38.40
Caffé Latte;0;11;39.60;3.44 %;;0;0.00;;11;39.60
Lucia Dias 1000g;0;1;34.00;2.95 %;;0;0.00;;1;34.00
Americano;0;12;33.60;2.92 %;;3;8.40;;9;25.20
Hafer Cappuccino Groß;0;8;33.60;2.92 %;;0;0.00;;8;33.60
ReCup ausgeben ´;0;32;32.00;2.78 %;;0;0.00;;32;32.00
ReCup ausgeben*;0;29;29.00;2.52 %;;0;0.00;;29;29.00
Hafer Caffè Latte;0;7;25.20;2.19 %;;0;0.00;;7;25.20
Pain au Chocolat;0;9;25.20;2.19 %;;1;2.80;;8;22.40
Croissant;0;11;24.20;2.10 %;;6;13.20;;5;11.00
EL MORENO 250g;0;2;23.00;2.00 %;;0;0.00;;2;23.00
Izuba 500g;0;1;22.00;1.91 %;;0;0.00;;1;22.00
Filterkaffee;0;7;18.20;1.58 %;;2;5.20;;5;13.00
MUYU 500g;0;1;18.00;1.56 %;;0;0.00;;1;18.00
Scone;0;5;16.00;1.39 %;;2;6.40;;3;9.60
Lucia Dias 500g;0;1;13.50;1.17 %;;0;0.00;;1;13.50
Rukira  250g;0;1;13.50;1.17 %;;0;0.00;;1;13.50
Espresso Single;0;6;13.20;1.15 %;;1;2.20;;5;11.00
Flat White auf Eis;0;3;12.60;1.09 %;;0;0.00;;3;12.60
Villa Maria 250g;0;1;12.50;1.08 %;;0;0.00;;1;12.50
