;von;bis;;
Datum:;16.09.2021;16.09.2021;;
Enthalt Z;457;457;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1374.40;100.44 %;
Auslagen;;;-6.00;-0.44 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.00;0.00 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;-6.00;-0.44 %;
19.0%;;;516.40;37.74 %;
7.0%;;;858.00;62.70 %;
Total;;;1368.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;-6.00;-0.49 %;
19.0%;;;433.88;35.28 %;
7.0%;;;801.98;65.21 %;
Total;;;1229.86;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;82.52;59.56 %;
7.0%;;;56.02;40.44 %;
Total;;;138.54;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;130;754.40;55.13 %;0.00
Maestro;;38;331.40;24.22 %;0.00
MasterCard;;4;65.70;4.80 %;0.00
Visa;;15;120.20;8.78 %;0.00
Visa Electron;;10;96.70;7.07 %;0.00
Total;;197;1368.40;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Anja;;;455.60;33.15 %;0.00
Anna;;;606.20;44.11 %;0.00
Emanuel;;;190.20;13.84 %;0.00
Mik;;;87.40;6.36 %;0.00
Robin;;;35.00;2.55 %;0.00
Total;;;1374.40;100.00 %;0.00
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;195;1368.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;320;854.60;62.45 %;;35;114.60;;285;740.00
Sonstiges;;17;263.00;19.22 %;;1;11.50;;16;251.50
Speisen;;84;250.80;18.33 %;;15;45.20;;69;205.60
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;169;415.40;30.36 %;;19;63.80;;150;351.60
Speisen;;84;250.80;18.33 %;;15;45.20;;69;205.60
Röstkaffee;;15;227.00;16.59 %;;1;11.50;;14;215.50
Hafer;;62;211.00;15.42 %;;9;31.60;;53;179.40
Kaffee;;76;179.20;13.10 %;;7;19.20;;69;160.00
Equipment;;2;36.00;2.63 %;;0;0.00;;2;36.00
Non Kaffee;;9;31.40;2.29 %;;0;0.00;;9;31.40
Summer;;4;17.60;1.29 %;;0;0.00;;4;17.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;69;234.60;17.14 %;;10;34.00;;59;200.60
Hafer Cappuccino;0;29;98.60;7.21 %;;7;23.80;;22;74.80
Banana Bread PINE NUT;0;19;72.20;5.28 %;;4;15.20;;15;57.00
Americano;0;25;70.00;5.12 %;;3;8.40;;22;61.60
MUYU 1000g;0;2;68.00;4.97 %;;0;0.00;;2;68.00
Caffé Latte;0;17;61.20;4.47 %;;1;3.60;;16;57.60
Flat White;0;15;57.00;4.17 %;;5;19.00;;10;38.00
Pain au Chocolat;0;18;50.40;3.68 %;;8;22.40;;10;28.00
Cappuccino groß;0;11;46.20;3.38 %;;1;4.20;;10;42.00
Kanelbullar;0;14;44.80;3.27 %;;1;3.20;;13;41.60
Hafer Flat White;0;11;41.80;3.05 %;;0;0.00;;11;41.80
Tasse S;0;2;36.00;2.63 %;;0;0.00;;2;36.00
Croissant;0;15;33.00;2.41 %;;2;4.40;;13;28.60
