;von;bis;;
Datum:;21.09.2021;21.09.2021;;
Enthalt Z;462;462;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1333.80;99.08 %;
Auslagen;;;11.00;0.82 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.40;0.10 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;11.00;0.82 %;
19.0%;;;496.80;36.94 %;
7.0%;;;837.00;62.24 %;
Total;;;1344.80;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;11.00;0.91 %;
19.0%;;;417.44;34.48 %;
7.0%;;;782.35;64.61 %;
Total;;;1210.79;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;79.36;59.22 %;
7.0%;;;54.65;40.78 %;
Total;;;134.01;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;151;826.40;61.45 %;0.00
Maestro;;37;319.50;23.76 %;1.40
MasterCard;;5;40.20;2.99 %;0.00
Mehrzweckgutschein;;2;8.00;0.59 %;0.00
Visa;;11;65.30;4.86 %;0.00
Visa Electron;;11;85.40;6.35 %;0.00
Total;;217;1344.80;100.00 %;1.40
;;;;
Umsatzdetails;;;;;
Annacotta;;;636.50;47.72 %;0.00
Emanuel;;;24.40;1.83 %;0.00
Lora;;;540.90;40.55 %;1.40
Mik;;;21.00;1.57 %;0.00
Robin;;;111.00;8.32 %;0.00
Total;;;1333.80;100.00 %;1.40
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;216;1344.80;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;385;905.00;67.30 %;;19;63.20;;366;841.80
Speisen;;82;238.80;17.76 %;;6;17.80;;76;221.00
Sonstiges;;16;201.00;14.95 %;;1;9.50;;15;191.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;179;435.40;32.38 %;;9;33.00;;170;402.40
Speisen;;82;238.80;17.76 %;;6;17.80;;76;221.00
Hafer;;103;235.00;17.47 %;;4;15.00;;99;220.00
Röstkaffee;;16;201.00;14.95 %;;1;9.50;;15;191.50
Kaffee;;86;192.00;14.28 %;;6;15.20;;80;176.80
Non Kaffee;;14;31.60;2.35 %;;0;0.00;;14;31.60
Decaf;;2;7.20;0.54 %;;0;0.00;;2;7.20
Summer;;1;3.80;0.28 %;;0;0.00;;1;3.80
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;64;217.60;16.18 %;;3;10.20;;61;207.40
Hafer Cappuccino;0;32;108.80;8.09 %;;2;6.80;;30;102.00
Americano;0;26;72.80;5.41 %;;2;5.60;;24;67.20
Banana Bread PINE NUT;0;19;72.20;5.37 %;;2;7.60;;17;64.60
MUYU 250g;0;7;66.50;4.94 %;;1;9.50;;6;57.00
Caffé Latte;0;17;61.20;4.55 %;;4;14.40;;13;46.80
Cappuccino groß;0;14;58.80;4.37 %;;1;4.20;;13;54.60
Flat White;0;14;53.20;3.96 %;;0;0.00;;14;53.20
Croissant;0;21;46.20;3.44 %;;1;2.20;;20;44.00
Hafer Cappuccino Groß;0;10;42.00;3.12 %;;0;0.00;;10;42.00
Pain au Chocolat;0;14;39.20;2.91 %;;1;2.80;;13;36.40
Kanelbullar;0;12;38.40;2.86 %;;0;0.00;;12;38.40
ReCup ausgeben ´;0;35;35.00;2.60 %;;0;0.00;;35;35.00
MUYU 1000g;0;1;34.00;2.53 %;;0;0.00;;1;34.00
Filterkaffee;0;12;31.20;2.32 %;;1;2.60;;11;28.60
