;von;bis;;
Datum:;26.09.2021;26.09.2021;;
Enthalt Z;467;467;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1776.40;99.18 %;
Auslagen;;;13.00;0.73 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;1.70;0.09 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;13.00;0.73 %;
19.0%;;;507.40;28.36 %;
7.0%;;;1269.00;70.92 %;
Total;;;1789.40;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;13.00;0.80 %;
19.0%;;;426.37;26.23 %;
7.0%;;;1186.13;72.97 %;
Total;;;1625.50;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;81.03;49.44 %;
7.0%;;;82.87;50.56 %;
Total;;;163.90;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;147;925.80;51.74 %;0.00
Maestro;;41;443.20;24.77 %;1.00
MasterCard;;7;51.40;2.87 %;0.00
Visa;;20;194.30;10.86 %;0.70
Visa Electron;;13;174.70;9.76 %;0.00
Total;;228;1789.40;100.00 %;1.70
;;;;
Umsatzdetails;;;;;
Anna;;;100.90;5.68 %;0.00
Annacotta;;;623.90;35.12 %;1.00
Lora;;;1011.70;56.95 %;0.70
Raquel;;;28.40;1.60 %;0.00
Robin;;;11.50;0.65 %;0.00
Total;;;1776.40;100.00 %;1.70
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
Theke;;228;1789.40;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;416;1022.40;57.14 %;;12;20.40;;404;1002.00
Speisen;;128;442.50;24.73 %;;4;15.50;;124;427.00
Sonstiges;;20;324.50;18.13 %;;0;0.00;;20;324.50
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;207;474.80;26.53 %;;12;20.40;;195;454.40
Speisen;;128;442.50;24.73 %;;4;15.50;;124;427.00
Röstkaffee;;20;324.50;18.13 %;;0;0.00;;20;324.50
Hafer;;77;235.20;13.14 %;;0;0.00;;77;235.20
Kaffee;;89;206.60;11.55 %;;0;0.00;;89;206.60
Summer;;12;49.60;2.77 %;;0;0.00;;12;49.60
Non Kaffee;;25;39.20;2.19 %;;0;0.00;;25;39.20
Decaf;;6;17.00;0.95 %;;0;0.00;;6;17.00
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;69;234.60;13.11 %;;2;6.80;;67;227.80
Hafer Cappuccino;0;24;81.60;4.56 %;;0;0.00;;24;81.60
Flat White;0;20;76.00;4.25 %;;3;11.40;;17;64.60
MUYU 1000g;0;2;68.00;3.80 %;;0;0.00;;2;68.00
Kanelbullar;0;20;64.00;3.58 %;;0;0.00;;20;64.00
Banana Bread PINE NUT;0;16;60.80;3.40 %;;1;3.80;;15;57.00
Americano;0;20;56.00;3.13 %;;0;0.00;;20;56.00
Kuchen Maple Carrot;0;11;52.80;2.95 %;;0;0.00;;11;52.80
Hafer Flat White;0;13;49.40;2.76 %;;0;0.00;;13;49.40
Maracuja Cake *;0;10;49.00;2.74 %;;1;4.90;;9;44.10
Lemon Poppy Cake;0;10;48.00;2.68 %;;1;4.80;;9;43.20
MUYU 250g;0;5;47.50;2.65 %;;0;0.00;;5;47.50
Hafer Cappuccino Groß;0;11;46.20;2.58 %;;0;0.00;;11;46.20
Cappuccino groß;0;10;42.00;2.35 %;;0;0.00;;10;42.00
Caffé Latte;0;11;39.60;2.21 %;;0;0.00;;11;39.60
Croissant;0;18;39.60;2.21 %;;0;0.00;;18;39.60
Pain au Chocolat;0;14;39.20;2.19 %;;0;0.00;;14;39.20
Espresso Macchiato;0;16;38.40;2.15 %;;0;0.00;;16;38.40
ReCup ausgeben ´;0;36;36.00;2.01 %;;0;0.00;;36;36.00
MUYU 500g;0;2;36.00;2.01 %;;0;0.00;;2;36.00
German Carranza 250g;0;2;35.00;1.96 %;;0;0.00;;2;35.00
Filterkaffee;0;13;33.80;1.89 %;;0;0.00;;13;33.80
Flat White auf Eis;0;8;33.60;1.88 %;;0;0.00;;8;33.60
Raspberry Cake vegan;0;9;28.80;1.61 %;;0;0.00;;9;28.80
Caffé Latte doppelt;0;7;28.00;1.56 %;;1;4.00;;6;24.00
Quiche;0;7;26.60;1.49 %;;0;0.00;;7;26.60
Espresso Tonic;0;6;25.20;1.41 %;;0;0.00;;6;25.20
Villa Maria 250g;0;2;25.00;1.40 %;;0;0.00;;2;25.00
Americano groß;0;8;24.00;1.34 %;;0;0.00;;8;24.00
Villa Maria 500g;0;1;24.00;1.34 %;;0;0.00;;1;24.00
Espresso Single;0;10;22.00;1.23 %;;0;0.00;;10;22.00
EL MORENO 500g;0;1;22.00;1.23 %;;0;0.00;;1;22.00
Hafer Caffè Latte;0;6;21.60;1.21 %;;0;0.00;;6;21.60
Cold Brew;0;5;19.00;1.06 %;;0;0.00;;5;19.00
MIKOLAJ Limonade;0;5;19.00;1.06 %;;0;0.00;;5;19.00
Lucia Dias 500g;0;1;18.00;1.01 %;;0;0.00;;1;18.00
Kinder Kakao;0;5;16.00;0.89 %;;1;3.20;;4;12.80
Cookie;0;8;16.00;0.89 %;;1;2.00;;7;14.00
Espresso Doppio;0;6;15.60;0.87 %;;0;0.00;;6;15.60
Shakisso 250g;0;1;15.50;0.87 %;;0;0.00;;1;15.50
ReCup ausgeben*;0;15;15.00;0.84 %;;0;0.00;;15;15.00
Brownie;0;4;12.80;0.72 %;;0;0.00;;4;12.80
ATSABE 250g;0;1;11.50;0.64 %;;0;0.00;;1;11.50
EL CARMEN Decaf 250g;0;1;11.50;0.64 %;;0;0.00;;1;11.50
M.Morales 250g;0;1;10.50;0.59 %;;0;0.00;;1;10.50
Green Tea;0;2;9.20;0.51 %;;0;0.00;;2;9.20
Espresso Doppio Macchiato;0;3;9.00;0.50 %;;0;0.00;;3;9.00
Hafer Flat White auf Eis;0;2;8.40;0.47 %;;0;0.00;;2;8.40
Kakao groß;0;2;8.00;0.45 %;;0;0.00;;2;8.00
Hafer Caffè Latte groß;0;2;8.00;0.45 %;;0;0.00;;2;8.00
ReCup ausgeben;0;6;6.00;0.34 %;;0;0.00;;6;6.00
Nimbus Cocktail;0;1;5.40;0.30 %;;0;0.00;;1;5.40
ReCup ausgeben **;0;5;5.00;0.28 %;;0;0.00;;5;5.00
Maracuja Cake;0;1;4.90;0.27 %;;0;0.00;;1;4.90
Lemon Verbena Tea;0;1;4.60;0.26 %;;0;0.00;;1;4.60
Black Tea;0;1;4.60;0.26 %;;0;0.00;;1;4.60
Hand Brew;0;1;4.60;0.26 %;;0;0.00;;1;4.60
Decaf Cappuccino Groß;0;1;4.20;0.23 %;;0;0.00;;1;4.20
Hafer Kakao groß;0;1;4.00;0.22 %;;0;0.00;;1;4.00
Decaf Flat White;0;1;3.80;0.21 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.20 %;;0;0.00;;1;3.60
Decaf Cappuccino;0;1;3.40;0.19 %;;0;0.00;;1;3.40
Hafer Espresso Macchiato groß;0;1;3.00;0.17 %;;0;0.00;;1;3.00
Mineralwasser Sprudel;0;1;2.80;0.16 %;;0;0.00;;1;2.80
ReCup ausgeben* 1;0;2;2.00;0.11 %;;0;0.00;;2;2.00
Extra Shot;0;2;1.20;0.07 %;;0;0.00;;2;1.20
Milchschaum Kids;0;4;0.00;0.00 %;;0;0.00;;4;0.00
ReCup annehmen*;0;2;-2.00;-0.11 %;;0;0.00;;2;-2.00
ReCup annehmen;0;4;-4.00;-0.22 %;;0;0.00;;4;-4.00
