;von;bis;;
Datum:;29.09.2021;29.09.2021;;
Enthalt Z;470;470;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;1478.70;98.26 %;
Auslagen;;;26.00;1.73 %;
Bedienungsgeld;;;0.00;0.00 %;
Trinkgeld;;;0.20;0.01 %;
;;;;
Umsatz (Brutto);;;;;
0.0%;;;26.00;1.73 %;
19.0%;;;516.80;34.35 %;
7.0%;;;961.90;63.93 %;
Total;;;1504.70;100.00 %;
;;;;
Umsatz (Netto);;;;;
0.0%;;;26.00;1.91 %;
19.0%;;;434.24;31.95 %;
7.0%;;;899.09;66.14 %;
Total;;;1359.33;100.00 %;
;;;;
Steuern;;;;;
0.0%;;;0.00;0.00 %;
19.0%;;;82.56;56.79 %;
7.0%;;;62.81;43.21 %;
Total;;;145.37;100.00 %;
;;;;
Zahlungsarten;;;;;
Bar;;144;816.80;54.28 %;0.00
Maestro;;47;409.70;27.23 %;0.20
MasterCard;;7;81.90;5.44 %;0.00
Visa;;11;104.80;6.96 %;0.00
Visa Electron;;13;91.50;6.08 %;0.00
Total;;222;1504.70;100.00 %;0.20
;;;;
Umsatzdetails;;;;;
Emanuel;;;267.60;18.10 %;0.00
Lena P.;;;378.50;25.60 %;0.00
Raquel;;;78.40;5.30 %;0.00
Robin;;;754.20;51.00 %;0.20
Total;;;1478.70;100.00 %;0.20
;;;;
Stornos;;;;;
Total;;0;0.00;100.00 %;
;;;;
Rabatte;;;;;
Staff 25%;;1;3.10;100.00 %;
Total;;1;3.10;100.00 %;
;;;;
Tische;;;;;
Theke;;220;1504.70;100.00 %;
;;;;
;;;;
Oberwarengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Getränke;;341;966.80;64.25 %;;38;122.20;;303;844.60
Sonstiges;;27;349.90;23.25 %;;0;0.00;;27;349.90
Speisen;;65;188.00;12.49 %;;11;31.00;;54;157.00
;;;;
Warengruppen;Total;;;;;In-Haus;;;Ausser-Haus;
Milchmischgetränke;;159;493.40;32.79 %;;17;60.20;;142;433.20
Röstkaffee;;25;334.90;22.26 %;;0;0.00;;25;334.90
Hafer;;71;232.00;15.42 %;;8;29.00;;63;203.00
Speisen;;65;188.00;12.49 %;;11;31.00;;54;157.00
Kaffee;;84;167.60;11.14 %;;10;26.00;;74;141.60
Non Kaffee;;20;44.20;2.94 %;;2;2.80;;18;41.40
Summer;;5;21.80;1.45 %;;0;0.00;;5;21.80
Gutscheine;;2;15.00;1.00 %;;0;0.00;;2;15.00
Decaf;;2;7.80;0.52 %;;1;4.20;;1;3.60
;;;;
Produkte;Total;;;;;In-Haus;;;Ausser-Haus;
Cappuccino;0;60;204.00;13.56 %;;9;30.60;;51;173.40
Hafer Cappuccino;0;28;95.20;6.33 %;;2;6.80;;26;88.40
Caffé Latte;0;22;79.20;5.26 %;;1;3.60;;21;75.60
Cappuccino groß;0;18;75.60;5.02 %;;1;4.20;;17;71.40
Flat White;0;18;68.40;4.55 %;;3;11.40;;15;57.00
Hafer Flat White;0;16;60.80;4.04 %;;2;7.60;;14;53.20
Villa Maria 250g;0;5;59.40;3.95 %;;0;0.00;;5;59.40
Americano;0;21;58.80;3.91 %;;2;5.60;;19;53.20
MUYU 250g;0;6;57.00;3.79 %;;0;0.00;;6;57.00
Pain au Chocolat;0;14;39.20;2.61 %;;4;11.20;;10;28.00
Kanelbullar;0;12;38.40;2.55 %;;3;9.60;;9;28.80
MUYU 500g;0;2;36.00;2.39 %;;0;0.00;;2;36.00
ATSABE 250g;0;3;34.50;2.29 %;;0;0.00;;3;34.50
Banana Bread PINE NUT;0;9;34.20;2.27 %;;0;0.00;;9;34.20
Filterkaffee;0;12;31.20;2.07 %;;1;2.60;;11;28.60
Hafer Cappuccino Groß;0;6;25.20;1.67 %;;0;0.00;;6;25.20
Espresso Single;0;11;24.20;1.61 %;;1;2.20;;10;22.00
ReCup ausgeben ´;0;22;22.00;1.46 %;;0;0.00;;22;22.00
Cookie;0;11;22.00;1.46 %;;1;2.00;;10;20.00
ATSABE 500g;0;1;22.00;1.46 %;;0;0.00;;1;22.00
EL CARMEN Decaf 500g;0;1;22.00;1.46 %;;0;0.00;;1;22.00
Izuba 500g;0;1;22.00;1.46 %;;0;0.00;;1;22.00
Espresso Macchiato;0;9;21.60;1.44 %;;4;9.60;;5;12.00
Croissant;0;9;19.80;1.32 %;;2;4.40;;7;15.40
Brownie;0;6;19.20;1.28 %;;0;0.00;;6;19.20
MIKOLAJ Limonade;0;5;19.00;1.26 %;;0;0.00;;5;19.00
German Carranza 250g;0;1;17.50;1.16 %;;0;0.00;;1;17.50
Caffé Latte doppelt;0;4;16.00;1.06 %;;1;4.00;;3;12.00
Shakisso 250g;0;1;15.50;1.03 %;;0;0.00;;1;15.50
Quiche;0;4;15.20;1.01 %;;1;3.80;;3;11.40
Espresso Doppio Macchiato;0;5;15.00;1.00 %;;1;3.00;;4;12.00
Hafer Espresso Macchiato groß;0;5;15.00;1.00 %;;1;3.00;;4;12.00
Americano groß;0;5;15.00;1.00 %;;1;3.00;;4;12.00
Hafer Caffè Latte;0;4;14.40;0.96 %;;1;3.60;;3;10.80
MUYU BOTTLE 365;0;1;13.50;0.90 %;;0;0.00;;1;13.50
Rukira  250g;0;1;13.50;0.90 %;;0;0.00;;1;13.50
Flat White auf Eis;0;3;12.60;0.84 %;;0;0.00;;3;12.60
Espresso Tonic;0;3;12.60;0.84 %;;0;0.00;;3;12.60
Kakao groß;0;3;12.00;0.80 %;;0;0.00;;3;12.00
Izuba 250g;0;1;11.50;0.76 %;;0;0.00;;1;11.50
M.Morales 250g;0;1;10.50;0.70 %;;0;0.00;;1;10.50
10€ Gutschein;0;1;10.00;0.66 %;;0;0.00;;1;10.00
Kinder Kakao;0;3;9.60;0.64 %;;2;6.40;;1;3.20
Black Tea;0;2;9.20;0.61 %;;0;0.00;;2;9.20
Hafer Flat White auf Eis;0;2;8.40;0.56 %;;0;0.00;;2;8.40
Hafer Caffè Latte groß;0;2;8.00;0.53 %;;1;4.00;;1;4.00
Espresso Doppio;0;3;7.80;0.52 %;;0;0.00;;3;7.80
ReCup ausgeben;0;6;6.00;0.40 %;;0;0.00;;6;6.00
Nimbus Cocktail;0;1;5.40;0.36 %;;0;0.00;;1;5.40
5€ Gutschein;0;1;5.00;0.33 %;;0;0.00;;1;5.00
Green Tea;0;1;4.60;0.31 %;;0;0.00;;1;4.60
Lemon Verbena Tea;0;1;4.60;0.31 %;;0;0.00;;1;4.60
Decaf Cappuccino Groß;0;1;4.20;0.28 %;;1;4.20;;0;0.00
Hafer Kakao groß;0;1;4.00;0.27 %;;1;4.00;;0;0.00
ReCup ausgeben*;0;4;4.00;0.27 %;;0;0.00;;4;4.00
Cold Brew;0;1;3.80;0.25 %;;0;0.00;;1;3.80
Decaf Caffè Latte;0;1;3.60;0.24 %;;0;0.00;;1;3.60
Apfelschorle;0;1;3.00;0.20 %;;0;0.00;;1;3.00
ReCup ausgeben **;0;3;3.00;0.20 %;;0;0.00;;3;3.00
Mineralwasser Sprudel;0;1;2.80;0.19 %;;1;2.80;;0;0.00
Deckel ReCup;0;1;1.00;0.07 %;;0;0.00;;1;1.00
Milchschaum Kids;0;2;0.00;0.00 %;;1;0.00;;1;0.00
ReCup annehmen*;0;3;-3.00;-0.20 %;;0;0.00;;3;-3.00
ReCup annehmen **;0;3;-3.00;-0.20 %;;0;0.00;;3;-3.00
ReCup annehmen ´;0;6;-6.00;-0.40 %;;0;0.00;;6;-6.00
ReCup annehmen;0;12;-12.00;-0.80 %;;0;0.00;;12;-12.00
;;;;
